序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1,00167,IDTInt'l,0.11,45.33,0.03,0.82,2141.20万,--,0.075,0.07200000000000001,0.115,0.07200000000000001,0,-85.7,-62,-57.2,0
2,00860,力世纪,1.15,22.34,0.21,0.48,2838.71万,--,0.94,0.93,1.21,0.93,0,-88.14,11.45,-215,-1147
3,00600,中国基建投资,0.05,21.95,0.01,0.21,889.40万,--,0.040999999999999995,0.044000000000000004,0.051,0.044000000000000004,0,-13.6,-16.24,-5.76,15.31
4,00708,恒大健康,12.64,20.61,2.16,0.36,3082.53万,296.15,10.48,10.68,12.68,10.54,0,640,88.09,117,0
5,01007,龙辉国际控股,0.32,16.67,0.04,2.27,1.17亿,--,0.27,0.28,0.36,0.28,0,-5.1,-8.84,-3.41,-2.62
6,01227,国盛投资,0.01,15.38,0.0,0.26,942.00万,--,0.013000000000000001,0.013000000000000001,0.015,0.013000000000000001,0,-124,-114,-313,-113
7,00495,Paladin,0.23,13.93,0.03,0.01,11.83万,16.84,0.201,0.205,0.22899999999999998,0.205,0,96.97,734,-121,195
8,01106,中国海景,0.29,13.73,0.04,0.5,6268.00万,--,0.255,0.25,0.295,0.247,0,-19.88,22.22,-38.63,5.08
9,00922,安贤园中国,0.06,13.73,0.01,0.57,4196.00万,24.17,0.051,0.049,0.06,0.049,39.04,12.71,11.26,44.07,0
10,00379,恒嘉融资租赁,0.04,13.16,0.01,0.01,100.00万,--,0.038,0.038,0.044000000000000004,0.038,0,-29.63,96.84,-106000,50.55
11,00673,中国卫生集团,0.13,12.71,0.01,0.0,6.90万,--,0.11800000000000001,0.11800000000000001,0.134,0.11800000000000001,-36.72,-69.08,-78.31,-68.23,0
12,02312,中国金融租赁,1.14,11.77,0.12,4.65,6225.00万,--,1.02,1.03,1.22,0.93,0,-45.37,-37.66,-34.15,-34.87
13,03999,大成食品,0.54,11.34,0.06,0.06,61.30万,21.61,0.485,0.475,0.54,0.475,0,157,193,-49.13,-28.18
14,00223,易生活控股,0.1,11.11,0.01,0.21,1163.80万,--,0.09,0.08800000000000001,0.1,0.08800000000000001,-144,-153,274,-121,0
15,00913,合一投资,0.05,11.11,0.01,0.12,220.75万,--,0.045,0.045,0.053,0.045,0,-613,-402,146,268
16,01573,中国优质能源,13.02,11.09,1.3,0.13,91.20万,33.94,11.72,12.0,13.3,11.8,0,313,302,0,0
17,00070,金粤控股,0.32,10.35,0.03,0.04,31.05万,16.00,0.29,0.3,0.32,0.3,0,98.93,-483,-996,504
18,00269,中国资源交通,0.11,10.0,0.01,0.13,980.50万,--,0.1,0.1,0.11199999999999999,0.1,-1401,-1793,-3869,-1888,0
19,01715,米技国际控股,0.46,9.52,0.04,2.91,4371.00万,28.22,0.42,0.425,0.47,0.425,0,0,0,0,0
20,00979,绿色能源科技集团,0.34,7.81,0.03,0.0,1.20万,--,0.32,0.345,0.345,0.345,0,-4.4,-36.83,-43.15,-37.16
21,02068,中铝国际,3.5,7.69,0.25,0.01,5.70万,49.06,3.25,3.1,3.53,3.1,0,1418,1327,969,1284
22,01251,华油能源,0.58,7.41,0.04,0.51,941.00万,120.94,0.54,0.56,0.6,0.55,0,46.81,-268,-448,204
23,00393,旭日企业,0.87,7.41,0.06,0.25,382.50万,15.08,0.81,0.81,0.93,0.81,0,102,44.98,50.34,139
24,01039,鑫网易商,0.77,6.94,0.05,0.05,95.50万,--,0.72,0.7,0.78,0.7,0,-289,-150,-622,0
25,00619,南华金融,0.03,6.9,0.0,0.07,1095.00万,8.86,0.028999999999999998,0.027999999999999997,0.031,0.027999999999999997,0,63.54,-47.08,2.6,-61.97
26,00015,盈信控股,0.78,6.85,0.05,0.04,72.40万,3.26,0.73,0.72,0.8,0.69,508,188,817,152,0
27,01639,安捷利实业,1.28,6.67,0.08,0.05,70.00万,19.34,1.2,1.21,1.28,1.2,0,98.86,45.26,44000,32.24
28,02623,爱德新能源,0.1,6.52,0.01,0.19,915.20万,--,0.092,0.092,0.10099999999999999,0.09,0,-78.27,-85.15,-260,-74.63
29,00550,KK文化,1.49,6.43,0.09,0.23,86.80万,--,1.4,1.49,1.49,1.49,0,-81.53,-16.21,-19.81,120
30,01546,德莱建业,0.67,6.35,0.04,0.1,79.20万,8.76,0.63,0.63,0.67,0.63,74.52,30.16,6.01,0,0
31,00613,YugangInt'l,0.23,6.33,0.01,0.12,1105.80万,17.15,0.221,0.222,0.239,0.22,0,143,26.03,162,296
32,00205,财讯传媒,0.02,6.25,0.0,0.02,144.00万,--,0.016,0.017,0.017,0.016,0,-255,-11.4,-202,-119
33,00713,世界(集团),0.52,6.12,0.03,0.01,4.20万,--,0.49,0.49,0.52,0.49,0,-93.6,-12.49,-25.78,-41.79
34,00075,渝太地产,2.6,6.12,0.15,0.0,4000,38.23,2.45,2.6,2.6,2.6,0,55.71,366,562,508
35,01722,建鹏控股,0.43,6.1,0.03,0.01,14.00万,--,0.41,0.41,0.435,0.41,0,0,0,0,0
36,00852,海峡石油化工,0.53,6.0,0.03,0.0,6.00万,53.00,0.5,0.54,0.54,0.52,0,20.99,41.4,41.89,-361
37,00295,江山控股,0.16,6.0,0.01,0.01,85.00万,16.58,0.15,0.162,0.16899999999999998,0.159,0,125,64.89,-83.42,28.48
38,02863,高丰集团控股,0.71,5.97,0.04,0.0,3000,11.83,0.67,0.72,0.72,0.72,0,30.04,0,0,0
39,03330,灵宝黄金,1.96,5.95,0.11,0.07,20.00万,15.72,1.85,1.94,1.96,1.94,0,358,152,-110,298
40,02699,新明中国,1.07,5.94,0.06,0.04,76.40万,6.87,1.01,1.02,1.07,0.99,0,544,206,767,0
41,02877,神威药业,11.12,5.7,0.6,0.33,275.46万,16.86,10.52,10.5,11.38,10.48,0,588,695,797,864
