序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1,00439,光启科学,0.9,32.35,0.22,2.19,1.35亿,83.33,0.68,0.66,0.97,0.63,0,74.55百万港币,737百万港币,9.78百万港币,-153百万港币
2,02312,中国金融租赁,0.45,28.57,0.1,7.33,9820.09万,--,0.35,0.35,0.45,0.345,0,-45.37百万港币,-37.66百万港币,-34.15百万港币,-34.87百万港币
3,00859,中昌国际控股,0.89,27.14,0.19,10.77,1.21亿,46.84,0.7,0.77,1.08,0.71,37.05百万港币,70.3百万港币,33.42百万港币,514百万港币,0
4,01195,京维集团,0.12,22.11,0.02,0.25,732.84万,--,0.095,0.098,0.125,0.098,0,-91.5百万人民币,-49.02百万人民币,18.67百万人民币,0
5,01620,加达控股,0.32,20.75,0.06,1.42,1700.00万,32.00,0.265,0.265,0.335,0.265,0,0,0,0,0
6,01227,国盛投资,0.01,16.67,0.0,1.06,3811.00万,--,0.012,0.011000000000000001,0.016,0.011000000000000001,0,-124百万港币,-114百万港币,-313百万港币,-113百万港币
7,00264,中玺国际,1.47,16.67,0.21,1.06,370.40万,--,1.26,1.48,1.51,1.46,0,-16.68百万港币,-26.23百万港币,-25.23百万港币,0
8,00702,中国油气控股,0.03,15.38,0.0,0.37,1.04亿,--,0.026000000000000002,0.024,0.033,0.023,0,165百万港币,55.29百万港币,-461百万港币,9.96百万港币
9,02700,格林国际控股,0.15,14.81,0.02,0.09,204.00万,--,0.135,0.14,0.158,0.14,0,-327百万港币,-137百万港币,-206百万港币,-98.06百万港币
10,00333,黛丽斯国际,1.64,13.89,0.2,0.08,16.60万,8.89,1.44,1.56,1.65,1.56,0,8.45百万港币,39.94百万港币,42.13百万港币,45.87百万港币
11,01175,鲜驰达控股,0.3,13.21,0.04,1.85,3048.00万,44.46,0.265,0.27,0.3,0.265,14.73百万人民币,49.39百万人民币,71.57百万人民币,57.77百万人民币,0
12,00295,江山控股,0.17,12.93,0.02,0.0,65.00万,17.31,0.147,0.16899999999999998,0.16899999999999998,0.16399999999999998,0,125百万人民币,64.89百万人民币,-83.42百万人民币,28.48百万人民币
13,01192,泰山石化,0.04,12.82,0.01,0.13,635.33万,--,0.039,0.038,0.044000000000000004,0.037000000000000005,0,-259百万港币,1895百万港币,-243百万港币,3778百万港币
14,01587,欣融国际,0.72,12.5,0.08,4.82,3275.80万,15.00,0.64,0.63,0.73,0.61,0,0,0,0,0
15,00647,JoyceBoutique,0.28,12.24,0.03,0.03,51.60万,--,0.245,0.24100000000000002,0.275,0.24,-58.49百万港币,-38.84百万港币,-78.86百万港币,44.04百万港币,0
