code,name,pe,2018_profit,2017_profit,,2016_profit,,2015_profit,,2014_profit
310,嘉进投资国际,0,0,957000,,-43.3,,17.13,,-15.82
1341,焯陞企业,-12.692,-15.93,920000,,-11.98,,0,,0
676,创信国际,0,0,773000,,579000,,1.33,,1.57
329,三龙国际,0,0,646000,,-438,,37.73,,374
915,道和环球,-25.833,0,421000,,505000,,2.69,,0
395,中国智能集团,-2.732,0,299000,,-158,,-177,,-150
2302,中核国际,-7.738,0,257000,,-28.19,,-221,,-156
1658,邮储银行,0,0,224864,,189602,,0,,0
3628,仁恒实业控股,290,0,-943000,7160112.60%,-13.17,-365.52%,4.96,-77.81%,22.35
2010,瑞年国际,0.596,0,-235,15259.48%,-1.53,-100.25%,613,-24.32%,810
1157,中联重科,207.143,0,-8380,5486.67%,-150,-112.61%,1190,-23.08%,1547
317,中船防务,95.647,0,-690,3720.60%,-18.06,-109.76%,185,-124.57%,-753
1908,建发国际集团,160.217,0,776,2723.87%,27.48,-22.53%,35.47,-39.55%,58.68
3836,和谐汽车,7.07,0,1405,2014.37%,66.45,-92.78%,920,-0.43%,924
2362,金川国际,81.333,0,61.19,1743.07%,3.32,-100.90%,-370,-14.35%,-432
450,鸿兴印刷集团,36.429,0,1207,1717.77%,66.4,-7.34%,71.66,74.61%,41.04
39,中国北大荒,54,0,160,1441.43%,10.38,-185.29%,-12.17,-86.13%,-87.76
332,元亨燃气,365,212,-91.33,1399.67%,-6.09,-120.70%,29.42,#DIV/0!,0
996,嘉年华国际,35.556,0,746,1380.45%,50.39,-47.36%,95.73,-31.13%,139
806,惠理集团,82.973,0,2207,1279.38%,160,-57.89%,380,-58.24%,910
1866,中国心连心化肥,8.193,0,485,1109.78%,40.09,-91.61%,478,67.72%,285
564,郑煤机,107.742,0,423,1031.62%,37.38,23.08%,30.37,-86.97%,233
830,远东环球,17.317,0,198,972.01%,18.47,-30.88%,26.72,-181.71%,-32.7
2488,元征科技,117.123,0,65.7,968.29%,6.15,-105.64%,-109,62.32%,-67.15
1226,中国投融资,1.222,-1126,439,958.60%,41.47,1375.80%,2.81,#DIV/0!,0
6,电能实业,15.857,0,2557,914.68%,252,-79.64%,1238,-97.73%,54571
298,庄士中国,10.612,390,1632,860.00%,170,-36.09%,266,#DIV/0!,0
531,顺诚,102.857,0,106,835.57%,11.33,60.48%,7.06,-68.21%,22.21
322,康师傅控股,50.452,0,3393,812.10%,372,-21.02%,471,-32.13%,694
256,冠城钟表珠宝,23.714,0,1433,795.63%,160,-66.17%,473,66.55%,284
456,新城市建设发展,485,0,26.1,790.78%,2.93,-66.67%,8.79,-81.30%,47.01
2233,西部水泥,615,0,974,718.49%,119,-146.30%,-257,-290.37%,135
6123,先达国际物流,32.083,0,124,673.07%,16.04,-75.46%,65.36,-28.76%,91.75
2277,华融投资股份,3.092,0,394,656.38%,52.09,-36.42%,81.93,#DIV/0!,0
708,恒大健康,777.5,0,640,626.53%,88.09,-24.71%,117,#DIV/0!,0
3993,洛阳钼业,62.456,0,5377,615.98%,751,3.30%,727,-66.00%,2138
2211,大健康国际,4.947,0,-561,602.39%,-79.87,-182.18%,97.19,-85.62%,676
635,彩星集团,0.55,0,375,571.44%,55.85,-92.23%,719,-41.64%,1232
1868,同方友友,111.429,0,126,570.21%,18.8,98.31%,9.48,-104.84%,-196
1513,丽珠医药,20.76,0,5658,545.89%,876,26.41%,693,18.46%,585
1538,中奥到家,59.091,0,149,514.18%,24.26,-31.41%,35.37,#DIV/0!,0
3813,宝胜国际,16.809,0,770,453.96%,139,43.79%,96.67,188.05%,33.56
613,渝港国际,12.353,0,143,449.37%,26.03,-83.93%,162,-45.27%,296
672,众安房产,1.916,0,1302,422.89%,249,-75.32%,1009,57.90%,639
2039,中集集团,10.514,0,4172,420.85%,801,-72.79%,2944,-10.73%,3298
6128,泛亚国际,66.885,0,-51.49,399.90%,-10.3,-130.43%,33.85,-17.60%,41.08
1560,星星地产,7.679,0,122,398.37%,24.48,#DIV/0!,0,#DIV/0!,0
1199,中远海运港口,7.241,0,453,378.66%,94.64,-69.07%,306,34.80%,227
3688,莱蒙国际,4.698,0,6879,377.71%,1440,-49.70%,2863,6.91%,2678
2888,渣打集团,-61.279,0,14425,,14060,,15289,,18334
555,御泰中彩控股,1.467,0,-439,356.15%,-96.24,-116.23%,593,2953.55%,19.42
251,爪哇控股,4.921,0,283,332.52%,65.43,-94.13%,1115,30.11%,857
1388,安莉芳控股,5.496,0,675,327.22%,158,-47.16%,299,11.15%,269
2611,国泰君安,0,0,13647,,0,,0,,0
51,海港企业,15.369,0,4119,325.08%,969,-40.26%,1622,44.31%,1124
377,华君控股,3361.111,-925,135,320.30%,32.12,-92.41%,423,#DIV/0!,0
1171,兖州煤业股份,229.75,0,11278,318.48%,2695,333.28%,622,-61.13%,1600
1063,新确科技,4.5,0,-217,315.55%,-52.22,-202.55%,50.92,-256.15%,-32.61
722,联合医务,176,0,57.09,300.63%,14.25,#DIV/0!,0,#DIV/0!,0
919,现代美容,17.333,-23.77,45.4,296.16%,11.46,-86.17%,82.87,#DIV/0!,0
506,中国食品,147.857,0,2512,287.65%,648,6.75%,607,141.83%,251
1223,新沣集团,116,0,117,287.55%,30.19,-84.52%,195,-10203.63%,-1.93
1252,中国天瑞水泥,44.038,0,1354,284.66%,352,12.46%,313,-58.43%,753
3808,中国重汽,143.596,0,4272,283.83%,1113,44.17%,772,-33.10%,1154
1918,融创中国,20.862,0,21876,273.95%,5850,11.05%,5268,36.34%,3864
242,信德集团,13.02,0,1918,262.57%,529,-62.30%,1403,-66.37%,4172
3369,秦港股份,23.704,0,1262,261.60%,349,-78.98%,1660,-22.93%,2154
1070,ＴＣＬ多媒体,205.789,0,1050,254.73%,296,3.86%,285,-54.11%,621
154,北京控股环境集团,13.75,0,358,250.98%,102,-5.56%,108,901.86%,10.78
762,中国联通,322.759,0,2593,230.74%,784,-94.41%,14035,-11.90%,15931
847,哈萨克矿业-S,27.293,0,715,227.98%,218,142.22%,90,221.43%,28
410,ＳＯＨＯ中国,27.823,0,8815,226.12%,2703,37.49%,1966,-68.85%,6311
1051,国际资源,4.824,0,32.54,217.77%,10.24,-89.86%,101,17.31%,86.1
18,东方报业集团,40.435,189,207,217.24%,65.25,-15.88%,77.57,#DIV/0!,0
3939,万国国际矿业,54.545,0,103,211.84%,33.03,21.03%,27.29,-30.35%,39.18
2002,阳光纸业,9.766,0,565,205.41%,185,161.30%,70.8,-518.44%,-16.92
6118,奥星生命科技,236,0,-67.51,192.25%,-23.1,-808.59%,3.26,-96.14%,84.41
3633,中裕燃气,218.378,0,849,187.80%,295,-4.22%,308,-44.70%,557
78,REGAL INT'L,34.884,0,1311,186.87%,457,-14.58%,535,-24.33%,707
488,丽新发展,296.444,0,1794,185.67%,628,-66.31%,1864,26.20%,1477
1321,中国新城市,2.185,0,752,182.71%,266,-75.26%,1075,63.87%,656
802,中国钱包,1.343,0,-421,182.55%,-149,-177.20%,193,-245.11%,-133
1898,中煤能源,-10.612,0,9455,,6136,,43.22,,2497
558,力劲科技,1170,393,259,180.18%,92.44,-50.30%,186,#DIV/0!,0
115,钧濠集团,0.247,0,311,180.18%,111,-90.96%,1228,-2207.43%,-58.27
1250,北控清洁能源集团,58.667,0,1862,179.58%,666,909.70%,65.96,80.61%,36.52
2268,优源控股,10.377,0,1081,179.33%,387,35.31%,286,-11.18%,322
3948,伊泰煤炭,248.485,0,7147,178.64%,2565,772.45%,294,-91.35%,3400
1237,中科生物,3.118,0,-31.78,176.11%,-11.51,-116.42%,70.11,-41.58%,120
746,理文化工,22.328,0,931,173.82%,340,-4.49%,356,-13.38%,411
308,香港中旅,12.988,0,1406,167.30%,526,-65.71%,1534,-8.53%,1677
787,利标品牌,27.813,-1050,197,165.43%,74.22,-59.22%,182,#DIV/0!,0
2699,新明中国,3.843,0,544,164.08%,206,-73.14%,767,#DIV/0!,0
191,丽新国际,31.524,0,2037,163.52%,773,-64.62%,2185,31.71%,1659
991,大唐发电,-9.913,0,7840,,13167,,13315,,13049
367,庄士机构国际,4.812,1646,2067,155.50%,809,15.57%,700,#DIV/0!,0
1022,飞鱼科技,10.577,0,-390,154.90%,-153,-253.41%,99.73,-33.07%,149
3339,中国龙工,102.121,0,1424,154.74%,559,163.68%,212,-64.67%,600
2338,潍柴动力,22.94,0,10385,152.19%,4118,59.74%,2578,-60.88%,6590
2323,中国港桥,7.933,0,557,150.90%,222,1298.87%,15.87,-109.74%,-163
6099,招商证券,0,0,7107,,5824,,0,,0
189,东岳集团,21.368,0,2142,148.49%,862,-208.16%,-797,-215.34%,691
1478,丘钛科技,21.61,0,543,146.82%,220,76.00%,125,-52.29%,262
653,卓悦控股,2.52,0,-188,141.43%,-77.87,-253.53%,50.72,-81.56%,275
1281,隆基泰和智慧能源,64.8,0,177,140.07%,73.73,275.03%,19.66,-122.64%,-86.83
1128,永利澳门,51.075,0,5370,137.09%,2265,-25.30%,3032,-56.47%,6966
3323,中国建材,33.378,0,9563,135.54%,4060,-1.10%,4105,-64.47%,11553
1030,新城发展控股,24.176,0,11155,135.44%,4738,23.48%,3837,25.19%,3065
19,太古股份公司Ａ,13.258,0,35864,133.13%,15384,-6.54%,16461,20.18%,13697
581,中国东方集团,-18.59,0,6405,,1128,,-467,,529
87,太古股份公司Ｂ,10.998,0,35864,133.13%,15384,-6.54%,16461,20.18%,13697
799,IGG,43.777,0,179,131.60%,77.29,71.98%,44.94,-37.25%,71.62
337,绿地香港,28.866,0,2916,130.15%,1267,410.89%,248,192.83%,84.69
2382,舜宇光学科技,103.58,0,3318,129.46%,1446,67.75%,862,35.96%,634
