code,name,pe,roe2013,roe2014,roe2015,roe2016,roe2017,roe2018
00439,光启科学,150.0,0,-,1.56,26.99,2.69,0
02312,中国金融租赁,-7.5,-,-,-,-,-,0
00859,镇科集团,440.0,0,6.31,18.56,0.07,1.53,1.00
01195,京维集团,-5.571000000000001,-,-,8.21,-,-,0
00264,中玺国际,-17.711,0,-,-,-,-,0
01227,国盛投资,-0.076,-,-,-,-,260.51,0
00702,中国油气控股,-1.111,-,0.26,-,-,-,0
02700,格林国际控股,-1.49,-,-,-,-,372.38,0
00333,黛丽斯国际,11.0,-,6.65,6.12,5.79,0.99,0
01175,鲜驰达控股,2.479,0,"1,083.67",37.69,16.78,6.01,1.07
00295,江山控股,-12.769,-,0.56,-,0.86,1.83,0
00647,JOYCE ＢOUTIQUE,-5.729,0,8.70,4.88,-,-,-
00540,迅捷环球控股,14.145999999999999,11.15,11.52,12.18,13.36,12.44,0
01143,华夏健康产业,0.0,7.56,0.16,-,-,-,0
00430,东方网库,-16.125,6.86,17.04,-,8.53,21.08,0
01396,毅德国际,2.5,26.64,11.93,12.01,7.17,4.73,0
01561,万辉化工,22.916999999999998,14.02,8.66,7.09,6.70,0.95,0
06118,奥星生命科技,236.0,41.73,11.87,1.16,-,-,0
00104,ASIA COMM HOLD,-12.174000000000001,0,-,-,-,7.24,12.52
00810,中国互联网投资,-1.083,-,-,-,-,-,0
01241,双桦控股,-5.763999999999999,-,1.72,-,-,-,0
03789,御佳控股,0.0,0,102.64,47.31,41.74,38.10,25.09
01520,时尚环球,11.538,13.91,20.92,11.59,-,-,0
00379,恒嘉融资租赁,0.0,8.86,2.20,0.29,2.51,-,0
00527,瑞风新能源,-8.219,6.14,-,-,-,-,0
00673,中国卫生控股,-2.31,0,47.72,-,-,-,-
01272,大唐环境,0.0,16.02,33.57,20.16,16.36,12.97,0
00768,开明投资,-8.7,0,-,38.87,-,2.83,-
01215,开源控股,-32.0,-,3.86,-,-,0.21,0
02188,泰坦能源技术,-25.0,-,-,-,1.26,25.96,0
01146,中国服饰控股,6.582999999999999,18.42,12.47,6.47,2.74,3.16,0
00936,鹏程亚洲,-17.885,4.48,-,-,-,-,0
02623,爱德新能源,-1.306,15.98,-,-,-,-,0
01022,飞鱼科技,10.577,9.58,10.47,6.14,-,-,0
02023,中国绿岛科技,153.333,13.16,10.11,1.14,6.94,6.12,0
01808,企展控股,24.0,7.05,4.45,1.67,-,-,0
00802,中国钱包,1.3430000000000002,-,-,23.55,-,-,0
02133,中国多金属,-1.254,8.19,0.73,-,-,-,0
01900,中国智能交通,-1.493,5.67,-,-,0.83,1.11,0
01251,华油能源,-2.399,16.84,6.55,-,-,0.63,0
00593,天洋国际控股,4.047,1.82,-,20.26,1.45,3.81,0
01246,毅信控股,-11.875,0,32.00,28.18,-,-,-
00760,新天地产集团,-2.262,-,8.78,-,-,3.40,0
02322,仁瑞投资,-80.0,0,-,3.71,-,-,-
00449,志高控股,-0.8270000000000001,6.83,-,-,2.55,1.32,0
00990,荣晖国际,-32.8,-,247.42,-,-,3.46,0
00402,天下图控股,-1.8330000000000002,-,-,-,-,197.99,0
01647,SHIS LTD,0.0,0,52.05,32.08,33.85,11.59,7.14
00997,普汇中金国际,37.407,0,-,-,22.60,0.12,-
01075,首都信息,10.119,9.96,7.92,11.07,7.33,7.91,0
00313,裕田中国,-2.267,0,-,-,-,410.63,-
00176,联太工业,-49.286,11.25,-,-,0.74,7.53,0
01639,安捷利实业,0.0,10.84,5.71,0.04,5.78,10.70,0
00547,数字王国,-8.75,-,16.18,-,-,-,0
00559,德泰新能源集团,-0.327,-,-,0.96,-,-,0
00039,中国北大荒,54.0,307.78,40.10,1.93,0.78,7.87,0
00809,大成生化科技,-0.14400000000000002,-,-,"1,353.35",102.54,34.79,0
