code,name,pe,2014/12/31,2015/12/31,2016/12/31,2017/12/31
676,创信国际,0,1.31%,1.48%,692998.20%,897168.06%
310,嘉进投资国际,0,-0.0577,0.0473,-0.1366,2953.7037
329,三龙国际,0,0.4544,0.0424,-1.0977,1664.9485
2302,中核国际,-7.738,-0.1972,-0.3877,-0.052,470.696
851,盛源控股,-48.8,-0.0135,-0.1983,-0.1009,34.6667
578,融信资源,-0.155,-0.4954,-0.9553,-1.7368,22.722
186,GRANDE HOLDINGS,-6.774,0.0007,0.0742,0,11.8559
1033,中石化油服,-1120,0.0326,0.0036,-1.9063,4.9311
1159,集美国际娱乐,0,-0.1223,-0.1525,-0.4681,4.3195
1823,华昱高速,-1.461,0.4344,-7.2297,-0.0003,3.7925
1555,ＭＩ能源,-0.408,0.2173,-0.785,-0.7156,3.7761
2700,格林国际控股,-1.49,-0.2155,-0.5988,-0.6343,3.7695
313,裕田中国,-2.267,0,-1.625,-13.6491,2.626
1227,国盛投资,-0.076,-0.3818,-4.2521,-2.6057,2.6138
402,天下图控股,-1.833,-0.5841,-0.0988,-2.0565,1.9062
3889,大成糖业,-0.264,-1.1634,-4.0378,-14.2938,1.2222
351,亚洲能源物流,-4.333,-0.6205,-1.5426,11.4429,1.079
1208,五矿资源,-23.49,0.1447,-1.6882,0.257,1.0545
269,中国资源交通,-0.099,0,-0.765,37.5631,1.0062
1132,橙天嘉禾,-7.424,-0.0045,-0.1595,-0.0594,0.8973
2383,ＴＯＭ集团,-30.563,-0.0238,0.9662,0.5253,0.8881
1030,新城发展控股,24.176,40.10%,46.96%,51.30%,87.28%
438,彩虹新能源,2.384,280.90%,1247.63%,123.67%,86.93%
112,勒泰商业地产,-38.772,-0.0359,-0.0896,-0.9864,0.8519
1212,利福国际,16.008,25.51%,24.05%,101.89%,84.35%
267,中信股份,6.658,0,0.8456,0.7756,0.8177
690,联康生物科技集团,-9.667,-0.0721,-0.1129,-0.1207,0.8105
2393,巨星医疗控股,24.951,46.52%,30.87%,40.76%,78.75%
708,恒大健康,777.5,0,0.2035,0.1423,0.7683
1096,中能国际控股,-0.303,-0.1938,-1.8137,-8.4689,0.7572
3333,中国恒大,23.267,55.85%,63.36%,109.01%,74.27%
847,哈萨克矿业-S,27.293,1.33%,28.21%,40.90%,71.86%
978,招商局置地,7.081,35.37%,17.90%,42.42%,71.49%
680,南海控股,9.4,-0.2296,0.1073,0.5925,0.6863
618,北大资源,-7,-0.1225,-0.003,0.0581,0.6771
651,中海重工,-0.902,81.49%,136.18%,56.83%,65.89%
660,伟俊矿业集团,-70,275.98%,96.29%,259.23%,61.93%
1013,伟俊集团控股,-16,0,2.0863,1.1665,0.604
1277,力量能源,0,20.19%,7.49%,25.20%,57.03%
506,中国食品,147.857,4.26%,11.00%,11.87%,56.46%
1862,景瑞控股,-7.147,0.1507,-0.0257,0.2778,0.5383
1513,丽珠医药,20.76,15.82%,15.95%,13.46%,52.52%
1918,融创中国,20.862,23.63%,27.72%,25.14%,49.94%
