,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2015年年报,2015年中报,code,name,pe
0,0,19.30%,0,2.96%,0,99.12%,0,162.30%,"-1,106.30%",-16.33%,00969,华联国际,-0.46
1,0.50%,1.07%,0.43%,0.07%,0.40%,3.57%,1.97%,1.64%,4.43%,1.69%,03839,正大企业国际,11.134
2,0,-28.88%,0,-0.40%,0,-0.71%,0,-0.59%,-3.82%,-2.77%,00577,十三集团,-3.733
3,0,0.96%,0,0.82%,0,7.08%,0,6.47%,7.70%,2.25%,00286,同佳健康,61.428999999999995
4,0,55.46%,0,28.39%,0,42.20%,0,53.95%,116.30%,0,01523,珩湾科技,25.531999999999996
5,0,-4.84%,0,-1.54%,0,2.69%,0,3.45%,3.07%,1.96%,01699,普甜食品,-25.0
6,0,0,0,-10.71%,0,-17.07%,0,-0.13%,-24.61%,1.15%,01326,天马影视,-11.207
7,0,-24.56%,0,-10.99%,0,-63.04%,0,-28.62%,-34.58%,-66.28%,00673,中国卫生控股,-1.983
8,0,-4.24%,0,-3.15%,0,0.89%,0,2.14%,6.18%,-176.47%,01315,允升国际,15.444
9,0,227.74%,0,-237.14%,0,-179.23%,0,-6.62%,-15.93%,-5.53%,00402,天下图控股,-1.3330000000000002
10,0,2.00%,0,-0.67%,0,-0.50%,0,-0.41%,-2.09%,-5.33%,00521,海航实业股份,-5.558
11,0,-10.21%,0,1.69%,0,-1.70%,0,2.10%,11.54%,5.09%,00403,星光集团,3.2310000000000003
12,0,11.56%,0,6.55%,0,11.78%,0,4.35%,13.36%,7.10%,01066,威高股份,21.346999999999998
13,0,-2.47%,0,-3.26%,0,0.60%,0,-3.50%,5.85%,-1.24%,01396,毅德国际,2.47
14,0,-25.83%,0,-13.55%,0,-10.83%,0,-4.33%,-4.65%,-0.99%,00401,万嘉集团,-6.667000000000001
15,0,-3.56%,0,-0.32%,0,-1.96%,0,-0.36%,3.85%,6.97%,01237,中科生物,3.3819999999999997
16,0,-69.18%,0,-4.25%,0,-8.25%,0,-3.78%,-7.41%,-4.86%,00690,联康生物科技集团,-9.583
17,0,1.52%,0,1.84%,0,1.35%,0,0.00,-7.26%,-3.52%,02330,中国上城,-5.083
18,0,307.15%,0,"-2,595.74%",0,-78.64%,0,-70.21%,-60.07%,-6.68%,01555,ＭＩ能源,-0.415
19,0,-48.49%,0,0.00,0,0.00,0,0.00,0.00,0.00,02312,中国金融租赁,-3.967
20,0,19.84%,0,9.99%,0,13.78%,0,7.71%,14.66%,5.83%,00512,远大医药,64.02199999999999
21,0,1.35%,0,22.72%,0,41.18%,0,22.80%,46.82%,24.42%,00282,壹传媒,-1.784
22,0,-5.89%,0,1.94%,0,-3.62%,0,5.66%,-2.74%,-6.13%,00485,中国华星,-7.571000000000001
23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.51%,8.04%,01833,银泰商业,68.516
24,0,-8.19%,0,-6.02%,0,-57.04%,0,-72.72%,-15.28%,-1.07%,01180,汇彩控股,-5.669
25,0,10.86%,0,0.83%,0,1.40%,0,0.60%,-8.88%,-3.51%,00104,ASIA COMM HOLD,-12.174000000000001
26,0,0,0,0.38%,0,-10.26%,0,-0.17%,4.06%,6.39%,00952,华富国际,54.118
27,0,-4.01%,0,-2.44%,0,-9.85%,0,-5.42%,-10.28%,-4.35%,00130,慕诗国际,-5.306
28,0,0.00,0,-33.30%,0,-26.08%,0,-7.08%,-102.64%,-6.87%,01613,协同通信,-0.478
29,0,-62.24%,0,-18.71%,0,-29.41%,0,-11.22%,-1.86%,1.51%,01856,依波路,-39.412
30,0,-8.95%,0,-1.48%,0,-8.05%,0,-4.06%,-1.97%,-5.54%,00821,汇盈控股,-50.833
31,0,-8.24%,0,-3.38%,0,-46.84%,0,-15.40%,-33.72%,-11.21%,01152,新融宇集团,-4.688
32,10.06%,16.89%,16.87%,13.48%,9.98%,9.05%,11.03%,7.26%,15.13%,13.74%,06288,FAST RETAIL-DRS,1.0270000000000001
33,0,-29.70%,0,-17.35%,0,-32.23%,0,-15.57%,5.84%,18.31%,00524,E-KONG GROUP,54.167
34,0,3.50%,0,0.90%,0,-12.85%,0,-11.93%,-28.71%,-20.66%,00990,荣晖国际,-34.0
35,0,15.77%,0,13.19%,0,0,0,4.86%,19.29%,14.13%,02277,华融投资股份,3.511
36,0,-11.66%,0,-5.13%,0,-19.04%,0,-21.36%,-29.57%,-7.43%,00936,鹏程亚洲,-17.885
37,0,-50.37%,0,-14.17%,0,-6.53%,0,-10.52%,2.82%,5.70%,00550,先传媒,-20.641
38,0,3.54%,0,1.60%,0,3.05%,0,0.70%,6.20%,3.70%,01290,中国汇融,25.0
39,0,-22.34%,0,0.00,0,-29.78%,0,-27.74%,0.00,0.00,00585,意马国际,-4.71
40,0,1.95%,0,0.16%,0,-70.54%,0,-8.73%,-84.26%,-0.34%,00137,金辉集团,-0.306
41,0,-18.48%,0,-4.27%,0,-6.86%,0,-1.26%,-6.49%,-1.45%,00464,建福集团,-40.98
42,0,10.11%,0,4.96%,0,10.72%,0,6.75%,7.31%,5.45%,00436,新宇环保,38.667
43,0,-0.22%,0,-0.81%,0,1.80%,0,1.33%,0.66%,0.16%,01245,NIRAKU,55.455
44,0,18.82%,0,-7.71%,0,-37.98%,0,-12.10%,-74.42%,-5.02%,00674,文化地标投资,-1.305
45,0,33.47%,0,19.80%,0,38.95%,0,22.40%,35.73%,18.54%,01316,耐世特,12.429
46,0,16.79%,0,9.11%,0,14.45%,0,7.25%,-0.30%,2.84%,01717,澳优,45.895
47,0,-5.48%,0,-2.54%,0,-5.80%,0,-2.16%,-2.37%,-0.19%,01194,麦盛资本,-8.966000000000001
48,0,21.37%,0,11.49%,0,36.09%,0,22.93%,52.59%,-150.71%,01302,先健科技,2600.0
49,0,5.49%,0,4.16%,0,-8.76%,0,0.36%,-4.64%,-1.31%,01002,威铖国际,-8.524
50,0,23.46%,0,12.75%,0,28.36%,0,17.15%,40.12%,0,01573,中国优质能源,0.0
51,0,0,0,6.52%,0,10.21%,0,5.89%,16.99%,9.38%,01023,时代集团控股,5.757000000000001
52,0,-2.64%,0,0.52%,0,-3.27%,0,1.94%,1.81%,0.05%,02327,美瑞健康国际,102.5
53,0,13.03%,0,5.94%,0,11.43%,0,5.90%,11.40%,5.82%,01600,天伦燃气,27.351999999999997
54,0,21.54%,0,9.38%,0,24.77%,0,5.38%,14.14%,5.70%,01639,安捷利实业,0.0
55,0,1.48%,0,4.94%,0,10.27%,0,5.25%,19.37%,7.79%,03332,中生联合,3.4539999999999997
56,0,36.19%,0,15.32%,0,106.22%,0,104.76%,"-9,009.42%",-454.90%,00809,大成生化科技,-0.168
57,0,1.36%,0,0.99%,0,1.40%,0,0.63%,4.84%,3.11%,01051,国际资源,5.0
58,0,-22.14%,0,-7.92%,0,-17.62%,0,6.65%,19.83%,7.37%,02340,新昌管理集团,4.564
59,0,-7.27%,0,-7.54%,0,-3.48%,0,-1.50%,5.39%,0.97%,01328,精英国际,40.0
60,0,9.34%,0,5.24%,0,9.17%,0,5.26%,9.10%,5.21%,00552,中国通信服务,12.437999999999999
61,0,-11.06%,0,-5.30%,0,5.82%,0,-5.69%,14.96%,0,01526,瑞慈医疗,0.0
62,0,554.43%,0,-6.64%,0,-44.33%,0,-3.81%,-2.58%,1.12%,01400,宏太控股,-4.522
63,0,-54.37%,0,-4.04%,0,-8.24%,0,-2.10%,-3.48%,-1.41%,01466,钱唐控股,-139.512
64,0,-7.57%,0,-2.60%,0,-2.21%,0,0.15%,5.05%,3.67%,00496,卡森国际,18.895
65,0,20.86%,0,9.47%,0,15.60%,0,5.65%,3.80%,2.54%,00881,中升控股,23.656999999999996
66,0,-3.40%,0,-2.29%,0,-9.93%,0,-0.76%,0.23%,0.35%,00326,中国星集团,1.797
67,0,4.52%,0,3.36%,0,9.63%,6.11%,5.28%,11.48%,21.61%,00974,中国顺客隆,19.097
68,0,-15.80%,0,-7.83%,0,-13.99%,0,-5.46%,7.63%,1.46%,00419,华谊腾讯娱乐,-4.933
69,0,0,0,-15.19%,0,-23.32%,0,-20.46%,9.18%,28.36%,00479,华建控股,15.5
70,0,6.14%,0,1.21%,0,0.82%,0,-2.88%,-46.63%,-23.75%,02362,金川国际,74.667
71,-0.48%,0.89%,1.72%,-0.52%,1.54%,24.49%,19.40%,12.03%,21.82%,10.52%,00043,卜蜂国际,9.375
72,0,-12.11%,0,-5.10%,0,-17.53%,0,-12.37%,-21.00%,-30.33%,01004,中国智慧能源,-25.0
73,0,4.37%,0,4.86%,0,11.56%,0,5.72%,7.28%,4.59%,00292,泛海酒店,8.962
74,0,6.38%,0,2.48%,0,-2.59%,0,2.36%,7.42%,4.25%,01389,美捷汇控股,39.0
75,0,2.74%,0,3.33%,0,1.71%,0,-2.84%,-7.19%,-2.68%,01026,环球实业科技,-24.583000000000002
76,0,10.73%,0,8.84%,0,15.45%,0,12.35%,21.10%,11.31%,00400,科通芯城,10.948
77,0,35.74%,0,13.79%,0,30.39%,0,19.54%,54.17%,36.51%,01049,时富投资,11.9
