序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1,HK0167,IDTInt'l,0.11,45.33,0.03,0.82,2141.20万,--,0.075,0.072,0.115,0.072
2,HK0860,力世纪,1.15,22.34,0.21,0.48,2838.71万,--,0.940,0.930,1.210,0.930
3,HK0600,中国基建投资,0.05,21.95,0.01,0.21,889.40万,--,0.041,0.044,0.051,0.044
4,HK0708,恒大健康,12.64,20.61,2.16,0.36,3082.53万,296.15,10.480,10.680,12.680,10.540
5,HK1007,龙辉国际控股,0.32,16.67,0.04,2.27,1.17亿,--,0.270,0.280,0.360,0.280
6,HK1227,国盛投资,0.01,15.38,0.00,0.26,942.00万,--,0.013,0.013,0.015,0.013
7,HK0495,Paladin,0.23,13.93,0.03,0.01,11.83万,16.84,0.201,0.205,0.229,0.205
8,HK1106,中国海景,0.29,13.73,0.04,0.50,6268.00万,--,0.255,0.250,0.295,0.247
9,HK0922,安贤园中国,0.06,13.73,0.01,0.57,4196.00万,24.17,0.051,0.049,0.060,0.049
10,HK0379,恒嘉融资租赁,0.04,13.16,0.01,0.01,100.00万,--,0.038,0.038,0.044,0.038
11,HK0673,中国卫生集团,0.13,12.71,0.01,0.00,6.90万,--,0.118,0.118,0.134,0.118
12,HK2312,中国金融租赁,1.14,11.77,0.12,4.65,6225.00万,--,1.020,1.030,1.220,0.930
13,HK3999,大成食品,0.54,11.34,0.06,0.06,61.30万,21.61,0.485,0.475,0.540,0.475
14,HK0223,易生活控股,0.10,11.11,0.01,0.21,1163.80万,--,0.090,0.088,0.100,0.088
15,HK0913,合一投资,0.05,11.11,0.01,0.12,220.75万,--,0.045,0.045,0.053,0.045
16,HK1573,中国优质能源,13.02,11.09,1.30,0.13,91.20万,33.94,11.720,12.000,13.300,11.800
17,HK0070,金粤控股,0.32,10.35,0.03,0.04,31.05万,16.00,0.290,0.300,0.320,0.300
18,HK0269,中国资源交通,0.11,10.00,0.01,0.13,980.50万,--,0.100,0.100,0.112,0.100
19,HK1715,米技国际控股,0.46,9.52,0.04,2.91,4371.00万,28.22,0.420,0.425,0.470,0.425
20,HK0979,绿色能源科技集团,0.34,7.81,0.03,0.00,1.20万,--,0.320,0.345,0.345,0.345
21,HK2068,中铝国际,3.50,7.69,0.25,0.01,5.70万,49.06,3.250,3.100,3.530,3.100
