序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1,HK0439,光启科学,0.90,32.35,0.22,2.19,1.35亿,83.33,0.680,0.660,0.970,0.630
2,HK2312,中国金融租赁,0.45,28.57,0.10,7.33,9820.09万,--,0.350,0.350,0.450,0.345
3,HK0859,中昌国际控股,0.89,27.14,0.19,10.77,1.21亿,46.84,0.700,0.770,1.080,0.710
4,HK1195,京维集团,0.12,22.11,0.02,0.25,732.84万,--,0.095,0.098,0.125,0.098
5,HK1620,加达控股,0.32,20.75,0.06,1.42,1700.00万,32.00,0.265,0.265,0.335,0.265
6,HK1227,国盛投资,0.01,16.67,0.00,1.06,3811.00万,--,0.012,0.011,0.016,0.011
7,HK0264,中玺国际,1.47,16.67,0.21,1.06,370.40万,--,1.260,1.480,1.510,1.460
8,HK0702,中国油气控股,0.03,15.38,0.00,0.37,1.04亿,--,0.026,0.024,0.033,0.023
9,HK2700,格林国际控股,0.15,14.81,0.02,0.09,204.00万,--,0.135,0.140,0.158,0.140
10,HK0333,黛丽斯国际,1.64,13.89,0.20,0.08,16.60万,8.89,1.440,1.560,1.650,1.560
11,HK1175,鲜驰达控股,0.30,13.21,0.04,1.85,3048.00万,44.46,0.265,0.270,0.300,0.265
12,HK0295,江山控股,0.17,12.93,0.02,0.00,65.00万,17.31,0.147,0.169,0.169,0.164
13,HK1192,泰山石化,0.04,12.82,0.01,0.13,635.33万,--,0.039,0.038,0.044,0.037
14,HK1587,欣融国际,0.72,12.50,0.08,4.82,3275.80万,15.00,0.640,0.630,0.730,0.610
15,HK0647,JoyceBoutique,0.28,12.24,0.03,0.03,51.60万,--,0.245,0.241,0.275,0.240
16,HK0540,迅捷环球控股,0.58,11.54,0.06,0.06,38.40万,10.21,0.520,0.530,0.580,0.530
17,HK1143,华夏健康产业,0.08,11.43,0.01,0.02,118.40万,--,0.070,0.070,0.078,0.070
18,HK0430,东方网库,0.13,11.21,0.01,0.00,2000,1.73,0.116,0.129,0.129,0.129
19,HK1396,毅德国际,0.41,10.67,0.04,0.02,62.40万,5.67,0.375,0.365,0.420,0.365
20,HK0810,中国互联网投资,0.18,9.64,0.02,0.59,321.79万,--,0.166,0.180,0.190,0.174
21,HK1561,万辉化工,2.19,9.50,0.19,0.06,34.80万,219.00,2.000,2.000,2.200,2.000
22,HK0379,恒嘉融资租赁,0.05,9.09,0.00,0.02,199.00万,--,0.044,0.046,0.048,0.046
23,HK0527,瑞风新能源,0.60,9.09,0.05,0.51,914.00万,--,0.550,0.630,0.660,0.600
24,HK3789,御佳控股,0.36,9.09,0.03,0.09,107.20万,7.71,0.330,0.330,0.360,0.320
25,HK0673,中国卫生集团,0.13,8.94,0.01,0.06,207.90万,--,0.123,0.125,0.134,0.125
26,HK1272,大唐环境,2.72,8.80,0.22,0.02,13.10万,7.82,2.500,2.500,2.720,2.360
27,HK0768,开明投资,0.09,8.75,0.01,0.11,112.10万,--,0.080,0.085,0.087,0.085
28,HK1146,中国服饰控股,0.24,8.22,0.02,0.00,2000,12.36,0.219,0.237,0.237,0.237
29,HK1022,飞鱼科技,0.55,7.84,0.04,0.04,55.35万,--,0.510,0.510,0.590,0.510
30,HK1808,企展控股,0.84,7.69,0.06,0.32,166.80万,--,0.780,0.750,1.000,0.720
31,HK0802,中国钱包,0.29,7.41,0.02,1.66,4462.00万,--,0.270,0.275,0.325,0.275
32,HK1520,华信金融投资,0.29,7.27,0.02,0.04,63.00万,--,0.275,0.275,0.300,0.275
33,HK2133,中国多金属,0.09,7.23,0.01,0.04,160.10万,--,0.083,0.082,0.089,0.082
34,HK2188,泰坦能源技术,0.89,7.23,0.06,2.08,1919.60万,4.19,0.830,0.820,1.020,0.800
35,HK1647,SHISLtd,1.50,7.14,0.10,0.60,626.50万,76.00,1.400,1.420,1.600,1.410
36,HK1900,中国智能交通,0.30,7.14,0.02,0.01,19.60万,25.02,0.280,0.300,0.300,0.300
37,HK1251,华油能源,0.77,6.94,0.05,1.66,3056.00万,160.56,0.720,0.720,0.840,0.720
38,HK2623,爱德新能源,0.09,6.90,0.01,0.09,429.00万,--,0.087,0.087,0.096,0.081
39,HK1215,开源控股,0.06,6.78,0.00,0.01,96.00万,157.50,0.059,0.063,0.064,0.061
40,HK1246,保集健康,0.10,6.74,0.01,0.01,58.20万,--,0.089,0.090,0.095,0.078
41,HK2322,仁瑞投资,0.64,6.67,0.04,0.08,300.80万,--,0.600,0.620,0.640,0.610
42,HK0449,志高控股,0.08,6.58,0.01,0.03,256.00万,19.30,0.076,0.076,0.085,0.075
43,HK0990,荣晖国际,0.16,6.49,0.01,0.00,10.00万,52.90,0.154,0.154,0.164,0.154
44,HK0994,恒诚建筑,1.15,6.48,0.07,0.43,262.40万,22.24,1.080,1.070,1.160,1.050
45,HK0402,天下图控股,0.03,6.45,0.00,0.01,92.00万,--,0.031,0.031,0.033,0.031
46,HK0997,普汇中金国际,1.01,6.32,0.06,0.02,24.08万,--,0.950,0.960,1.030,0.950
47,HK0313,裕田中国,0.07,6.25,0.00,0.01,85.00万,--,0.064,0.062,0.068,0.062
48,HK0547,数字王国,0.14,6.06,0.01,1.02,2.71亿,--,0.132,0.135,0.154,0.133
49,HK0039,中国北大荒,0.27,5.88,0.01,0.16,845.20万,12.27,0.255,0.255,0.290,0.255
50,HK0559,德泰新能源集团,0.04,5.88,0.00,0.17,2622.00万,--,0.034,0.034,0.039,0.033
51,HK0809,大成生化科技,0.07,5.80,0.00,0.12,734.20万,--,0.069,0.073,0.074,0.067
52,HK0841,木薯资源,0.56,5.66,0.03,0.23,134.40万,9.88,0.530,0.540,0.560,0.530
53,HK0760,新天地产集团,0.09,5.62,0.01,0.07,717.00万,12.65,0.089,0.086,0.095,0.083
54,HK1336,新华保险,35.85,5.60,1.90,1.85,1917.09万,8.54,33.950,34.200,36.000,33.250
55,HK1282,中国金洋,0.47,5.56,0.03,0.04,1151.20万,12.18,0.450,0.450,0.480,0.450
56,HK2023,中国绿岛科技,1.35,5.47,0.07,0.12,56.76万,22.52,1.280,1.280,1.400,1.270
57,HK0217,中国诚通发展集团,0.29,5.46,0.01,0.21,1217.80万,72.50,0.275,0.260,0.300,0.245
58,HK0858,精优药业,0.16,5.37,0.01,0.01,36.00万,12.56,0.149,0.149,0.157,0.147
59,HK1639,安捷利实业,1.38,5.34,0.07,0.02,36.00万,20.85,1.310,1.310,1.390,1.310
60,HK1101,华荣能源,0.12,5.31,0.01,0.07,198.82万,--,0.113,0.111,0.120,0.111
61,HK0581,中国东方集团,5.80,5.26,0.29,0.58,2177.85万,3.48,5.510,5.560,5.800,5.430
62,HK3893,易纬集团,0.10,5.26,0.01,0.01,14.00万,--,0.095,0.099,0.100,0.099
63,HK6100,有才天下猎聘,33.05,5.25,1.65,0.09,43.04万,1518.23,31.400,31.400,33.200,31.150
64,HK1695,椰丰集团,0.24,5.22,0.01,0.02,18.50万,313.39,0.230,0.244,0.244,0.231
65,HK1833,平安好医生,49.30,5.12,2.40,0.14,146.16万,--,46.900,46.600,50.300,46.600
66,HK2380,中国电力,1.85,5.11,0.09,0.51,4992.95万,15.43,1.760,1.770,1.860,1.740
67,HK0196,宏华集团,0.62,5.08,0.03,0.34,1839.80万,--,0.590,0.580,0.620,0.560
68,HK2166,芯智控股,1.68,5.00,0.08,0.15,73.80万,10.80,1.600,1.640,1.690,1.610
69,HK1075,首都信息,0.42,5.00,0.02,0.19,147.60万,12.51,0.400,0.400,0.425,0.400
70,HK0609,天德化工,0.85,4.94,0.04,0.03,24.00万,5.91,0.810,0.800,0.850,0.790
71,HK1229,南南资源,0.32,4.92,0.01,0.02,15.50万,6.68,0.305,0.330,0.330,0.305
72,HK1549,永丰集团控股,0.21,4.88,0.01,0.01,20.00万,--,0.205,0.196,0.215,0.196
73,HK3337,安东油田服务,1.08,4.85,0.05,1.39,3691.00万,43.73,1.030,1.030,1.090,1.030
74,HK6036,光丽科技,0.45,4.71,0.02,0.52,523.50万,9.55,0.425,0.425,0.450,0.420
75,HK3344,共享集团,0.34,4.69,0.01,0.71,3839.00万,--,0.320,0.320,0.350,0.310
76,HK1103,大生农业金融,0.07,4.69,0.00,0.39,2391.15万,1.40,0.064,0.063,0.069,0.062
