code,name,pe
hk00439,光启科学,150.0
hk02312,中国金融租赁,-7.5
hk00859,镇科集团,440.0
hk01195,京维集团,-5.571
hk00264,中玺国际,-17.711
hk01227,国盛投资,-0.076
hk00702,中国油气控股,-1.111
hk02700,格林国际控股,-1.49
hk00333,黛丽斯国际,11.0
hk01175,鲜驰达控股,2.479
hk00295,江山控股,-12.769
hk00647,JOYCE ＢOUTIQUE,-5.729
hk00540,迅捷环球控股,14.146
hk01143,华夏健康产业,0.0
hk00430,东方网库,-16.125
hk01396,毅德国际,2.5
hk01561,万辉化工,22.917
hk06118,奥星生命科技,236.0
hk00104,ASIA COMM HOLD,-12.174
hk00810,中国互联网投资,-1.083
hk01241,双桦控股,-5.764
hk03789,御佳控股,0.0
hk01520,时尚环球,11.538
hk00379,恒嘉融资租赁,0.0
hk00527,瑞风新能源,-8.219
hk00673,中国卫生控股,-2.31
hk01272,大唐环境,0.0
hk00768,开明投资,-8.7
hk01215,开源控股,-32.0
hk02188,泰坦能源技术,-25.0
hk01146,中国服饰控股,6.583
hk00936,鹏程亚洲,-17.885
hk02623,爱德新能源,-1.306
hk01022,飞鱼科技,10.577
hk02023,中国绿岛科技,153.333
hk01808,企展控股,24.0
hk00802,中国钱包,1.343
hk02133,中国多金属,-1.254
hk01900,中国智能交通,-1.493
hk01251,华油能源,-2.399
hk00593,天洋国际控股,4.047
hk01246,毅信控股,-11.875
hk00760,新天地产集团,-2.262
hk02322,仁瑞投资,-80.0
hk00449,志高控股,-0.827
hk00990,荣晖国际,-32.8
hk00402,天下图控股,-1.833
hk01647,SHIS LTD,0.0
hk00997,普汇中金国际,37.407
hk01075,首都信息,10.119
hk00313,裕田中国,-2.267
hk00176,联太工业,-49.286
hk01639,安捷利实业,0.0
hk00547,数字王国,-8.75
hk00559,德泰新能源集团,-0.327
hk00039,中国北大荒,54.0
hk00809,大成生化科技,-0.144
hk00841,木薯资源,20.0
hk01336,新华保险,10.893
hk01282,中国金洋,22.619
