,code_x,name,roe_2017_1,bvps_2017_1,net_profits_2017_1,roe_2017_2,bvps_2017_2,net_profits_2017_2,roe_2017_3,bvps_2017_3,net_profits_2017_3,roe_2017_4,bvps_2017_4,net_profits_2017_4,code_y,pb,pe,industry
0,600008,首创股份,1.16,,10491.33,2.62,,25951.09,4.15,,42312.0,5.8,,61200.88,,2.46,58.44,环境保护
3,600009,上海机场,3.49,,79142.35,7.33,,169579.94,,,,,,,,4.55,29.21,机场
5,600011,华能国际,0.89,,65197.93,1.08,,78757.25,,,,2.47,,179315.1,,1.48,21.73,火力发电
7,600015,华夏银行,2.73,12.68,449900.0,6.59,10.82,983600.0,,,,,,,,0.62,5.18,银行
9,600018,上港集团,1.86,,114157.76,5.46,,337280.73,7.75,,476329.42,17.92,,1153619.16,,1.96,21.19,港口
11,600019,宝钢股份,2.5,6.96,378615.48,,,,,,,12.24,,1917033.76,,1.0,8.47,普钢
13,600023,浙能电力,1.59,,93482.25,4.03,,238268.97,,,,7.24,,433446.05,,1.06,28.19,火力发电
14,600028,中国石化,2.31,,1663300.0,3.79,,2709200.0,5.37,,3837300.0,7.14,6.01,5111900.0,,1.03,10.22,石油加工
16,600029,南方航空,3.53,,155000.0,6.2,,276800.0,15.09,,705000.0,12.84,,591400.0,,1.44,7.48,空运
17,600031,三一重工,3.22,,74570.4,4.94,,116011.0,7.54,,180268.7,8.69,,209225.3,,2.41,10.87,工程机械
23,600036,招商银行,4.86,16.68,1997700.0,9.56,16.63,3925900.0,14.0,17.37,5880500.0,,,,,1.43,7.29,银行
24,600038,中直股份,1.03,,7101.38,2.22,,15348.16,3.92,,27142.75,6.49,,45537.64,,3.29,85.36,航空
28,600048,保利地产,2.1,,189144.18,6.17,,565055.53,9.0,,826923.88,16.32,,1562588.62,,1.21,17.46,全国地产
30,600061,国投资本,2.17,,56701.64,4.78,,126705.26,7.18,,192724.98,9.13,,258969.17,,1.04,19.04,证券
32,600066,宇通客车,2.3,,31621.61,,,,,,,22.15,,312919.39,,2.51,33.62,汽车整车
34,600100,同方股份,-1.25,,-26910.31,,,,-0.86,,-18428.06,0.48,,10363.93,,1.3,0.0,电脑设备
36,600111,北方稀土,0.89,,7446.02,1.33,,11196.06,4.06,,34911.48,,,,,4.46,91.4,小金属
38,600115,东方航空,5.79,,281800.0,8.79,,434700.0,15.45,,791500.0,12.64,,635200.0,,1.61,11.27,空运
56,600118,中国卫星,1.18,,5816.83,3.55,,17636.44,5.1,,25573.01,8.16,,40960.05,,4.29,93.6,航空
65,600153,建发股份,1.94,,42224.26,4.26,,93459.73,7.4,,163070.51,14.83,,333085.53,,1.0,10.43,商贸代理
77,600157,永泰能源,0.45,,10669.05,1.07,,25468.23,,,,2.51,,60234.59,,0.84,10.16,煤炭开采
79,600170,上海建工,2.21,,50264.14,,,,8.36,,189889.45,10.72,,258446.52,,1.1,12.49,建筑施工
81,600188,兖州煤业,3.99,,174856.7,7.1,,318914.4,10.36,,478339.4,14.0,,677061.8,,1.23,6.44,煤炭开采
83,600196,复星医药,3.3,,73774.67,7.46,,168905.97,10.25,,241926.69,13.02,,312449.95,,4.05,37.19,化学制药
86,600219,南山铝业,0.9,,28652.74,2.32,,74153.78,4.12,,132134.86,5.01,,161135.51,,0.74,20.53,铝
87,600221,海航控股,1.43,,83514.0,1.94,,114733.3,3.84,,275776.4,5.91,,332294.7,,1.01,10.15,空运
89,600233,圆通速递,3.35,,27928.82,8.1,,69277.59,12.31,,105808.5,16.56,,144269.33,,3.64,27.78,仓储物流
90,600271,航天信息,4.15,,39561.25,6.11,,58117.74,11.8,,112231.44,16.16,,155657.25,,4.76,116.58,电脑设备
92,600276,恒瑞医药,6.35,,81184.76,11.98,,157343.09,17.34,,232776.59,23.28,,321664.8,,16.84,72.71,化学制药
93,600297,广汇汽车,3.95,,97066.45,8.16,,200221.88,11.39,,290758.04,15.05,,388435.82,,1.17,9.4,汽车服务
97,600309,万华化学,12.84,,219505.98,25.43,,486103.79,38.27,,781099.6,50.66,,1113479.03,,5.17,9.73,化工原料
98,600339,中油工程,1.31,,21858.04,2.64,,57487.85,2.4,,52107.53,3.0,,67000.59,,1.0,0.0,石油加工
100,600346,恒力股份,4.78,,28666.07,9.37,,56229.37,17.84,,110188.27,26.71,,171933.05,,3.46,17.57,化纤
101,600352,浙江龙盛,3.15,,50118.82,6.28,,101316.0,,,,15.24,,247379.48,,2.2,9.9,染料涂料
102,600362,江西铜业,1.11,,54125.09,,,,,,,3.39,,160410.78,,1.08,17.0,铜
104,600369,西南证券,0.13,,2388.6,1.92,,36670.99,,,,3.49,,66880.02,,1.11,20.48,证券
105,600372,中航电子,-0.43,,-2607.82,2.34,,14577.4,3.51,,22074.35,8.57,,54243.95,,3.33,0.0,航空
107,600373,中文传媒,4.21,,47325.18,7.0,,79471.55,9.61,,110150.38,12.49,,145174.15,,1.31,9.16,出版业
109,600376,首开股份,0.43,,16021.14,,,,3.38,,91316.52,8.87,,236277.78,,0.79,13.14,区域地产
118,600383,金地集团,2.3,,87078.65,3.11,,115229.51,6.13,,226883.3,17.62,,684267.64,,0.97,9.15,全国地产
119,600390,五矿资本,1.78,,43552.53,,,,,,,8.54,,247664.5,,0.89,13.02,多元金融
120,600398,海澜之家,9.57,,101000.32,18.3,,187518.73,24.93,,251263.5,32.51,,332887.42,,4.5,12.25,服饰
124,600415,小商品城,6.46,,68042.18,9.72,,103527.88,11.2,,123693.62,,,,,1.96,8.04,商品城
127,600436,片仔癀,6.28,,22636.88,11.68,,43319.89,,,,21.16,,80701.87,,16.94,57.63,中成药
128,600438,通威股份,2.25,,26567.09,6.56,,79162.24,12.6,,152853.89,,,,,1.8,19.15,饲料
129,600482,中国动力,0.89,,22703.27,2.2,,56071.97,,,,,,,,1.22,38.78,电气设备
132,600487,亨通光电,4.62,,27769.2,12.41,,76742.02,23.37,,167087.87,,,,,3.9,21.31,通信设备
133,600489,中金黄金,0.66,,8811.15,1.59,,21238.88,,,,2.18,,29126.55,,1.72,100.8,黄金
137,600516,方大炭素,1.25,,7352.17,6.83,,41185.41,29.24,,201911.73,46.62,,362041.86,,3.8,5.87,矿物制品
138,600519,贵州茅台,8.06,,612311.93,14.33,,1125086.09,24.97,,1998384.7,32.95,,2707936.03,,9.39,27.58,白酒
140,600522,中天科技,3.68,,44537.98,7.75,,95057.58,,,,10.78,,178836.38,,1.52,15.24,通信设备
142,600535,天士力,3.92,,31814.98,9.06,,75622.74,13.66,,113853.59,15.24,,137654.22,,4.53,27.5,中成药
144,600547,山东黄金,2.09,,32741.46,,,,,,,7.12,,113742.38,,2.66,32.01,黄金
145,600549,厦门钨业,2.0,,13119.54,6.75,,45304.47,8.75,,58755.1,9.24,,61837.84,,3.09,178.1,小金属
149,600570,恒生电子,1.74,,4224.91,9.08,,22862.41,11.29,,28984.88,17.54,,47121.9,,10.2,140.09,软件服务
155,600583,海油工程,-0.74,,-17025.55,0.86,,19985.04,1.29,,30212.65,2.13,,49105.55,,1.0,0.0,石油开采
159,600637,东方明珠,1.61,,42968.47,4.52,,122364.17,3.79,,101257.5,8.28,,223691.12,,1.35,21.59,影视音像
161,600660,福耀玻璃,3.77,,69287.91,7.66,,138618.68,11.87,,214354.99,17.16,,314874.8,,3.25,27.98,汽车配件
162,600663,陆家嘴,2.19,,44985.46,5.86,,115368.27,11.16,,146348.28,22.19,,312991.77,,3.51,19.13,园区开发
166,600674,川投能源,3.86,,80720.96,6.2,,122969.75,13.37,,285762.95,15.34,,326473.53,,1.6,11.25,水力发电
170,600682,南京新百,-1.11,,-6040.7,2.59,,8872.64,10.27,,37478.29,10.41,,73623.22,,1.89,41.65,百货
174,600688,上海石化,7.61,,192885.2,9.82,,257547.9,,,,20.84,2.61,614155.8,,2.01,8.52,石油加工
176,600690,青岛海尔,6.38,,173876.36,15.47,,442706.84,,,,,,,,3.39,14.49,家用电器
179,600704,物产中大,2.03,,39340.27,4.93,,93988.01,7.89,,147888.43,12.06,,223484.75,,1.17,6.53,商贸代理
183,600705,中航资本,2.33,,53159.09,5.73,,127557.12,8.65,,196171.59,12.33,,278360.62,,1.69,12.89,多元金融
184,600739,辽宁成大,3.66,,69535.48,4.56,,86786.45,,,,7.49,,144616.8,,1.1,37.8,商贸代理
187,600795,国电电力,1.97,,102365.69,3.38,,177252.65,4.65,,243122.35,4.21,,222324.23,,1.01,10.49,火力发电
205,600804,鹏博士,2.68,,17236.96,5.95,,39051.41,9.07,,60592.59,11.43,,76927.55,,2.27,45.12,电信运营
209,600809,山西汾酒,9.45,,46771.06,12.98,,60168.37,12.55,,80553.08,19.04,,94410.17,,9.31,19.49,白酒
211,600816,安信信托,7.17,,102013.56,11.76,,161201.72,19.92,,282528.83,25.23,,366821.23,,2.54,8.97,多元金融
213,600886,国投电力,3.17,,93000.71,4.4,,129003.0,,,,10.91,,323230.0,,1.53,12.43,水力发电
214,600887,伊利股份,7.24,,173365.33,14.3,,336411.11,,,,25.22,,600088.49,,6.37,20.62,乳制品
215,600893,航发动力,-0.58,,-9019.73,1.03,,15930.63,2.33,,36493.08,,,,,2.06,0.0,航空
217,600900,长江电力,2.09,,270800.34,,,,13.46,,1775564.7,16.91,,2226091.13,,2.57,31.23,水力发电
219,600909,华安证券,1.39,,16522.25,3.38,,40647.13,,,,5.39,,64972.68,,1.63,31.83,证券
221,600958,东方证券,2.07,,84429.75,4.27,,175524.23,6.37,,262891.54,8.62,,355362.64,,1.15,34.67,证券
223,600959,江苏有线,1.57,,20551.82,,,,5.28,,69570.6,5.95,,78346.64,,1.46,36.22,影视音像
226,600977,中国电影,2.91,,28821.57,5.96,,60082.01,,,,9.55,,96528.32,,2.73,21.42,影视音像
228,600999,招商证券,2.27,,137451.62,,,,,,,8.39,,578595.51,,1.35,20.19,证券
229,601006,大秦铁路,3.46,,316120.06,8.2,,762258.76,11.98,,1123725.09,13.5,,1334951.61,,1.25,7.89,铁路
230,601009,南京银行,4.63,10.55,245340.8,,,,13.71,7.79,743309.6,16.94,6.77,966817.3,,1.06,5.65,银行
232,601018,宁波港,1.95,2.68,68185.4,3.93,2.67,137689.4,,,,7.51,2.76,267665.4,,1.54,19.09,港口
233,601021,春秋航空,4.06,,30325.6,7.33,,55397.08,,,,16.0,,126158.15,,2.6,20.73,空运
235,601088,中国神华,3.84,16.37,1223500.0,,,,10.74,14.69,3564900.0,14.67,15.16,4503700.0,,1.11,7.5,煤炭开采
237,601108,财通证券,2.47,,38491.68,5.35,4.88,82085.03,7.82,5.03,120970.28,,,,,1.88,26.77,证券
238,601111,中国国航,2.03,,146640.0,4.33,,332642.0,,,,8.96,,724031.2,,1.35,11.32,空运
239,601155,新城控股,0.28,,4227.15,7.44,,113922.94,12.81,,199184.32,34.18,,602890.77,,3.08,45.24,区域地产
241,601166,兴业银行,4.7,17.59,1682400.0,8.61,17.67,3160100.0,,,,15.35,18.82,5720000.0,,0.73,4.23,银行
242,601169,北京银行,4.3,8.49,544500.0,8.21,8.11,1107900.0,,,,13.77,7.43,1873300.0,,0.75,5.27,银行
243,601198,东兴证券,1.63,,30245.1,,,,4.95,,92689.12,6.98,,130924.96,,1.79,31.47,证券
244,601211,国泰君安,2.65,,256334.48,,,,6.61,,703531.55,9.05,14.13,988154.47,,1.11,14.01,证券
246,601212,白银有色,0.2,,2351.99,,,,1.89,,22928.56,2.13,,23933.01,,2.77,203.74,铜
252,601216,君正集团,3.83,,53401.29,6.54,,92431.16,11.14,,160956.17,14.63,,214808.6,,1.67,8.84,化工原料
258,601225,陕西煤业,7.45,,267378.49,,,,,,,26.59,,1044940.0,,1.57,6.58,煤炭开采
259,601228,广州港,1.5,,16293.67,3.25,,35446.41,5.12,,56274.73,6.11,,69705.47,,2.59,30.75,港口
261,601238,广汽集团,8.35,,382857.84,13.1,,618260.24,18.14,,896211.82,21.49,,1078621.99,,1.46,6.88,汽车整车
