code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sz.000651,2014-04-29,2014-03-31,0.063214,3.790677,0.184982,0.990981,0.090970,0.788740,1.161267,0.099319
sz.000651,2014-08-26,2014-06-30,0.162515,3.750243,0.446597,0.990514,0.097962,0.826810,1.081203,0.109583
sz.000651,2014-10-31,2014-09-30,0.264105,3.939805,0.682246,0.992153,0.099034,0.830234,1.080912,0.110355
sz.000651,2015-04-28,2014-12-31,0.359563,3.682369,0.965777,0.993139,0.101803,0.850799,1.064911,0.112362
sz.000651,2015-04-30,2015-03-31,0.060939,3.500409,0.157406,0.994786,0.111180,0.831696,1.070046,0.124928
sz.000651,2015-08-31,2015-06-30,0.134184,3.755314,0.322357,0.991821,0.111759,0.845329,1.061085,0.124597
sz.000651,2015-10-31,2015-09-30,0.223440,3.665221,0.512524,0.992975,0.119786,0.838701,1.132022,0.126167
sz.000651,2016-04-29,2015-12-31,0.273413,3.468037,0.632622,0.992768,0.125529,0.846695,1.048223,0.141437
sz.000651,2016-04-30,2016-03-31,0.064345,3.400496,0.150298,0.994780,0.126560,0.835756,1.400684,0.108112
sz.000651,2016-08-19,2016-06-30,0.138531,3.611108,0.300138,0.993153,0.128697,0.832118,1.089457,0.141963
sz.000651,2016-10-31,2016-09-30,0.230893,3.530565,0.487882,0.993453,0.134929,0.838763,1.348757,0.119270
sz.000651,2017-04-27,2016-12-31,0.304205,3.393664,0.640066,0.993322,0.140988,0.837757,1.067600,0.157636
sz.000651,2017-04-29,2017-03-31,0.071861,3.411190,0.157610,0.994591,0.134388,0.851148,1.014704,0.155602
sz.000651,2017-08-31,2017-06-30,0.177808,3.639390,0.361913,0.994646,0.135722,0.849448,1.072629,0.148958
sz.000651,2017-10-31,2017-09-30,0.274887,3.583440,0.555834,0.995345,0.138655,0.850521,1.015402,0.160551
