,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
1,0.93,1.26,0.61,0.46,--,--
2,--,3.14,2.18,1.82,2.40,3.66
3,--,1.48,0.98,0.77,0.56,1.16
4,67748,65435,51184,48853,42008,36413
5,20502,20741,14262,12027,10451,9704
6,5842,7876,3560,2591,3109,2248
7,167,-106,-73,102,489,83
8,1782,896,748,590,621,367
9,7623,8772,4308,3181,3730,2615
10,6053,7558,3632,2785,3293,2337
11,4412,6904,3087,2720,1986,2006
12,9854,8866,5890,4601,2222,2310
13,7637,-713,4576,-996,-375,502
14,80845,47165,39247,35563,32371,23601
15,60700,27891,20484,19785,21301,15726
16,22443,28201,25974,24636,22673,16334
17,21421,25615,20464,19804,18392,16210
18,58329,18846,13057,10912,9598,7267
19,21.06,48.80,31.64,28.95,54.76,32.27
