,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh600686,,,73.53%,75.93%,74.60%,74.47%,75.23%,75.98%,76.47%,82.35%,78.89%,,,2.60%,3.10%,2.62%,2.38%,2.16%,2.27%,3.53%,-8.68%,5.10%,,,10.45%,14.54%,14.18%,10.45%,10.54%,10.59%,16.26%,-20.48%,13.74%,,,1.34次,1.48次,1.47次,1.37次,1.35次,1.24次,1.23次,0.86次,0.71次
sz300205,,,58.30%,60.45%,24.48%,29.38%,37.68%,44.93%,33.60%,33.54%,34.00%,,,8.95%,9.87%,4.47%,5.20%,6.97%,4.40%,0.41%,0.28%,0.59%,,,19.78%,25.52%,4.02%,4.01%,8.28%,5.37%,0.63%,1.79%,1.94%,,,0.96次,1.05次,0.69次,0.56次,0.80次,0.72次,0.80次,0.97次,1.11次
sh603717,,,,,,55.14%,61.36%,57.99%,65.04%,59.40%,46.01%,,,,,,9.15%,9.09%,12.22%,11.96%,13.31%,12.80%,,,,,,34.48%,31.11%,29.70%,22.24%,20.14%,11.14%,,,,,,2.36次,1.31次,0.93次,0.70次,0.57次,0.49次
sz300330,,,51.44%,48.23%,53.64%,32.11%,31.03%,29.16%,24.61%,23.75%,24.47%,,,9.90%,13.71%,13.06%,12.23%,10.59%,5.86%,-6.42%,-21.63%,2.66%,,,28.84%,31.64%,31.01%,11.13%,5.64%,3.01%,-3.16%,-7.21%,1.55%,,,1.39次,1.17次,1.13次,0.57次,0.36次,0.36次,0.36次,0.25次,0.44次
sz300499,,,,,52.50%,53.69%,48.18%,48.78%,57.11%,46.68%,42.51%,,,,,14.94%,14.26%,14.81%,16.69%,14.38%,12.16%,7.42%,,,,,24.83%,21.42%,20.50%,19.16%,17.10%,10.70%,6.78%,,,,,1.38次,0.70次,0.68次,0.59次,0.55次,0.50次,0.51次
sz300145,,,44.47%,16.58%,20.26%,21.83%,25.02%,26.37%,32.29%,43.29%,52.21%,,,11.76%,11.08%,11.67%,11.72%,12.06%,12.48%,14.47%,18.52%,15.73%,,,30.58%,36.72%,10.30%,11.49%,13.41%,14.58%,16.33%,13.42%,13.65%,,,1.32次,0.90次,0.73次,0.76次,0.83次,0.82次,0.53次,0.44次,0.44次
sz300431,,,,,21.44%,26.14%,32.09%,36.21%,50.62%,67.69%,64.86%,,,,,29.03%,22.20%,11.87%,10.84%,24.20%,-14.66%,-9.12%,,,,,62.58%,31.31%,17.08%,15.78%,33.84%,7.00%,5.97%,,,,,1.77次,1.07次,1.02次,0.95次,0.72次,0.84次,0.69次
sz002783,,,41.32%,45.29%,46.53%,42.63%,39.89%,35.79%,22.74%,17.84%,30.71%,,,21.12%,18.25%,15.59%,12.50%,14.72%,13.51%,12.29%,12.95%,10.17%,,,33.96%,27.05%,24.97%,21.44%,21.07%,16.46%,13.66%,8.33%,8.44%,,,0.85次,0.82次,0.91次,0.92次,0.82次,0.76次,0.60次,0.52次,0.63次
sz300507,,,50.92%,50.51%,41.79%,35.51%,33.31%,25.70%,20.11%,14.99%,14.91%,,,11.30%,12.27%,11.59%,12.11%,13.16%,15.76%,17.47%,17.55%,17.57%,,,46.06%,48.45%,37.15%,30.56%,29.06%,29.74%,26.07%,15.53%,12.25%,,,3.26次,1.92次,1.73次,1.50次,1.43次,1.36次,1.17次,0.83次,0.60次
sh600561,,,57.65%,59.55%,67.93%,71.20%,62.03%,60.07%,68.17%,72.32%,74.08%,,,10.59%,10.18%,7.97%,7.28%,6.83%,7.38%,4.77%,-2.90%,2.60%,,,17.02%,17.69%,17.78%,15.83%,11.36%,10.31%,5.11%,-6.70%,1.45%,,,0.64次,0.72次,0.79次,0.66次,0.64次,0.61次,0.48次,0.43次,0.43次
sz002610,,,60.54%,50.13%,48.32%,63.83%,69.88%,71.71%,79.49%,65.01%,66.12%,,,8.73%,8.01%,12.80%,-3.93%,0.72%,3.28%,3.70%,3.96%,2.30%,,,43.91%,35.41%,25.18%,-4.37%,0.69%,5.73%,4.73%,2.92%,2.01%,,,1.52次,1.90次,0.85次,0.44次,0.49次,0.47次,0.31次,0.27次,0.29次
sh600271,,,26.30%,25.19%,23.59%,24.24%,24.26%,24.33%,33.91%,37.85%,37.00%,,,10.91%,12.27%,11.11%,9.39%,9.00%,8.38%,9.56%,8.62%,8.19%,,,18.29%,23.78%,22.09%,20.08%,19.07%,18.04%,22.04%,17.97%,16.16%,,,1.46次,1.57次,1.68次,1.88次,1.90次,2.00次,1.78次,1.59次,1.60次
sz002698,,,38.73%,38.86%,44.06%,25.52%,23.02%,19.56%,13.75%,15.21%,24.08%,,,26.64%,28.74%,25.27%,23.65%,27.14%,30.57%,24.43%,17.21%,15.47%,,,28.97%,28.75%,27.07%,20.74%,14.97%,12.16%,10.50%,6.18%,6.95%,,,1.29次,0.61次,0.61次,0.51次,0.42次,0.31次,0.35次,0.29次,0.32次
