,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz002337,,,60.07%,21.37%,20.87%,24.53%,26.13%,23.99%,20.36%,21.26%,19.54%,,,16.37%,17.90%,6.67%,2.78%,7.18%,7.40%,-26.65%,4.79%,2.43%,,,40.74%,7.94%,2.80%,1.00%,3.78%,3.98%,-7.93%,1.07%,1.20%,,,0.80次,0.43次,0.33次,0.28次,0.38次,0.41次,0.21次,0.22次,0.34次
sz000595,,,57.44%,72.20%,75.45%,73.41%,73.86%,72.04%,38.28%,44.82%,59.01%,,,-49.38%,-40.97%,1.50%,2.17%,-36.82%,4.63%,-52.47%,-23.74%,6.39%,,,-28.41%,-54.58%,3.40%,3.69%,-47.85%,7.31%,-26.42%,-11.99%,2.76%,,,0.27次,0.47次,0.59次,0.43次,0.34次,0.42次,0.23次,0.30次,0.28次
sh603316,,,,,,53.37%,57.72%,53.12%,50.21%,52.28%,38.30%,,,,,,7.14%,9.54%,8.36%,7.91%,9.62%,9.22%,,,,,,18.93%,17.38%,12.35%,9.03%,15.66%,11.18%,,,,,,1.85次,0.80次,0.66次,0.55次,0.78次,0.68次
sh603077,,,76.71%,68.75%,63.58%,32.53%,41.06%,47.96%,41.22%,16.65%,13.99%,,,5.12%,11.91%,19.28%,19.27%,4.02%,30.73%,8.34%,9.28%,10.66%,,,7.05%,23.53%,31.64%,14.89%,1.94%,16.17%,4.27%,4.29%,4.83%,,,0.53次,0.46次,0.56次,0.40次,0.30次,0.30次,0.28次,0.29次,0.36次
sz002151,,,30.37%,25.13%,39.12%,44.41%,49.77%,29.50%,26.58%,20.40%,31.24%,,,17.23%,12.43%,7.93%,9.83%,8.30%,5.34%,4.28%,3.71%,5.22%,,,16.83%,10.91%,5.97%,7.01%,6.26%,2.71%,2.65%,1.49%,2.43%,,,0.69次,0.47次,0.45次,0.42次,0.50次,0.53次,0.39次,0.34次,0.36次
sh600098,,,30.85%,31.96%,42.09%,51.31%,50.36%,48.57%,47.26%,47.75%,50.06%,,,13.48%,12.06%,5.60%,7.72%,8.84%,8.78%,8.70%,4.59%,3.61%,,,8.31%,8.26%,4.19%,7.05%,7.85%,9.05%,9.09%,4.51%,4.38%,,,0.51次,0.54次,0.57次,0.57次,0.50次,0.58次,0.62次,0.63次,0.67次
sh601500,,,,,78.97%,71.09%,65.57%,60.84%,55.75%,31.83%,35.23%,,,,,2.72%,4.65%,5.93%,5.79%,4.98%,5.07%,3.92%,,,,,11.22%,17.66%,19.76%,15.73%,10.85%,9.15%,5.76%,,,,,1.67次,0.94次,1.05次,0.99次,0.90次,0.92次,0.97次
sh603767,,,66.67%,51.96%,56.67%,55.61%,45.39%,46.01%,33.78%,30.22%,20.43%,,,14.28%,16.95%,14.32%,11.03%,12.84%,15.17%,10.98%,12.75%,8.86%,,,--,--,--,17.57%,20.92%,27.34%,16.00%,13.21%,6.99%,,,0.70次,0.90次,0.78次,0.83次,0.80次,0.98次,0.83次,0.69次,0.59次
sh600485,,,36.35%,33.99%,26.49%,25.48%,23.05%,24.53%,27.12%,45.10%,52.36%,,,11.22%,14.00%,8.25%,-18.17%,6.35%,60.50%,57.21%,51.81%,-273.55%,,,7.01%,8.97%,4.50%,-9.61%,3.26%,28.93%,16.86%,12.75%,-16.31%,,,0.39次,0.42次,0.38次,0.39次,0.39次,0.43次,0.23次,0.16次,0.03次
sz000616,,,61.12%,62.22%,62.04%,65.59%,61.58%,50.79%,49.43%,51.13%,57.22%,,,12.26%,17.71%,16.65%,12.22%,8.04%,10.21%,17.96%,-166.58%,8.20%,,,15.60%,17.56%,10.46%,8.27%,5.38%,4.54%,5.14%,-10.42%,0.32%,,,0.54次,0.37次,0.23次,0.24次,0.22次,0.20次,0.14次,0.03次,0.01次
sz002193,,,59.93%,61.99%,63.22%,62.66%,61.83%,64.07%,64.22%,43.85%,42.36%,,,9.96%,8.80%,1.75%,0.25%,0.41%,-0.31%,2.89%,3.62%,6.99%,,,8.04%,6.90%,1.68%,0.30%,0.36%,-0.27%,2.52%,2.16%,2.83%,,,0.38次,0.31次,0.36次,0.45次,0.33次,0.32次,0.31次,0.29次,0.26次
sz002540,,,32.28%,32.32%,6.60%,3.22%,6.24%,9.90%,12.29%,9.99%,6.98%,,,11.98%,11.29%,9.77%,5.65%,7.10%,9.82%,10.52%,10.94%,8.91%,,,25.76%,25.83%,6.21%,4.55%,6.51%,9.29%,9.31%,10.49%,9.52%,,,1.46次,1.55次,0.82次,0.75次,0.86次,0.86次,0.79次,0.85次,0.82次
sh600894,,,85.91%,88.90%,105.64%,45.98%,43.80%,37.01%,28.73%,25.93%,23.59%,,,0.60%,-1.51%,-11.15%,9.80%,21.50%,15.22%,44.71%,23.24%,8.68%,,,6.44%,-18.22%,-492.41%,24.00%,33.75%,18.09%,39.86%,16.19%,5.84%,,,1.44次,1.52次,1.56次,1.22次,0.86次,0.72次,0.59次,0.50次,0.51次
sz002073,,,27.10%,41.41%,45.47%,50.22%,50.98%,55.65%,44.67%,41.03%,42.15%,,,26.13%,24.95%,20.76%,13.03%,4.98%,6.45%,7.83%,-40.71%,2.79%,,,17.25%,16.66%,17.48%,6.88%,3.96%,5.67%,5.47%,-18.74%,2.01%,,,0.46次,0.44次,0.47次,0.28次,0.38次,0.40次,0.32次,0.24次,0.33次
