,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh603587,,,,,,50.85%,39.53%,44.73%,40.02%,35.63%,24.24%,,,,,,19.36%,21.76%,26.07%,27.17%,28.77%,24.67%,,,,,,93.23%,66.83%,62.98%,63.70%,55.27%,43.98%,,,,,,3.47次,1.77次,1.69次,1.53次,1.37次,1.26次
sh600666,,,66.37%,70.17%,74.78%,71.44%,78.40%,80.60%,63.58%,62.02%,60.05%,,,5.68%,4.75%,3.55%,2.95%,2.41%,2.17%,26.04%,31.56%,5.04%,,,10.94%,10.05%,9.36%,8.76%,7.57%,7.52%,19.97%,19.82%,2.10%,,,0.63次,0.68次,0.68次,0.78次,0.76次,0.70次,0.29次,0.23次,0.18次
sz002562,,,56.76%,52.59%,16.33%,60.85%,29.68%,31.31%,17.19%,25.94%,34.04%,,,7.60%,8.48%,9.08%,-7.44%,1.14%,4.86%,11.30%,17.97%,25.76%,,,21.71%,21.34%,7.53%,-7.10%,2.37%,4.97%,8.98%,9.84%,20.88%,,,1.00次,1.06次,0.77次,0.51次,0.50次,0.68次,0.55次,0.48次,0.54次
sz002580,,,66.52%,61.25%,30.87%,39.70%,45.22%,48.11%,37.31%,41.60%,41.56%,,,6.72%,6.13%,5.07%,4.43%,1.81%,1.56%,2.38%,3.47%,1.85%,,,35.80%,22.38%,8.79%,6.98%,2.28%,2.37%,3.18%,4.65%,2.62%,,,1.42次,1.33次,1.16次,1.00次,0.72次,0.81次,0.81次,0.81次,0.84次
sz000626,,,81.88%,84.21%,83.10%,82.19%,83.24%,81.91%,76.70%,74.08%,70.45%,,,0.70%,0.58%,0.19%,0.14%,0.30%,1.26%,1.13%,0.73%,-0.37%,,,15.36%,18.41%,8.26%,4.37%,8.84%,43.14%,38.27%,19.02%,-7.09%,,,5.74次,6.64次,7.10次,7.25次,8.50次,6.71次,6.66次,7.23次,9.52次
sz300312,,,76.16%,49.04%,56.08%,31.33%,38.95%,46.50%,51.39%,45.82%,40.56%,,,19.13%,20.61%,18.77%,14.94%,-20.43%,1.20%,1.31%,4.18%,-45.11%,,,85.06%,50.29%,33.53%,11.77%,-7.13%,1.16%,1.15%,-12.47%,-19.36%,,,1.06次,0.90次,0.84次,0.51次,0.23次,0.37次,0.34次,0.22次,0.23次
sz002530,,,50.49%,29.90%,25.49%,22.96%,20.27%,26.69%,23.52%,11.80%,15.69%,,,18.61%,13.40%,15.99%,15.32%,11.53%,9.50%,8.20%,9.29%,24.13%,,,26.64%,18.53%,8.45%,8.32%,6.80%,4.97%,4.96%,4.84%,6.04%,,,0.56次,0.47次,0.38次,0.41次,0.45次,0.40次,0.43次,0.18次,0.22次
sh600715,,,77.15%,91.38%,86.03%,85.64%,95.33%,122.61%,31.01%,38.04%,31.23%,,,-65.27%,"-22,111.91%",367.48%,4.61%,-51.13%,-450.09%,17.97%,27.03%,19.36%,,,-22.97%,-117.98%,58.17%,16.14%,-116.34%,--,10.49%,14.15%,7.40%,,,0.18次,0.00次,0.02次,0.50次,0.22次,0.05次,0.26次,0.34次,0.26次
sz300643,,,,,,41.78%,37.68%,48.02%,31.30%,29.36%,13.73%,,,,,,3.76%,5.71%,12.90%,12.08%,12.25%,11.01%,,,,,,11.37%,14.30%,33.70%,21.50%,19.58%,10.39%,,,,,,3.18次,1.48次,1.67次,1.23次,1.06次,0.82次
sh600609,,,96.95%,90.69%,90.17%,91.35%,90.16%,92.89%,92.99%,94.13%,85.41%,,,-8.88%,7.08%,1.65%,1.77%,1.59%,-0.21%,4.25%,0.01%,6.23%,,,-169.62%,159.96%,9.37%,6.40%,4.67%,-42.21%,13.99%,-124.51%,13.87%,,,0.91次,0.96次,0.91次,0.80次,0.77次,0.61次,0.48次,0.45次,0.67次
