,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,600423,*ST柳化,215.12,,,159.31,农药化肥,广西,31.34,3.99,3.99,320368.16,75176.95,200443.92,50930.59,1.28,0.154,0.1,49.93,20030717.0,-96691.71,-2.42,-11.86,107.54,5.42,3.36,29100.0
1,600306,商业城,71.97,68.0,63.19,55.18,百货,辽宁,20.08,1.77,1.78,163259.2,19135.5,109013.17,20389.11,1.14,0.46299999999999997,0.84,11.08,20001226.0,-25150.89,-1.41,-4.61,-25.57,17.17,8.93,18600.0
2,000717,韶钢松山,26.83,58.6,79.22,84.65,普钢,广东,5.62,24.2,24.2,1441538.0,440514.44,801547.88,322779.41,1.33,1.04,1.23,4.76,19970508.0,-331470.38,-1.37,86.35,2381.13,13.26,9.66,126047.0
3,600133,东湖高新,26.81,27.85,27.13,,园区开发,湖北,7.07,5.38,7.26,2177801.75,1589976.0,91217.18,54477.85,0.75,1.16,4.11,2.32,19980212.0,116914.02,1.61,58.9,2158.81,12.76,15.51,94944.0
4,002893,华通热力,25.83,19.25,6.03,,供气供热,北京,69.31,0.3,1.2,142167.38,70570.92,34371.3,26066.85,2.17,0.39,4.97,5.39,20170915.0,18700.89,1.56,0.0,0.0,17.46,6.33,19487.0
5,600354,敦煌种业,23.4,17.8,12.19,,种植业,甘肃,26.84,4.48,5.28,270930.78,165558.77,54162.93,90230.86,1.71,0.235,1.93,4.36,20040115.0,-44267.8,-0.84,-5.76,170.42,-10.29,61.38,63725.0
6,600225,*ST松江,22.84,23.83,21.69,,区域地产,天津,7.37,9.32,9.35,1338208.5,1065773.25,13454.62,114847.55,1.23,0.423,1.95,2.13,20000127.0,-41538.8,-0.44,-38.75,174.78,17.33,42.18,26556.0
7,600230,沧州大化,21.94,30.78,39.49,,农药化肥,河北,9.42,2.94,2.94,443183.44,182274.09,214020.91,64217.56,2.18,3.28,8.3,4.96,20000406.0,129972.82,4.42,70.64,1066.43,54.82,30.84,43132.0
8,600338,西藏珠峰,20.28,35.49,56.96,65.35,铅锌,西藏,18.66,1.58,6.53,323530.09,183947.02,96003.95,2236.43,0.03,1.705,2.61,12.19,20001227.0,162327.31,2.49,67.02,71.26,72.55,45.15,19000.0
9,000036,华联控股,18.32,25.71,26.25,,全国地产,深圳,6.53,11.35,11.41,821708.63,593262.69,93330.93,23105.13,0.2,0.9470000000000001,3.61,2.28,19940617.0,256030.66,2.24,1983.65,127.12,68.8,35.67,720008.0
