,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,600008,首创股份,1.05,2.42,3.88,4.9,环境保护,北京,39.15,48.21,48.21,5099431.0,933444.81,489776.5,60764.32,0.13,0.127,1.68,2.97,20000427,202689.77,0.42,17.36,0.18,31.4,6.59,281700.0
1,600009,上海机场,3.42,7.32,11.15,14.65,机场,上海,24.72,10.93,19.27,2754740.0,1007960.63,905877.31,257549.8,1.34,1.912,13.04,3.62,19980218,1931995.75,10.03,15.98,31.29,49.82,45.69,32000.0
2,600010,包钢股份,0.41,1.22,2.88,,普钢,内蒙,52.99,220.39,455.85,14440730.0,3761919.25,6311459.0,139903.02,0.03,0.031,1.07,2.04,20010309,57339.48,0.01,74.39,497.81,15.15,4.03,505738.0
3,600011,华能国际,0.88,1.13,3.75,2.37,火力发电,北京,53.4,105.0,152.0,37869372.0,4853771.0,24507948.0,1491323.88,0.98,0.11800000000000001,4.64,1.36,20011206,3196510.5,2.1,10.36,-82.73,11.31,1.18,90900.0
4,600015,华夏银行,2.89,6.19,8.72,,银行,北京,5.94,128.23,128.23,244578896.0,0.0,1265900.0,2662500.0,2.08,1.04,11.16,0.79,20030912,6243600.0,4.87,5.2,-2.67,0.0,28.41,119794.0
5,600016,民生银行,3.97,7.71,10.85,13.14,银行,北京,5.79,295.52,364.85,590208576.0,0.0,4598700.0,6475300.0,1.77,1.35,10.12,0.78,20001219,16342000.0,4.48,-7.04,4.12,0.0,34.52,374800.0
6,600018,上港集团,1.78,5.52,7.63,16.6,港口,上海,15.17,227.55,231.74,14123490.0,5026564.0,3298806.75,789533.38,0.34,0.498,3.0,2.52,20061026,3148947.25,1.36,19.34,66.25,33.71,30.83,256100.0
7,600019,宝钢股份,2.46,4.07,7.43,11.65,普钢,上海,12.25,220.9,222.68,34661280.0,13254327.0,15759142.0,4821146.0,2.17,0.53,7.11,1.2,20001212,5894787.5,2.65,43.12,95.52,10.89,4.63,462744.0
8,600021,上海电力,0.71,1.64,3.56,7.27,火力发电,上海,22.49,8.56,24.1,8091397.0,1025638.38,4688174.5,556086.63,2.31,0.385,5.29,1.64,20031029,438599.81,1.82,12.26,-14.96,19.63,4.92,120200.0
9,600023,浙能电力,1.57,,6.33,,火力发电,浙江,14.68,136.01,136.01,10709195.0,2412347.0,5347422.0,2383076.75,1.75,0.27699999999999997,4.38,1.24,20131219,1702840.0,1.25,31.01,-35.42,12.48,10.04,218605.0
