,code_x,name,roe_2017_1,bvps_2017_1,roe_2017_2,bvps_2017_2,roe_2017_3,bvps_2017_3,roe_2017_4,bvps_2017_4,code_y,pb,pe,industry
0,600000,浦发银行,3.96,16.2,,,11.51,13.2,,,,0.87,6.04,银行
1,600009,上海机场,3.49,,7.33,,11.52,,,,,3.62,24.72,机场
3,600011,华能国际,0.89,,1.08,,3.93,,2.47,,,1.36,53.4,火力发电
7,600018,上港集团,1.86,,5.46,,7.75,,17.92,,,2.52,15.17,港口
13,600019,宝钢股份,2.5,6.96,,,7.6,,12.24,,,1.2,12.25,普钢
15,600021,上海电力,0.71,,1.59,,3.53,,6.98,,,1.64,22.49,火力发电
31,600023,浙能电力,1.59,,4.03,,6.35,,,,,1.24,14.68,火力发电
39,600028,中国石化,2.31,,3.79,,5.37,,7.14,6.01,,1.1,15.61,石油加工
40,600029,南方航空,3.53,,,,15.09,,12.84,,,2.01,16.89,空运
44,600030,中信证券,1.6,,3.39,11.86,5.45,,,,,1.56,20.5,证券
50,600031,三一重工,3.22,,4.94,,,,,,,2.51,26.2,工程机械
52,600038,中直股份,1.03,,2.22,,,,6.49,,,3.95,62.65,航空
54,600048,保利地产,2.1,,6.17,,9.0,,,,,1.69,14.48,全国地产
58,600050,中国联通,0.35,,1.0,,1.68,,0.49,,,0.93,395.46,电信运营
60,600066,宇通客车,2.3,,,,13.79,,22.15,,,3.13,15.49,汽车整车
61,600085,同仁堂,3.7,,7.42,,,,12.55,,,6.06,50.09,中成药
65,600089,特变电工,2.62,,5.71,,,,,,,1.17,12.99,电气设备
66,600100,同方股份,-1.25,,,,-0.86,,,,,1.48,0.0,电脑设备
67,600104,上汽集团,4.0,,7.59,,,,16.87,,,1.77,11.56,汽车整车
75,600109,国金证券,1.62,,3.09,,4.89,,,,,1.46,22.86,证券
77,600115,东方航空,5.79,,8.79,,,,12.64,,,1.84,15.42,空运
79,600153,建发股份,1.94,,4.26,,7.4,,,,,1.42,14.32,商贸代理
81,600157,永泰能源,0.45,,,,,,,,,1.4,61.59,煤炭开采
82,600170,上海建工,2.21,,,,8.36,,10.72,,,1.36,12.64,建筑施工
88,600177,雅戈尔,5.51,,8.65,,,,,,,1.28,8.5,服饰
91,600188,兖州煤业,3.99,,7.1,,10.36,,14.0,,,1.39,9.37,煤炭开采
115,600196,复星医药,3.3,,7.46,,,,13.02,,,4.36,35.3,化学制药
119,600208,新湖中宝,1.3,,1.62,,5.76,,,,,1.22,16.36,全国地产
123,600219,南山铝业,0.9,,2.32,,,,5.01,,,0.9,18.2,铝
126,600276,恒瑞医药,6.35,,11.98,,17.34,,,,,16.13,75.4,化学制药
128,600297,广汇汽车,3.95,,8.16,,11.39,,,,,1.91,14.29,汽车服务
132,600309,万华化学,12.84,,25.43,,38.27,,50.66,,,3.65,8.95,化工原料
133,600340,华夏幸福,6.07,,16.96,,22.81,,31.4,,,3.36,10.75,区域地产
135,600352,浙江龙盛,3.15,,6.28,,,,15.24,,,2.18,14.34,染料涂料
136,600362,江西铜业,1.11,,,,3.35,,3.39,,,1.23,36.42,铜
137,600369,西南证券,0.13,,1.92,,3.08,,3.49,,,1.26,36.46,证券
143,600372,中航电子,-0.43,,,,3.51,,8.57,,,3.9,51.05,航空
149,600373,中文传媒,4.21,,7.0,,,,,,,1.72,14.41,出版业
152,600376,首开股份,0.43,,0.83,,3.38,,,,,1.04,17.63,区域地产
155,600390,五矿资本,1.78,,3.68,,7.41,,,,,1.23,13.52,多元金融
157,600406,国电南瑞,0.2,3.65,3.87,,,,,,,4.46,60.42,软件服务
160,600415,小商品城,6.46,,9.72,,11.2,,,,,2.57,17.06,商品城
161,600436,片仔癀,6.28,,,,17.79,,,,,12.65,56.78,中成药
164,600489,中金黄金,0.66,,,,2.29,,,,,2.47,82.13,黄金
167,600518,康美药业,4.0,,7.9,,,,,,,3.95,26.54,中成药
168,600522,中天科技,3.68,,,,11.72,,,,,2.05,18.44,通信设备
170,600535,天士力,3.92,,9.06,,13.66,,15.24,,,5.62,35.31,中成药
172,600547,山东黄金,2.09,,3.93,,5.63,,7.12,,,3.53,50.66,黄金
173,600570,恒生电子,1.74,,9.08,,11.29,,17.54,,,12.55,81.85,软件服务
175,600583,海油工程,-0.74,,0.86,,,,2.13,,,1.16,54.74,石油开采
176,600585,海螺水泥,2.77,,8.46,,12.26,,19.12,16.87,,1.99,11.23,水泥
180,600588,用友网络,-2.96,,-1.14,3.52,-4.62,,,,,8.78,131.98,软件服务
186,600637,东方明珠,1.61,,4.52,,3.79,,,,,1.72,33.9,影视音像
188,600660,福耀玻璃,3.77,,7.66,,11.87,,17.16,,,3.15,19.0,汽车配件
190,600663,陆家嘴,2.19,,5.86,,11.16,,,,,4.48,20.49,园区开发
191,600674,川投能源,3.86,,6.2,,13.37,,,,,1.8,10.44,水力发电
192,600685,中船防务,0.18,,0.42,,,,0.84,,,3.0,355.81,船舶
198,600688,上海石化,7.61,,9.82,,14.65,,20.84,2.61,,2.22,10.22,石油加工
204,600690,青岛海尔,6.38,,15.47,,19.51,,,,,3.5,13.97,家用电器
210,600704,物产中大,2.03,,,,,,,,,1.68,13.96,商贸代理
211,600705,中航资本,2.33,,,,8.65,,12.33,,,2.07,17.32,多元金融
214,600741,华域汽车,3.94,,,,,,16.51,,,1.79,11.29,汽车配件
