code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
002526,山东矿机,工程机械,山东,33.52,16.25,17.83,322681.09,201986.19,42469.19,38832.05,0.22,0.063,1.37,2.06,20101217,18425.55,0.1,55.19,205.86,25.67,8.03,74000.0,,,,,,,,,,,,,,,-1497万,4617万,-639万,2136万,2180万,3456万,3781万,3651万,3816万,,,,,,,,,,,,,,,,--,--,--,--,--,-25.14,--,70.91,74.99,,,,,,,,,,,,,,,,1.72亿,2.46亿,2.35亿,2.59亿,4.08亿,4.80亿,4.12亿,5.54亿,4.35亿,,,,,,,,,,,,,,,,-25.81,-29.09,19.01,7.82,136.62,94.83,75.04,113.92,6.48,
000536,华映科技,元器件,福建,0.0,20.03,27.66,2364780.25,1031146.81,907478.63,859451.63,3.11,-0.166,4.33,0.88,19931126,3438.91,0.01,5.55,-355.68,12.0,-12.66,68681.0,,,,,,,,,,,,,,,1150万,-1350万,5541万,1533万,1.09亿,2488万,-1.42亿,-1.29亿,-1.89亿,,,,,,,,,,,,,,,,-65.72,-116.19,-8.95,-95.45,850.98,--,-356.51,-942.25,-273.06,,,,,,,,,,,,,,,,11.5亿,13.4亿,10.5亿,10.7亿,13.3亿,14.4亿,11.4亿,11.5亿,13.5亿,,,,,,,,,,,,,,,,-20.65,13.01,1.88,16.68,15.30,7.82,9.13,7.29,1.34,
002600,领益智造,元器件,广东,0.0,14.88,68.25,2293379.0,1321016.75,539922.0,686836.25,1.01,-0.05,1.44,3.78,20110715,172813.81,0.25,186.04,-133.91,18.19,-2.19,164712.0,,,,,,,,,,,,,,,1.15亿,6741万,3.04亿,2.25亿,5.09亿,3.67亿,4.07亿,-9.88亿,2.29亿,,,,,,,,,,,,,,,,747.29,137.37,679.13,72.00,-15.93,1641.88,34.08,-539.06,-54.92,,,,,,,,,,,,,,,,41.1亿,38.1亿,14.0亿,15.2亿,27.1亿,103亿,42.8亿,55.4亿,62.7亿,,,,,,,,,,,,,,,,234.29,88.41,115.27,58.35,5.89,8.29,205.76,264.60,131.74,
300175,朗源股份,食品,山东,39.71,4.62,4.71,94860.21,46169.37,31948.38,7406.47,0.16,0.09699999999999999,1.6,3.21,20110215,35311.18,0.75,-18.98,-10.95,12.98,18.94,29230.0,,,,,,,,,,,,,,,1572万,-293万,5728万,-1089万,493万,-1172万,-457万,1216万,3811万,,,,,,,,,,,,,,,,--,-127.94,1040.12,-203.58,-68.66,--,-107.97,--,673.64,,,,,,,,,,,,,,,,1.56亿,1.33亿,6959万,8593万,1.42亿,8195万,6277万,9229万,8629万,,,,,,,,,,,,,,,,-30.14,-53.01,-57.87,-36.17,-8.93,-38.48,-9.80,7.41,-39.40,
000859,国风塑业,塑料,安徽,55.29,7.39,7.39,210457.2,81885.5,78980.4,58966.25,0.8,0.10099999999999999,2.08,3.58,19981119,14461.25,0.2,6.35,310.24,9.64,8.53,52532.0,,,,,,,,,,,,,,,-359万,3025万,806万,1595万,-582万,4204万,293万,3885万,3284万,,,,,,,,,,,,,,,,--,11.97,--,1222.44,--,38.98,-63.59,143.58,--,,,,,,,,,,,,,,,,2.83亿,3.66亿,2.82亿,2.64亿,2.77亿,3.51亿,2.54亿,3.00亿,3.21亿,,,,,,,,,,,,,,,,5.70,33.54,26.19,-2.93,-2.29,-4.27,-9.90,13.54,16.01,
002750,龙津药业,中成药,云南,181.17,3.97,4.0,76795.9,46210.37,20814.5,11.27,0.0,0.036000000000000004,1.62,5.41,20150324,20145.14,0.5,17.05,-52.71,90.8,5.77,22597.0,,,,,,,,,,,,,,,3970万,1753万,1395万,945万,731万,445万,724万,368万,360万,,,,,,,,,,,,,,,,165.66,-1.45,-12.88,-46.88,-81.59,-74.61,-48.07,-61.07,-50.72,,,,,,,,,,,,,,,,5724万,7222万,5943万,7324万,8240万,8938万,8285万,8480万,8408万,,,,,,,,,,,,,,,,32.47,60.60,33.23,47.77,43.94,23.76,39.41,15.78,2.04,
300279,和晶科技,元器件,江苏,0.0,3.13,4.49,313324.66,139084.23,38601.85,100003.78,2.23,-0.08900000000000001,3.62,1.61,20111229,15921.32,0.35,-14.51,-145.82,21.15,-4.39,12195.0,,,,,,,,,,,,,,,2234万,-142万,3120万,1953万,3676万,-1069万,2718万,987万,-7714万,,,,,,,,,,,,,,,,1154.52,-137.58,54.52,-28.67,64.54,--,-12.86,-49.47,-309.88,,,,,,,,,,,,,,,,3.30亿,3.74亿,3.95亿,3.92亿,2.81亿,3.61亿,3.45亿,3.58亿,2.11亿,,,,,,,,,,,,,,,,73.57,63.79,50.28,9.17,-14.60,-3.60,-12.72,-8.79,-25.01,
002175,东方网络,电器仪表,广西,0.0,5.99,7.54,201406.42,84070.93,35248.17,38431.69,0.51,-0.14,1.25,3.16,20071012,-21970.25,-0.29,-55.89,-1139.18,8.26,-60.78,80275.0,,,,,,,,,,,,,,,229万,3681万,3179万,-239万,-1921万,-2.82亿,-4086万,-2822万,-3677万,,,,,,,,,,,,,,,,-39.18,7.05,885.07,1.92,-186.46,-972.20,-228.54,--,--,,,,,,,,,,,,,,,,1.28亿,1.97亿,1.91亿,7787万,1.26亿,1671万,4482万,6087万,6846万,,,,,,,,,,,,,,,,48.73,13.65,71.40,-12.00,22.01,-128.91,-76.55,-21.82,-45.60,
002670,国盛金控,证券,广东,0.0,6.28,19.35,3308025.5,2323601.25,6746.5,886109.0,4.58,-0.131,6.08,2.0,20120416,89229.32,0.46,-99.77,-175.49,0.0,-17764.19,17616.0,,,,,,,,,,,,,,,1.34亿,2.66亿,3506万,1.16亿,1.86亿,2.44亿,-1.10亿,-6419万,-7960万,,,,,,,,,,,,,,,,5804.00,--,388.22,26.75,38.83,-8.21,-414.90,-155.52,-142.78,,,,,,,,,,,,,,,,5.22亿,5.40亿,5.79亿,6.48亿,3.26亿,3.20亿,3.13亿,3.22亿,2.53亿,,,,,,,,,,,,,,,,121.78,149.02,226.55,61.14,-37.62,-40.69,-45.98,-50.29,-22.23,
300278,华昌达,专用机械,湖北,607.59,2.68,5.98,483188.16,309161.44,50957.09,91438.68,1.53,0.008,2.76,2.43,20111216,39927.76,0.67,-14.79,-92.21,17.95,0.25,27314.0,,,,,,,,,,,,,,,1387万,4020万,3847万,2685万,-175万,-257万,1285万,1083万,-1873万,,,,,,,,,,,,,,,,-37.16,121.41,4.87,4.40,-112.60,-106.40,-66.59,-59.67,--,,,,,,,,,,,,,,,,4.81亿,6.77亿,8.04亿,8.51亿,6.34亿,6.77亿,4.45亿,7.63亿,7.42亿,,,,,,,,,,,,,,,,12.58,52.06,35.17,66.63,31.89,0.09,-44.66,-10.31,17.03,
