毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
0.00%,281.0亿,15.05,432.1亿,3224亿,4.376元,4.52,http://quote.eastmoney.com/sh600000.html,3.14%,1.905,92.41%,293.5亿,sh600000,浦发银行,10.48%,3367亿,0.76,34.35%,1271亿,1999-11-10,,,,,,,,,,,,,,,,,,,139亿,124亿,145亿,137亿,137亿,124亿,143亿,143亿,146亿,,,,,,,,,,,,,,,,,,,,4.93,-7.63,3.88,6.65,-1.33,-0.41,-1.09,4.09,6.64,,,,,,,,,,,,,,,,,,,,388亿,399亿,429亿,411亿,414亿,431亿,396亿,426亿,449亿,,,,,,,,,,,,,,,,,,,,2.18,5.13,0.40,2.53,6.86,10.00,-7.72,3.72,8.27,
28.56%,20.69亿,7.591,9.19亿,275.4亿,2.918元,22.49,http://quote.eastmoney.com/sh600004.html,-21.93%,0.444,43.35%,20.69亿,sh600004,白云机场,5.90%,275.4亿,1.75,16.19%,58.03亿,2003-04-28,,,,,,,,,,,,,,,,,,,3.62亿,3.37亿,4.08亿,3.73亿,3.96亿,4.19亿,4.33亿,2.70亿,2.16亿,,,,,,,,,,,,,,,,,,,,17.49,3.15,17.45,6.01,9.36,24.39,6.12,-27.56,-45.53,,,,,,,,,,,,,,,,,,,,15.5亿,16.3亿,15.8亿,16.3亿,17.0亿,18.4亿,17.2亿,20.0亿,20.8亿,,,,,,,,,,,,,,,,,,,,8.95,13.65,8.59,4.43,9.99,12.93,8.84,22.51,22.17,
11.37%,20.00亿,3.514,4.14亿,89.20亿,1.810元,16.17,http://quote.eastmoney.com/sh600006.html,258.73%,0.207,57.32%,20.00亿,sh600006,东风汽车,6.03%,89.20亿,1.27,4.38%,92.43亿,1999-07-27,,,,,,,,,,,,,,,,,,,478万,-834万,7031万,6446万,-1942万,8535万,1.29亿,1.62亿,1.23亿,,,,,,,,,,,,,,,,,,,,-95.03,-167.15,-42.04,-36.24,-506.09,--,84.17,150.93,--,,,,,,,,,,,,,,,,,,,,35.9亿,55.4亿,38.4亿,43.1亿,48.5亿,53.0亿,24.6亿,33.3亿,34.5亿,,,,,,,,,,,,,,,,,,,,-3.83,3.76,15.85,20.55,35.12,-4.29,-35.92,-22.71,-28.80,
53.13%,10.07亿,6.686,5.90亿,144.0亿,3.327元,18.32,http://quote.eastmoney.com/sh600007.html,23.63%,0.586,40.84%,10.07亿,sh600007,中国国贸,8.96%,144.0亿,2.14,25.27%,23.37亿,1999-03-12,,,,,,,,,,,,,,,,,,,1.71亿,1.38亿,1.59亿,1.36亿,1.82亿,1.58亿,2.02亿,2.02亿,1.86亿,,,,,,,,,,,,,,,,,,,,6.57,-14.98,-10.02,-32.23,6.38,14.57,27.11,48.34,2.10,,,,,,,,,,,,,,,,,,,,5.78亿,6.26亿,6.02亿,6.53亿,7.37亿,7.74亿,7.78亿,7.75亿,7.84亿,,,,,,,,,,,,,,,,,,,,3.29,1.58,5.41,13.76,27.47,23.70,29.12,18.66,6.40,
32.86%,48.21亿,1.9480000000000002,4.29亿,207.8亿,0.342元,42.82,http://quote.eastmoney.com/sh600008.html,1.44%,0.076,70.17%,56.85亿,sh600008,首创股份,3.42%,245.0亿,2.21,6.69%,76.12亿,2000-04-27,,,,,,,,,,,,,,,,,,,1.36亿,2.18亿,1.05亿,1.55亿,1.64亿,1.89亿,8621万,1.23亿,2.20亿,,,,,,,,,,,,,,,,,,,,92.03,66.90,9.35,-3.84,20.33,-13.44,-17.83,-20.17,34.21,,,,,,,,,,,,,,,,,,,,16.6亿,31.8亿,17.7亿,24.0亿,21.5亿,29.7亿,21.2亿,24.6亿,30.3亿,,,,,,,,,,,,,,,,,,,,11.28,15.34,24.77,45.71,29.31,-6.86,19.66,2.42,41.34,
16.13%,316.8亿,1.138,23.04亿,620.9亿,0.071元,29.09,http://quote.eastmoney.com/sh600010.html,63.80%,0.051,64.82%,455.9亿,sh600010,包钢股份,4.44%,893.5亿,1.72,4.79%,482.7亿,2001-03-09,,,,,,,,,,,,,,,,,,,2.08亿,-1.50亿,1.98亿,3.90亿,8.19亿,6.55亿,6.37亿,7.79亿,8.88亿,,,,,,,,,,,,,,,,,,,,--,--,--,-32.53,294.15,--,222.19,99.84,8.40,,,,,,,,,,,,,,,,,,,,79.7亿,110亿,106亿,105亿,137亿,188亿,130亿,187亿,166亿,,,,,,,,,,,,,,,,,,,,33.15,119.55,95.92,58.85,72.61,70.53,22.18,77.99,20.63,
12.50%,105.0亿,4.71,19.89亿,735.0亿,2.016元,41.44,http://quote.eastmoney.com/sh600011.html,-29.33%,0.127,74.25%,157.0亿,sh600011,华能国际,2.63%,1099亿,1.49,2.23%,1260亿,2001-12-06,,,,,,,,,,,,,,,,,,,33.5亿,-7.49亿,6.52亿,1.36亿,20.7亿,-10.2亿,12.2亿,9.10亿,-1.40亿,,,,,,,,,,,,,,,,,,,,-25.86,-204.19,-86.97,-95.11,-38.16,--,86.96,570.93,-106.74,,,,,,,,,,,,,,,,,,,,361亿,379亿,376亿,339亿,396亿,410亿,433亿,391亿,436亿,,,,,,,,,,,,,,,,,,,,-5.16,-3.35,7.54,15.92,9.77,9.22,15.11,15.63,9.95,
57.13%,11.66亿,5.938,8.52亿,78.33亿,4.208元,9.81,http://quote.eastmoney.com/sh600012.html,3.12%,0.514,28.61%,16.59亿,sh600012,皖通高速,8.84%,111.5亿,1.13,37.64%,22.49亿,2003-01-07,,,,,,,,,,,,,,,,,,,2.19亿,2.32亿,2.94亿,2.31亿,3.02亿,2.65亿,2.68亿,2.88亿,2.96亿,,,,,,,,,,,,,,,,,,,,-5.39,-1.23,15.47,1.46,37.68,14.14,-8.68,24.59,-1.82,,,,,,,,,,,,,,,,,,,,6.27亿,6.22亿,7.17亿,6.82亿,7.49亿,7.14亿,7.28亿,7.39亿,7.82亿,,,,,,,,,,,,,,,,,,,,0.54,3.45,5.81,19.00,19.43,14.82,1.64,8.44,4.32,
0.00%,128.2亿,14.11,145.1亿,1063亿,4.945元,4.59,http://quote.eastmoney.com/sh600015.html,2.01%,1.355,93.02%,153.9亿,sh600015,华夏银行,8.83%,1276亿,0.59,28.88%,506.2亿,2003-09-12,,,,,,,,,,,,,,,,,,,47.9亿,50.6亿,45.0亿,53.4亿,43.9亿,55.9亿,45.5亿,54.9亿,44.8亿,,,,,,,,,,,,,,,,,,,,3.05,1.79,1.53,-1.08,-8.35,10.51,1.11,2.79,1.98,,,,,,,,,,,,,,,,,,,,164亿,164亿,163亿,170亿,167亿,163亿,159亿,170亿,177亿,,,,,,,,,,,,,,,,,,,,10.42,4.84,8.02,5.79,2.08,-0.66,-2.61,-0.31,6.07,
0.00%,354.6亿,9.371,426.9亿,2280亿,4.365元,4.20,http://quote.eastmoney.com/sh600016.html,6.07%,1.15,92.92%,437.8亿,sh600016,民生银行,11.21%,2815亿,0.69,37.32%,1157亿,2000-12-19,,,,,,,,,,,,,,,,,,,119亿,86.8亿,142亿,139亿,122亿,95.7亿,149亿,147亿,131亿,,,,,,,,,,,,,,,,,,,,2.94,12.23,3.60,2.75,1.80,10.25,5.23,5.67,7.50,,,,,,,,,,,,,,,,,,,,384亿,388亿,363亿,344亿,355亿,381亿,367亿,387亿,402亿,,,,,,,,,,,,,,,,,,,,-2.13,1.50,-9.73,-9.28,-7.87,-1.12,1.36,12.42,13.26,
