毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
0.00%,281.0亿,15.05,432.1亿,3224亿,4.376元,4.52,http://quote.eastmoney.com/sh600000.html,3.14%,1.905,92.41%,293.5亿,600000,浦发银行,10.48%,3367亿,0.76,34.35%,1271亿,1999-11-10
28.56%,20.69亿,7.591,9.19亿,275.4亿,2.918元,22.49,http://quote.eastmoney.com/sh600004.html,-21.93%,0.444,43.35%,20.69亿,600004,白云机场,5.90%,275.4亿,1.75,16.19%,58.03亿,2003-04-28
11.37%,20.00亿,3.514,4.14亿,89.20亿,1.810元,16.17,http://quote.eastmoney.com/sh600006.html,258.73%,0.207,57.32%,20.00亿,600006,东风汽车,6.03%,89.20亿,1.27,4.38%,92.43亿,1999-07-27
53.13%,10.07亿,6.686,5.90亿,144.0亿,3.327元,18.32,http://quote.eastmoney.com/sh600007.html,23.63%,0.586,40.84%,10.07亿,600007,中国国贸,8.96%,144.0亿,2.14,25.27%,23.37亿,1999-03-12
32.86%,48.21亿,1.948,4.29亿,207.8亿,0.342元,42.82,http://quote.eastmoney.com/sh600008.html,1.44%,0.076,70.17%,56.85亿,600008,首创股份,3.42%,245.0亿,2.21,6.69%,76.12亿,2000-04-27
16.13%,316.8亿,1.138,23.04亿,620.9亿,0.071元,29.09,http://quote.eastmoney.com/sh600010.html,63.80%,0.051,64.82%,455.9亿,600010,包钢股份,4.44%,893.5亿,1.72,4.79%,482.7亿,2001-03-09
12.50%,105.0亿,4.710,19.89亿,735.0亿,2.016元,41.44,http://quote.eastmoney.com/sh600011.html,-29.33%,0.127,74.25%,157.0亿,600011,华能国际,2.63%,1099亿,1.49,2.23%,1260亿,2001-12-06
57.13%,11.66亿,5.938,8.52亿,78.33亿,4.208元,9.81,http://quote.eastmoney.com/sh600012.html,3.12%,0.514,28.61%,16.59亿,600012,皖通高速,8.84%,111.5亿,1.13,37.64%,22.49亿,2003-01-07
0.00%,128.2亿,14.11,145.1亿,1063亿,4.945元,4.59,http://quote.eastmoney.com/sh600015.html,2.01%,1.355,93.02%,153.9亿,600015,华夏银行,8.83%,1276亿,0.59,28.88%,506.2亿,2003-09-12
0.00%,354.6亿,9.371,426.9亿,2280亿,4.365元,4.20,http://quote.eastmoney.com/sh600016.html,6.07%,1.150,92.92%,437.8亿,600016,民生银行,11.21%,2815亿,0.69,37.32%,1157亿,2000-12-19
