name,net_profits_2016_2,net_profits_2016_3,net_profits_2016_4,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
江苏雷利,125.0298,190.4349,230.8712,60.6751,127.6922,185.2443,218.1004,48.4077,电气设备,江苏,23.83,0.45,1.83,288951.13,262550.75,17094.36,152929.61,8.34,0.264,11.12,2.26,20170602.0,39810.23,2.17,15.44,-20.22,22.37,8.7,18251.0
太极集团,964.4298,930.1089,853.3185,2.3135,34.7479,78.265,98.1335,11.6347,中成药,重庆,158.91,4.27,5.57,1205651.5,701546.81,225967.02,204798.95,3.68,0.021,5.69,2.33,19971118.0,47164.73,0.85,20.43,402.89,40.25,0.52,33672.0
藏格控股,71.857,467.7988,911.8098,28.9794,314.6176,675.2330000000001,1214.3771,84.0678,农药化肥,青海,86.27,4.47,19.94,784161.06,377803.94,320510.28,107658.35,0.54,0.042,3.32,4.38,19960628.0,312036.81,1.57,20.18,190.09,68.69,32.07,25222.0
吉比特,293.1212,461.54400000000004,585.4645,163.9785,299.3521,443.4593,609.7127,153.6962,互联网,福建,14.95,0.41,0.72,330243.59,248845.92,3095.28,104983.42,14.6,2.16,34.41,3.72,20170104.0,139646.27,19.43,0.93,-6.27,90.67,40.45,20091.0
宜华健康,933.6378,966.8048,744.3861,47.3052,102.8489,152.1678,174.3275,100.6439,医疗保健,广东,29.06,5.26,6.27,760974.88,278065.81,75024.36,74972.18,1.2,0.161,3.79,4.92,20000807.0,108372.65,1.73,41.07,112.75,42.28,17.65,13511.0
分众传媒,1901.1715,3147.0478,4451.2117,1106.7614,2532.9549,3916.5376,6004.7068,1207.4602,影视音像,广东,33.16,69.65,146.78,1570876.0,1105172.88,39982.12,18620.78,0.01,0.08199999999999999,0.79,13.84,20040804.0,1089309.88,0.74,22.28,9.1,68.94,40.8,69964.0
视源股份,324.0301,594.6423,741.9562,112.206,309.8173,596.3033,691.0816,127.8489,元器件,广东,76.86,0.67,6.51,508650.56,413402.56,50077.3,88825.22,1.36,0.196,4.11,14.71,20170119.0,143010.75,2.2,64.32,13.94,18.25,4.81,9275.0
亿联网络,186.0721,,432.3233,141.1994,305.0943,477.5597,590.7897,196.3387,通信设备,福建,26.63,0.75,2.99,316556.5,300949.75,11805.49,152470.25,5.1,0.657,10.21,6.86,20170317.0,130168.67,4.36,31.76,39.05,60.98,47.61,19652.0
凯瑞德,37.0859,32.6886,14.3564,-2.8089,2.7310000000000003,4.791,-35.1096,-5.2017,互联网,山东,0.0,1.76,1.76,67810.21,46591.28,289.06,19168.22,1.09,-0.03,0.32,23.7,20061018.0,-35039.1,-1.99,90.53,-85.18,10.51,-12.29,7603.0
西藏珠峰,263.6152,449.1385,650.257,305.8753,569.8767,824.2773,1113.6447,223.7491,铅锌,西藏,16.76,1.58,6.53,400380.0,258801.34,94929.86,2236.43,0.03,0.34299999999999997,2.86,8.03,20001227.0,184702.25,2.83,-3.68,-26.85,71.12,40.32,24565.0
