name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
江苏雷利,2154.57,,32.88,9.52,6.71,9.46,10.95,2.37,电气设备,江苏,23.83,0.45,1.83,288951.13,262550.75,17094.36,152929.61,8.34,0.264,11.12,2.26,20170602.0,39810.23,2.17,15.44,-20.22,22.37,8.7,18251.0
太极集团,58.85,58.41,66.43,0.17,2.72,6.41,7.99,0.36,中成药,重庆,158.91,4.27,5.57,1205651.5,701546.81,225967.02,204798.95,3.68,0.021,5.69,2.33,19971118.0,47164.73,0.85,20.43,402.89,40.25,0.52,33672.0
藏格控股,48.56,8.48,15.3,0.48,5.05,11.27,18.58,1.27,农药化肥,青海,86.27,4.47,19.94,784161.06,377803.94,320510.28,107658.35,0.54,0.042,3.32,4.38,19960628.0,312036.81,1.57,20.18,190.09,68.69,32.07,25222.0
吉比特,40.1,51.32,30.39,7.82,15.29,20.97,26.48,6.21,互联网,福建,14.95,0.41,0.72,330243.59,248845.92,3095.28,104983.42,14.6,2.16,34.41,3.72,20170104.0,139646.27,19.43,0.93,-6.27,90.67,40.45,20091.0
宜华健康,36.03,36.84,30.76,1.91,4.22,6.12,7.65,4.23,医疗保健,广东,29.06,5.26,6.27,760974.88,278065.81,75024.36,74972.18,1.2,0.161,3.79,4.92,20000807.0,108372.65,1.73,41.07,112.75,42.28,17.65,13511.0
分众传媒,35.1,47.22,55.7,12.2,36.61,47.2,57.89,10.43,影视音像,广东,33.16,69.65,146.78,1570876.0,1105172.88,39982.12,18620.78,0.01,0.08199999999999999,0.79,13.84,20040804.0,1089309.88,0.74,22.28,9.1,68.94,40.8,69964.0
视源股份,33.87,54.21,59.59,5.41,13.85,24.92,27.55,4.78,元器件,广东,76.86,0.67,6.51,508650.56,413402.56,50077.3,88825.22,1.36,0.196,4.11,14.71,20170119.0,143010.75,2.2,64.32,13.94,18.25,4.81,9275.0
亿联网络,33.33,,53.73,5.56,11.87,17.42,20.55,6.43,通信设备,福建,26.63,0.75,2.99,316556.5,300949.75,11805.49,152470.25,5.1,0.657,10.21,6.86,20170317.0,130168.67,4.36,31.76,39.05,60.98,47.61,19652.0
凯瑞德,31.27,28.62,14.97,-3.01,2.77,4.76,-57.79,-9.36,互联网,山东,0.0,1.76,1.76,67810.21,46591.28,289.06,19168.22,1.09,-0.03,0.32,23.7,20061018.0,-35039.1,-1.99,90.53,-85.18,10.51,-12.29,7603.0
西藏珠峰,31.21,43.07,50.1,20.28,35.49,56.96,65.35,11.97,铅锌,西藏,16.76,1.58,6.53,400380.0,258801.34,94929.86,2236.43,0.03,0.34299999999999997,2.86,8.03,20001227.0,184702.25,2.83,-3.68,-26.85,71.12,40.32,24565.0
荣泰健康,27.1,34.06,45.79,4.59,8.86,11.88,15.81,4.12,医疗保健,上海,44.16,0.51,1.4,225986.34,170666.56,37556.62,72588.05,5.18,0.41600000000000004,10.09,7.29,20170111.0,49747.92,3.55,64.92,6.1,35.18,9.66,5679.0
移为通信,26.59,35.03,47.11,,6.16,8.26,12.59,0.73,通信设备,上海,160.78,0.97,1.6,85279.18,78486.97,434.58,43590.39,2.72,0.036000000000000004,4.84,4.75,20170111.0,14699.11,0.92,24.31,-66.88,47.66,7.68,19426.0
恒林股份,26.39,,40.72,,13.79,20.16,7.6,0.91,家居用品,浙江,50.6,0.25,1.0,261585.3,205957.86,30791.69,135395.72,13.54,0.2,21.99,1.84,20171121.0,69523.96,6.95,0.0,0.0,18.7,4.51,21494.0
富瀚微,26.0,,41.11,3.14,6.5,8.84,11.22,,半导体,上海,105.52,0.13,0.45,107990.75,88670.28,17647.96,67321.46,14.86,0.336,21.21,6.69,20170220.0,29768.59,6.57,2.38,-44.22,43.14,17.65,12395.0
