name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,roe2018_2,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
开能健康,5.6,9.32,13.29,1.65,4.86,6.56,7.12,31.59,,环境保护,上海,2.88,2.67,4.78,147628.34,43912.18,34165.34,19837.57,0.42,0.743,2.35,3.64,20111102,46318.3,0.97,18.48,3011.82,30.94,221.07,16919
亚星化学,,,364.4,2.61,48.44,54.48,81.58,25.92,,化工原料,山东,39.41,3.16,3.16,142217.34,53610.88,74004.75,85094.9,2.7,0.036,0.14,40.87,20010326,-117439.35,-3.72,7.75,5366.52,10.84,2.24,15445
天目药业,-16.86,-0.83,2.06,-5.53,-13.97,12.64,12.13,23.2,,中成药,浙江,24.25,1.22,1.22,48206.55,25722.42,14553.37,5149.78,0.42,0.167,0.72,22.51,19930823,-11006.99,-0.9,280.98,755.39,33.03,22.44,8222
韶钢松山,-181.49,-46.54,22.12,26.83,58.6,79.22,84.65,22.39,,普钢,广东,5.29,24.2,24.2,1389692.5,393341.47,783910.13,322877.38,1.33,0.355,1.58,4.74,19970508,-245638.97,-1.02,15.89,410.42,16.3,14.06,136183
寒锐钴业,5.74,,17.81,6.62,16.42,31.43,40.34,20.98,,小金属,江苏,26.29,1.14,1.92,266753.28,222828.27,22213.61,36078.15,1.88,1.327,6.33,22.06,20170306,69681.46,3.63,218.67,412.52,53.12,34.56,29253
光线传媒,4.63,8.43,10.53,2.59,5.61,8.6,9.68,19.15,,影视音像,北京,3.28,27.52,29.34,1367237.63,671433.5,3626.06,248303.84,0.85,0.679,3.55,2.52,20110803,439350.16,1.5,-34.25,976.95,37.76,497.27,71424
方大特钢,11.54,18.91,25.12,9.7,23.32,39.93,52.13,16.85,,特种钢,江西,7.8,13.26,14.5,1174647.88,757410,242419.17,6176.95,0.04,0.42,2.49,4.81,20030930,124731.92,0.86,40.15,95.68,29.22,14.43,85942
鸿特科技,4.18,5.18,7.85,2.04,6.93,31.28,44.35,16.7,,汽车配件,广东,15.51,2,2.04,274847.69,166498.11,89166.1,31930.75,1.57,1.09,6.52,10.36,20110215,85608.78,4.2,184.08,1564.37,71.07,20.67,7500
四川金顶,-152.19,-390.98,-1063.48,,,-135.14,103.05,16.46,,水泥,四川,156.81,3.49,3.49,44057.51,7137.8,16895.92,30535.36,0.87,0.016,0.1,103.25,19931008,-65069.25,-1.86,111.02,167.22,26.65,11.34,36301
方大炭素,0.25,1.34,1.15,1.24,6.62,24.47,37.31,16.19,,矿物制品,甘肃,6.07,17.19,17.89,1579945.88,1280554.88,160941.81,229517.13,1.28,1.059,6.54,3.93,20020830,739107.44,4.13,408.4,2476.75,83.14,53.79,238626
天赐材料,14.24,21.25,24.35,3.78,10.14,11.36,12,14.54,,化工原料,广东,5.82,1.94,3.4,416979.31,243847.47,80558.32,107275.47,3.16,1.211,8.43,3.34,20140123,135901.66,4,14.95,543.43,24.98,94.35,34073
世荣兆业,7.3,5.19,5.23,0.53,-0.77,21.02,36.88,14.05,,区域地产,广东,5.94,6.87,8.09,696919,629715,17061.51,13558.25,0.17,0.501,3.57,3.34,20040708,171758.05,2.12,610.73,4073.76,61.61,43.44,35755
万华化学,10.93,18.33,24.82,11.26,23.13,32.59,40.81,13.27,23.08,化工原料,山东,9.54,27.34,27.34,6809277,2513453,2727049,239297.05,0.88,2.542,11.01,4.4,20010105,2216892.5,8.11,23.02,42.97,40.12,23.12,117733
华菱钢铁,-14.92,-17.71,-16.91,4.69,13.3,29.2,39.82,12.91,,普钢,湖南,4.7,30.15,30.16,7619419,3147370.25,3914690.5,702743.44,2.33,0.509,3.94,2.43,19990803,98281.53,0.33,11.17,398.74,16.23,7.68,92947
柳钢股份,1.74,2.7,4.23,4.18,7.86,21.6,36.75,12.68,,普钢,广西,5.7,25.63,25.63,2251592.25,1241711.13,955851.19,20843.6,0.08,0.408,3.22,2.89,20070227,423581.06,1.65,25.49,416.29,12.51,9.22,63650
福建水泥,-14.18,-9.77,1.88,-6.27,-6.08,-11.69,-25.16,12.67,,水泥,福建,8.96,3.82,3.82,391181.47,63775.96,214857.52,21390.35,0.56,0.226,1.79,4.55,19940103,-32574.55,-0.85,41.57,298.63,29.57,17.19,45874
沧州大化,-2.03,6.78,24.6,21.94,30.78,39.49,46.76,12.64,22.77,农药化肥,河北,6.3,4.12,4.12,438531.56,196288.47,213965.27,64217.56,1.56,0.966,7.64,3.19,20000406,201556.25,4.89,9.2,-6.38,60.19,34.01,44886
华通热力,,,15.28,25.83,19.25,6.03,8.79,12.61,,供气供热,北京,7.5,0.3,1.2,147668.95,68297.45,38442.8,26066.85,2.17,0.714,5.66,3.78,20170915,28904.24,2.41,7.31,-24.01,23.66,15.45,19368
华友钴业,-1.3,0.45,1.59,5.47,13.53,20.76,31.46,12.59,,小金属,浙江,15.27,8.2,8.3,1948961.75,1354880.5,359957,288117.19,3.47,1.025,8.14,7.69,20150129,330215.38,3.98,96.36,237.96,35.11,24.79,74622
平治信息,18.02,23.85,19.34,8.03,17.31,20.34,28.75,12.39,,互联网,浙江,35.12,0.69,1.2,68695.06,47278.31,5067.93,5034.55,0.42,0.4,3.21,17.36,20161213,24412.9,2.03,12.37,118.12,43.61,20.41,5534
金达威,9.74,9.53,13.84,2.97,6.85,10.63,19.08,12.12,,食品,福建,7.45,6,6.16,352059.13,191046.55,48172.03,88528.22,1.44,0.548,4.52,3.61,20111028,121185.27,1.97,79.63,409.96,66.94,44.76,21095
西藏珠峰,31.21,43.07,50.1,20.28,35.49,56.96,65.35,11.97,,铅锌,西藏,15.31,1.58,6.53,400380,258801.34,94929.86,2236.43,0.03,0.343,2.86,7.33,20001227,184702.25,2.83,-3.68,-26.85,71.12,40.32,24565
山西汾酒,7.95,9.79,12.71,8.94,12.3,15.8,18.03,11.93,,白酒,山西,16.06,8.66,8.66,1045564.19,767903.13,173288.13,24214.46,0.28,0.82,6.87,7.67,19940106,431319.06,4.98,48.56,51.82,70.95,21.92,28163
东尼电子,,,25.19,6.49,15.59,13.54,23.77,10.69,,元器件,浙江,17.75,0.35,1.02,139612.66,80010.75,44248.6,44781.03,4.39,0.862,8.06,7.59,20170712,32541.8,3.19,210.96,402.7,48.45,29.82,4742
洋河股份,14.47,19.3,22.36,9.52,14.58,19.6,22.45,10.54,,白酒,江苏,12.75,12.42,15.07,4436392,2901970,815032.25,74170.4,0.49,2.306,21.88,5.38,20091106,2998708.5,19.9,25.68,26.69,74.79,36.44,26637
分众传媒,35.1,47.22,55.7,12.2,36.61,47.2,57.89,10.43,,影视音像,广东,31.12,69.65,146.78,1570876,1105172.88,39982.12,18620.78,0.01,0.082,0.79,12.99,20040804,1089309.88,0.74,22.28,9.1,68.94,40.8,69964
合盛硅业,13.5,,24.64,9.3,17.3,26.74,28.01,10.42,,化工原料,浙江,16.75,0.7,6.7,1514759,522197.59,500081.06,226936.52,3.39,0.94,9.02,6.98,20171030,303294.59,4.53,55.25,132.26,43.69,28.06,32730
