name,business_income_2017_1,business_income_2017_2,business_income_2017_3,business_income_2017_4,business_income_2018_1,business_income_2018_2,business_income_2018_3,business_income_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
商业城,240.50799999999998,434.9297,619.3852,922.2737,240.5409,452.2773,690.7206,,百货,辽宁,0.0,1.77,1.78,185129.02,45775.64,105138.57,20389.11,1.14,-0.485,0.35,19.81,20001226.0,-33790.93,-1.9,11.52,-175.18,16.23,-12.51,14740.0
韶钢松山,5268.7636,11336.6476,18534.1754,26038.2683,6106.0401,12120.878,19370.3304,,普钢,广东,3.82,24.2,24.2,1600226.88,476939.31,1028200.81,323557.91,1.34,1.14,2.35,2.47,19970508.0,-61368.0,-0.25,8.33,54.02,19.6,14.23,114786.0
东湖高新,1243.7266,2860.3078,4733.7741,7632.9067,1434.8244,3741.3747,5960.1132,,园区开发,湖北,20.8,5.97,7.26,2341927.25,1687502.75,84108.71,127472.35,1.76,0.24,5.05,1.41,19980212.0,137713.48,1.9,25.91,-74.55,15.5,3.14,90350.0
华通热力,516.6846,538.3068,549.3759,915.1223,554.4704,577.0947,590.0991,,供气供热,北京,77.82,0.64,1.23,138944.56,57429.3,38890.53,26070.17,2.12,0.15,5.0,3.08,20170915.0,20960.81,1.7,7.41,-47.58,11.11,3.09,20389.0
敦煌种业,90.5655,142.7711,202.2802,485.1785,85.6487,206.1195,366.5071,,种植业,甘肃,0.0,5.28,5.28,222215.84,146212.59,48192.03,89895.68,1.7,-0.235,1.5,2.86,20040115.0,-66517.61,-1.26,81.19,-199.81,11.08,-33.82,63641.0
天津松江,289.0652,558.7135,939.265,1475.7845,75.429,835.4099,2211.7305,,区域地产,天津,0.0,9.33,9.35,1403465.25,974864.81,23057.34,114885.02,1.23,-0.281,1.46,2.39,20000127.0,-92293.17,-0.99,135.47,-166.45,20.47,-11.9,26017.0
沧州大化,1070.923,2068.5829,3128.3276,4417.1951,1169.4838,2493.179,3549.7369,,农药化肥,河北,5.9,4.12,4.12,474093.41,241698.17,212021.84,52450.05,1.27,2.498,8.8,2.23,20000406.0,249963.34,6.07,13.47,6.63,51.71,28.98,45404.0
西藏珠峰,576.0689,1170.6904,1772.4735,2466.5269,554.8788,1106.0175,1570.0758,,铅锌,西藏,15.36,6.53,6.53,412807.47,253908.66,104445.77,2236.43,0.03,1.177,3.73,6.45,20001227.0,239178.8,3.66,-11.42,-6.77,71.52,48.95,25035.0
华联控股,1783.7509,2849.3391,3030.6028,3971.7470000000003,454.1677,1407.6918,2710.683,,全国地产,深圳,7.46,11.36,11.41,1142238.0,923225.63,86969.38,23789.64,0.21,0.647,4.02,1.6,19940617.0,285830.44,2.5,-10.56,-31.71,73.7,27.23,61806.0
朗玛信息,280.1342,982.5052,1939.0313,411.7583,105.7173,228.4726,349.653,,软件服务,贵州,48.22,2.03,3.38,172174.38,48869.21,16058.0,38467.53,1.14,0.23,3.82,3.87,20120216.0,52030.5,1.54,13.0,-9.91,51.26,22.23,41378.0
