,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
sz300228,,,,,,,,,,,,,,,-3579万,-1.91亿,1859万,2522万,675万,48.9万,234万,-2980万,-1249万,,,,,,,,,,,,,,,,--,--,--,--,--,--,-87.42,-218.16,-285.06,,,,,,,,,,,,,,,,2.10亿,3.14亿,3.20亿,4.88亿,3.70亿,5.67亿,2.30亿,3.14亿,3.56亿,,,,,,,,,,,,,,,,36.01,-22.18,141.65,112.32,76.50,80.39,-28.08,-35.70,-3.80,
sz000828,,,,,,,,,,,,,,,2.22亿,2.02亿,2.14亿,2.48亿,2.53亿,1.72亿,2.22亿,2.26亿,2.62亿,,,,,,,,,,,,,,,,22.43,-2.34,14.67,13.78,13.93,-15.07,4.01,-8.75,3.54,,,,,,,,,,,,,,,,3.28亿,3.43亿,3.30亿,3.63亿,3.89亿,3.70亿,3.78亿,4.12亿,4.32亿,,,,,,,,,,,,,,,,14.70,9.93,17.21,21.30,18.52,7.96,14.77,13.54,11.05,
sh603768,,,,,,,,,,,,,,,4053万,3189万,3527万,1889万,3462万,3845万,4266万,1376万,1369万,,,,,,,,,,,,,,,,--,--,-13.14,-46.54,-14.58,20.56,20.96,-27.16,-60.47,,,,,,,,,,,,,,,,3.65亿,4.71亿,5.02亿,4.10亿,4.21亿,5.85亿,5.14亿,4.81亿,4.18亿,,,,,,,,,,,,,,,,--,--,53.09,24.85,15.17,24.00,2.53,17.44,-0.64,
sz002709,,,,,,,,,,,,,,,1.24亿,7967万,6396万,1.13亿,1.01亿,2689万,4.12亿,3449万,2654万,,,,,,,,,,,,,,,,494.80,61.35,-9.84,-7.27,-18.54,-66.24,543.43,-69.43,-73.74,,,,,,,,,,,,,,,,5.45亿,4.92亿,3.79亿,5.56亿,5.98亿,5.24亿,4.36亿,5.06亿,5.55亿,,,,,,,,,,,,,,,,96.58,63.62,9.92,21.94,9.84,6.55,14.95,-9.01,-7.23,
sz000836,,,,,,,,,,,,,,,620万,1847万,461万,4219万,1686万,2046万,2095万,1836万,4039万,,,,,,,,,,,,,,,,--,-91.44,-73.07,646.60,171.86,10.79,354.26,-56.47,139.52,,,,,,,,,,,,,,,,4.56亿,5.56亿,4.39亿,5.35亿,4.92亿,5.91亿,4.95亿,5.29亿,8.37亿,,,,,,,,,,,,,,,,7.03,20.17,18.04,12.38,7.80,6.30,12.92,-1.30,70.18,
sz002629,,,,,,,,,,,,,,,-669万,6529万,-1433万,14.4万,233万,1372万,-1264万,554万,-1407万,,,,,,,,,,,,,,,,--,--,--,--,--,-78.98,--,3734.33,-704.32,,,,,,,,,,,,,,,,4298万,2.13亿,5.15亿,9.28亿,10.0亿,8.70亿,5.37亿,11.3亿,8.63亿,,,,,,,,,,,,,,,,8.98,102.04,2265.31,2422.14,2227.96,307.97,4.24,21.67,-13.73,
sz002300,,,,,,,,,,,,,,,4324万,3966万,1180万,2827万,3642万,2536万,1242万,2888万,3688万,,,,,,,,,,,,,,,,-19.03,6.12,-47.96,-43.20,-15.78,-36.06,5.29,2.17,1.28,,,,,,,,,,,,,,,,8.98亿,9.80亿,7.25亿,9.93亿,11.4亿,12.4亿,9.74亿,12.9亿,14.2亿,,,,,,,,,,,,,,,,-7.47,4.21,0.39,12.84,26.47,26.72,34.36,29.69,25.00,
sz002169,,,,,,,,,,,,,,,2533万,2082万,1053万,5662万,1577万,4222万,1346万,6960万,55.7万,,,,,,,,,,,,,,,,8.96,-57.49,3.14,2.93,-37.75,102.76,27.80,22.93,-96.46,,,,,,,,,,,,,,,,3.28亿,4.78亿,2.41亿,3.84亿,3.96亿,8.10亿,4.54亿,8.06亿,6.46亿,,,,,,,,,,,,,,,,-4.93,23.41,-9.10,17.18,20.85,69.59,88.75,109.78,63.12,
sh600582,,,,,,,,,,,,,,,7556万,5.67亿,1156万,3.24亿,1.24亿,4.83亿,4933万,4.26亿,2.03亿,,,,,,,,,,,,,,,,-55.90,8.63,-46.06,20.94,63.53,-14.82,326.93,31.60,64.51,,,,,,,,,,,,,,,,24.2亿,59.4亿,20.3亿,34.9亿,34.6亿,64.0亿,29.7亿,47.8亿,47.4亿,,,,,,,,,,,,,,,,-21.23,24.28,11.92,25.97,43.17,7.80,46.58,37.07,37.04,
sz000561,,,,,,,,,,,,,,,3446万,1776万,-1952万,3600万,-1038万,6361万,-1914万,3898万,-1274万,,,,,,,,,,,,,,,,--,-75.30,--,-13.58,-130.12,258.18,--,8.30,--,,,,,,,,,,,,,,,,2.12亿,5.10亿,1.31亿,3.09亿,1.83亿,5.93亿,1.77亿,2.92亿,2.35亿,,,,,,,,,,,,,,,,34.16,-12.60,-11.52,24.32,-13.57,16.26,34.33,-5.58,28.61,
