code,net2017_1,net2017_2,net2017_3,net2017_4
600423,40.6863,-87.9168,-178.9974,61.5515
600306,171.9346,142.2706,114.9175,82.4033
000717,168.1588,649.6478,1750.2624,2516.5474
600133,686.8356,714.7392,734.2096,923.9752
002893,112.738,77.1772,34.7754,52.2131
600354,273.7035,193.9913,124.1691,25.6056
600225,423.3024,447.5248,396.1643,199.7788
600230,424.8125,656.0819,964.9116,1283.0424
600338,305.8753,569.8767,824.2773,1113.6447
000036,758.4114,1051.7958,1080.9825,1343.1251
300288,240.8041,273.35200000000003,310.2056,97.1416
600291,2117.8868,2355.706,2486.7097,2395.0876
000505,13.7571,17.2261,113.8332,129.6032
000526,9.1549,100.4168,63.6477,24.3809
600633,1259.7513,1319.4932,1551.8098,1656.9364
600167,451.5746,450.1452,467.3884,922.1238
002207,62.6184,43.4725,44.6623,9.8916
600303,446.8228,394.6131,383.6969,316.033
600393,725.1229,911.8026,1192.0341,1167.8579
002027,1106.7614,2532.9549,3916.5376,6004.7068
603165,95.29299999999999,180.7294,276.2556,398.6823
000822,275.6988,337.2595,526.3592,685.1887
600309,2195.0598,4861.0379,7810.996,11134.7903
000011,301.5978,364.3558,576.1666,622.9627
600581,272.693,401.4538,865.2639,1167.9596
603387,40.8975,89.5978,137.9821,193.9884
002714,680.0364,1200.2683,1812.2119,2365.5294
600210,452.3018,571.7005,669.2198,554.803
603757,31.0086,71.5804,124.4371,179.4308
603617,23.9135,38.1709,41.7367,56.2817
600507,284.9063,704.5549,1539.5194,2539.5266
600746,46.9853,60.4722,68.2177,75.0317
002869,42.6138,56.3314,57.23,89.4179
603933,40.8893,83.7036,130.5432,141.3199
300136,204.2566,403.3872,714.9657,889.0461
002304,2742.9570000000003,3908.2605,5581.6621,6627.17
300660,60.6751,127.6922,185.2443,218.1004
603260,271.296,553.8127,966.2335,1516.9724
600398,1010.0032,1875.1873,2512.635,3328.8742
000820,73.1398,207.7269,304.9786,348.0885
603868,200.4488,378.9907,599.8549,835.3476
000848,196.9693,227.6467,319.074,413.5979
300658,22.1829,43.5741,62.4572,90.13
603730,137.8831,273.1339,436.1749,581.7754
600809,467.7106,601.6837,805.5308,944.1017
002868,26.5162,46.7564,71.6806,85.925
603288,976.9545,1823.1879,2538.9352,3531.4369
600689,40.7749,34.5346,35.4164,20.7027
300450,90.70200000000001,178.983,278.585,537.5
603113,210.3987,363.9446,598.5098,678.7879
002555,433.0332,850.5505,1211.3393,1620.5824
000517,348.8206,469.6956,479.2921,541.7558
002366,161.6856,425.8192,654.385,1013.9797
300640,10.3426,20.1067,29.3676,35.658
603233,117.2391,248.4163,366.7039,474.961
002636,152.2898,261.8439,395.7477,537.3363
300571,21.8783,50.3246,61.3882,97.0273
603357,68.9857,119.4265,172.3684,288.8344
601238,3828.5784,6182.6024,8962.1182,10786.2199
002648,291.6945,484.1789,695.5228,942.4568
000567,18.5181,37.4427,56.3379,73.2683
300681,22.7402,38.5754,53.431000000000004,84.2954
603444,163.9785,299.3521,443.4593,609.7127
600519,6123.1193,11250.8609,19983.846999999998,27079.3603
002466,405.7787,923.9907,1518.4214,2145.0388
600282,548.8886,1208.1563,2046.6502,3200.3494
603369,385.3397,649.3312,775.8197,895.8769
300504,51.169,,180.7659,229.9486
002870,20.3461,40.5256,60.9361,71.4896
600211,54.1339,58.1719,134.7693,229.6457
600816,1020.1356,1612.0172,2825.2883,3668.2123
002597,200.8596,484.3065,699.6173,1022.2685
002032,366.4788,596.9732,896.3677,1307.6066
600566,290.7111,581.8112,907.3166,1223.4635
603659,79.7074,195.7995,323.9325,450.8658
600121,227.4511,405.8454,615.2159,627.446
002002,304.1976,504.9552,856.4709,1004.8829
300668,10.3734,26.0157,43.7087,62.2479
600719,57.3959,16.5568,-25.1139,3.3568
600729,364.4397,466.8119,501.7028,605.4308
300693,19.7866,31.7102,40.1596,46.0148
000997,190.5783,428.0259,554.5262,654.0831
600688,1928.852,2575.479,4101.491,6141.558000000001
002867,124.6966,263.5319,415.9268,592.0748
603589,327.0254,525.86,901.0052,1113.663
300175,57.2845,46.397,51.323,39.6009
603197,45.1835,94.2254,144.5678,173.8783
601225,2673.7849,5472.8071,8068.3373,10449.4
600726,261.1669,104.7917,-397.074,-1103.8943
300393,72.9131,153.8617,207.9092,258.5727
000858,3593.1124,4971.5056,6964.7632,9673.7215
603129,29.6477,60.6518,84.4518,97.4051
002833,53.7495,122.7622,193.6303,234.4805
002174,205.9369,339.4923,459.344,655.8905
603186,40.8347,51.8146,70.2752,93.5978
002489,244.9692,250.2391,167.6824,78.2466
600887,1733.6533,3364.1111,4937.2673,6000.8849
002120,278.8676,747.7349,1176.0773,1589.3196
000963,544.0141,1041.4405,1489.1589999999999,1779.5061
000651,4014.5365,9452.4833,15460.7089,22401.5762
300208,119.5722,250.5474,313.1358,334.1447
603198,288.2465,329.4733,427.7662,666.6357
600409,510.4879,962.1326,1463.884,1889.0771
603225,226.1986,526.3316,931.6676,1496.5949
002128,702.9109,1051.46,1200.1137,1754.6147
000596,407.7647,548.8899,797.4833,1148.7406
601801,625.056,829.7807,1036.8067,1116.6771
603788,60.4362,118.0587,169.3248,233.0058
000568,797.4680000000001,1467.0435,1997.3949,2557.9446
000423,604.5662,901.4704,1246.596,2044.3525
000333,4352.587,10811.322,14998.175,17283.689
600758,368.9003,450.339,475.9749,464.657
300618,49.7222,135.944,311.7877,449.4048
603985,30.4207,48.0002,63.6244,90.6961
600201,265.9831,387.2789,682.6091,870.0944
002215,114.2041,234.7225,250.6913,308.5061
002294,376.4237,730.4128,1094.0455,1451.8873
300641,38.0348,76.1271,96.7374,108.06299999999999
603938,35.7079,63.876000000000005,94.8538,142.7443
603595,17.4926,46.5082,86.8035,173.3657
603919,113.6555,141.8084,176.6914,252.9614
002860,21.8909,43.4743,66.3206,89.4039
603096,45.7537,108.3264,177.4183,232.3229
603899,166.0839,289.0744,490.70099999999996,634.0409999999999
603680,102.6507,219.0096,402.1503,599.8976
300072,436.7157,1212.9854,1994.9034,2539.1523
600628,270.1418,362.1238,420.1452,448.2951
000915,86.5311,146.7323,216.2377,243.2009
600732,26.0189,71.4839,66.3656,60.9666
600415,680.4218,1035.2788,1236.9362,1459.3645
603496,17.6189,33.907,55.5475,75.2364
000418,397.2034,731.5405,1143.0198,1506.4125
300497,50.7497,101.1114,139.4496,177.5504
002326,164.2927,220.7777,280.0958,182.2361
300146,283.1985,582.2685,803.2323,766.2556
300695,30.599,78.3419,122.1483,204.9767
600276,811.8476,1573.4309,2327.7659,3216.6479999999997
600690,1738.7636,4427.0684,5682.3617,6925.7923
600298,212.949,420.9094,611.5343,847.1877
600436,226.3688,433.1989,674.7071,807.0187
000629,222.0895,415.8448,670.2584,863.2819999999999
603160,175.34799999999998,481.9757,762.6313,886.9421
002136,31.9572,81.1803,124.7007,163.7692
603929,56.0271,81.2276,102.2758,128.3291
000869,516.6345,670.0691,816.1845,1031.6951
600779,92.154,114.4996,243.362,335.48800000000006
000540,940.6819,1423.2549,1655.45,2081.5493
002748,65.163,118.6678,136.7023,150.5598
000835,21.9743,29.2376,34.6694,127.6981
000895,878.6166,1904.0549,3151.0387,4319.2999
603338,67.1653,149.5237,227.4703,283.1455
300415,51.9856,133.4296,204.9397,275.4883
002763,100.1754,177.4299,227.0525,222.3186
600612,310.8609,582.5924,896.877,1136.1960000000001
002517,206.8438,413.8479,1057.2957,1610.2174
300446,30.498,45.5829,68.4389,104.3788
603883,113.3333,191.3186,274.3798,370.8002
603277,39.4415,115.5293,182.4404,197.5865
603798,47.3741,75.4758,96.5337,119.5367
600452,55.2015,109.64,179.5997,226.4238
002415,1480.8169,3291.5461,6152.8142,9410.8551
002508,251.5767,597.7579,960.4336,1461.2135
002007,255.33599999999998,431.1205,619.0987,820.8235
300652,16.4939,35.2843,54.3571,74.9599
600883,38.5578,40.6033,43.5276,27.2992
603568,120.6192,246.3164,378.23,506.8622
000672,87.7366,261.9557,455.5045,791.7741
603259,336.8691,,1063.0394,1227.0935
600273,238.358,458.8382,681.9191,968.5291
600856,138.3622,272.595,413.7389,525.8419
600340,1754.6997,5367.1831,6228.4574,8780.806
000049,69.0108,114.4864,186.267,300.5356
600115,2818.0,4347.0,7915.0,6352.0
600995,94.8077,199.2808,222.3828,156.6963
601318,23053.0,43427.0,66318.0,89088.0
002468,322.4803,746.5009,1127.4084,1487.8362
300628,141.1994,305.0943,477.5597,590.7897
603896,24.6483,40.9576,50.7955,88.8799
300357,38.2077,78.7301,148.4885,186.1039
600180,268.6985,312.2134,353.8087,715.1249
600177,1261.789,2047.1303,2677.8893,296.7314
600197,111.259,161.6995,256.5719,353.342
601515,201.8329,355.6967,517.0819,652.0942
