code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600306,171.9346,142.2706,114.9175,82.4033,-24.3986,商业城,百货,辽宁,0.0,1.77,1.78,192589.17,50055.64,107722.22,20389.11,1.14,-0.13699999999999998,0.7,9.98,20001226,-27590.75,-1.55,0.01,-114.19,16.85,-10.14,19052.0
000717,168.1588,649.6478,1750.2624,2516.5474,858.314,韶钢松山,普钢,广东,5.45,24.2,24.2,1389692.5,393341.47,783910.13,322877.38,1.33,0.355,1.58,4.88,19970508,-245638.97,-1.02,15.89,410.42,16.3,14.06,136183.0
600133,686.8356,714.7392,734.2096,923.9752,29.945999999999998,东湖高新,园区开发,湖北,36.35,5.38,7.26,2230451.0,1610930.25,88191.9,130032.61,1.79,0.040999999999999995,5.06,1.19,19980212,135550.38,1.87,15.36,-95.64,16.48,2.09,94944.0
002893,112.738,77.1772,34.7754,52.2131,85.6705,华通热力,供气供热,北京,8.18,0.3,1.2,147668.95,68297.45,38442.8,26066.85,2.17,0.7140000000000001,5.66,4.13,20170915,28904.24,2.41,7.31,-24.01,23.66,15.45,19368.0
600354,273.7035,193.9913,124.1691,25.6056,-41.3714,敦煌种业,种植业,甘肃,0.0,4.48,5.28,214503.09,137859.86,50356.0,89895.68,1.7,-0.078,1.66,3.22,20040115,-58261.3,-1.1,-5.43,-115.12,14.83,-48.3,69318.0
600225,423.3024,447.5248,396.1643,199.7788,-160.1238,天津松江,区域地产,天津,0.0,9.32,9.35,1471677.25,1081199.25,23811.77,114885.02,1.23,-0.171,1.57,2.36,20000127,-81981.92,-0.88,-73.91,-137.83,41.1,-212.28,22598.0
600230,424.8125,656.0819,964.9116,1283.0424,397.7034,沧州大化,农药化肥,河北,6.63,4.12,4.12,438531.56,196288.47,213965.27,64217.56,1.56,0.966,7.64,3.35,20000406,201556.25,4.89,9.2,-6.38,60.19,34.01,44886.0
600338,305.8753,569.8767,824.2773,1113.6447,223.7491,西藏珠峰,铅锌,西藏,16.4,1.58,6.53,400380.0,258801.34,94929.86,2236.43,0.03,0.34299999999999997,2.86,7.85,20001227,184702.25,2.83,-3.68,-26.85,71.12,40.32,24565.0
000036,758.4114,1051.7958,1080.9825,1343.1251,105.3236,华联控股,全国地产,深圳,16.47,11.36,11.41,990527.88,768834.94,92186.6,23859.0,0.21,0.092,3.95,1.54,19940617,279470.09,2.45,-74.54,-86.11,71.92,23.19,67144.0
300288,240.8041,273.35200000000003,310.2056,97.1416,21.4729,朗玛信息,软件服务,贵州,60.75,2.03,3.38,154612.91,37492.26,16588.68,38445.37,1.14,0.064,3.65,4.23,20120216,46403.26,1.37,7.42,33.67,50.2,20.31,43073.0
600291,2117.8868,2355.706,2486.7097,2395.0876,213.5117,西水股份,保险,内蒙,18.28,9.79,10.93,15513888.0,0.0,90417.07,589512.69,5.39,0.195,11.75,1.22,20000731,316142.81,2.89,-30.78,-89.92,0.0,3.25,105774.0
000505,13.7571,17.2261,113.8332,129.6032,31.0419,京粮控股,食品,海南,34.91,3.6,6.86,576836.75,357168.5,132274.06,159254.16,2.32,0.045,3.11,2.03,19921221,-26806.97,-0.39,20.78,4.63,7.35,1.66,33650.0
000526,9.1549,100.4168,63.6477,24.3809,3.0069999999999997,紫光学大,文教休闲,福建,225.37,0.96,0.96,386225.41,175293.19,15349.95,5808.39,0.6,0.031,0.75,37.39,19931101,-8731.62,-0.91,2.07,-67.15,25.58,0.42,12160.0
