code,net2017_1,,net2017_2,,net2017_3,,net2017_4,pe
2600,57.8911,1.311128999,133.7938,0.723197936,230.5532,5.093038396,1404.7695,16.54
2685,5.5059,2.505984489,19.3036,0.218011148,23.512,4.611275094,131.9323,15.47
600052,19.7622,0.628143628,32.1757,0.24253707,39.9795,3.717222577,188.5922,18.34
850,10.9301,0.216411561,13.2955,0.786190816,23.7483,3.380671459,104.0335,9.82
2447,10.9303,2.374948538,36.8892,0.866849918,68.8666,2.940567706,271.3735,17.66
2061,53.1276,2.669401592,194.9465,0.509124811,294.1986,2.762106958,1106.8066,11.66
603518,29.6508,0.50326804,44.5731,0.272947136,56.7392,2.347556892,189.9377,13.22
1979,2121.8837,0.633660459,3466.4375,0.072600213,3718.1016,2.286706366,12220.3082,6.5
600383,870.7865,0.32328085,1152.2951,0.968968713,2268.833,2.015945378,6842.6764,9.44
981,51.5531,5.464905117,333.2859,0.645214214,548.3267,1.92032706,1601.2933,17.63
600389,38.9911,0.706866439,66.5526,0.311482947,87.2826,1.852661355,248.9877,18.54
300437,9.0268,2.150518456,28.4391,0.492462842,42.4443,1.668412484,113.2589,17.67
600256,30.2732,2.623805875,109.7042,1.260951723,248.0359,1.642294926,655.384,14.62
600376,160.2114,0.969520271,315.5396,1.89397971,913.1652,1.587459312,2362.7778,14.14
600658,19.63,2.629780948,71.2526,1.804422575,199.8224,1.544713205,508.4907,14.8
300107,4.8807,3.058065441,19.8062,0.733618766,34.3364,1.535958924,87.0757,15.33
600846,30.4077,0.76829553,53.7698,0.875844805,100.8638,1.528751643,255.0595,16.13
42,25.8583,4.852074576,151.3247,0.616282074,244.5834,1.515964698,615.3632,10.2
600466,119.2716,1.374945922,283.2636,0.933810415,547.7781,1.493619953,1365.9504,15.05
600748,120.0715,0.895649675,227.6135,0.554176707,353.7516,1.465959447,872.3371,17.28
6,103.8588,1.403325477,249.6065,0.358685771,339.1368,1.375549926,805.6364,6.91
46,434.6118,1.07951901,903.7835,0.352140197,1222.042,1.365973264,2891.3187,5.54
2164,4.1064,2.671488408,15.0766,3.507680777,67.9605,1.344269097,159.3177,15.65
2118,35.2726,2.128312061,110.3437,0.440234467,158.9208,1.338129433,371.5774,14.77
600596,62.4191,2.380290648,210.9947,0.097969285,231.6657,1.299586862,532.7354,12.08
600603,62.4279,0.792352458,111.8928,0.357497533,151.8942,1.294803225,348.5673,12.86
600681,83.693,1.175339634,182.0607,1.077764174,378.2792,1.268266402,858.038,12.32
600782,272.0448,1.102265509,571.9104,1.404637685,1375.2373,1.261880331,3110.6222,6.91
2721,29.6746,0.122121275,33.2985,1.471171374,82.2863,1.216530577,182.3901,14.21
825,321.7522,1.299835401,739.9771,1.915924966,2157.7177,1.142024928,4621.8851,5.62
600663,449.8546,1.564567974,1153.6827,0.26853146,1463.4828,1.138677475,3129.9177,14.34
818,29.233,1.087247289,61.0165,0.958562028,119.5046,1.138344465,255.542,16.89
718,42.193,3.214549807,177.8245,2.022658857,537.5028,1.135359109,1147.7615,10.02
600648,92.3701,1.980693969,275.327,0.264456446,348.139,1.124542496,739.6361,14.59
601003,202.5984,0.952680771,395.61,2.172850535,1255.2114,1.108151902,2646.1763,6.25
