date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,roe,eps
2014/1/2,sz.000651,32.08,10.023944,3.082811,0.863814,6.334887,0.307544715,10.40608717
2014/1/3,sz.000651,30.99,9.683355,2.978065,0.834464,6.119643,0.307544751,10.40608583
2014/1/6,sz.000651,30.02,9.380261,2.88485,0.808345,5.928095,0.307544747,10.40608697
2014/1/7,sz.000651,29.97,9.364638,2.880046,0.806999,5.918222,0.30754483,10.40608379
2014/1/8,sz.000651,30.16,9.424007,2.898304,0.812115,5.955741,0.307544763,10.40608577
2014/1/9,sz.000651,29.46,9.20528,2.831036,0.793266,5.817511,0.3075448,10.40608456
2014/1/10,sz.000651,29.48,9.211529,2.832958,0.793804,5.821461,0.307544817,10.40608438
2014/1/13,sz.000651,28.35,8.858441,2.724367,0.763377,5.598318,0.307544747,10.40608699
2014/1/14,sz.000651,29.23,9.133412,2.808933,0.787073,5.772093,0.30754476,10.40608658
2014/1/15,sz.000651,29.35,9.170909,2.820465,0.790304,5.795789,0.307544759,10.40608552
2014/1/16,sz.000651,28.8,8.999052,2.767611,0.775494,5.68718,0.307544728,10.40608669
2014/1/17,sz.000651,28.07,8.770951,2.69746,0.755837,5.543026,0.307544758,10.40608573
2014/1/20,sz.000651,29.57,8.22515,2.841606,0.741004,5.839233,0.345477712,10.40608726
2014/1/21,sz.000651,29.65,8.247403,2.849294,0.743008,5.855031,0.345477722,10.40608656
2014/1/22,sz.000651,30.4,8.456022,2.921367,0.761803,6.003135,0.345477696,10.40608729
2014/1/23,sz.000651,30.28,8.422643,2.909836,0.758796,5.979438,0.345477779,10.40608474
2014/1/24,sz.000651,30,8.344758,2.882928,0.751779,5.924146,0.345477724,10.40608714
2014/1/27,sz.000651,29,8.0666,2.786831,0.72672,5.726674,0.345477773,10.4060849
2014/1/28,sz.000651,29.2,8.122231,2.80605,0.731732,5.766169,0.345477739,10.40608685
2014/1/29,sz.000651,28.68,7.977589,2.75608,0.718701,5.663484,0.345477813,10.406084
2014/1/30,sz.000651,28.36,7.888578,2.725328,0.710682,5.600293,0.345477727,10.4060869
2014/2/7,sz.000651,28.75,7.99706,2.762806,0.720455,5.677307,0.345477713,10.40608714
2014/2/10,sz.000651,29.56,8.222369,2.840645,0.740753,5.837258,0.345477684,10.40608735
2014/2/11,sz.000651,29.92,8.322506,2.875241,0.749774,5.908348,0.345477792,10.40608422
2014/2/12,sz.000651,31.08,8.64517,2.986714,0.778843,6.137415,0.345477764,10.40608508
2014/2/13,sz.000651,31.74,8.828754,3.050138,0.795382,6.267746,0.345477742,10.40608654
2014/2/14,sz.000651,31.63,8.798157,3.039568,0.792626,6.246025,0.345477809,10.40608402
2014/2/17,sz.000651,31.56,8.778686,3.032841,0.790872,6.232202,0.345477786,10.40608459
2014/2/18,sz.000651,31.35,8.720272,3.01266,0.785609,6.190733,0.345477756,10.40608632
2014/2/19,sz.000651,31.95,8.887168,3.070319,0.800645,6.309215,0.345477772,10.40608484
2014/2/20,sz.000651,30.95,8.609009,2.974221,0.775586,6.111744,0.345477743,10.40608617
2014/2/21,sz.000651,30.5,8.483838,2.930977,0.764309,6.022882,0.345477719,10.40608643
2014/2/24,sz.000651,28.37,7.89136,2.726289,0.710933,5.602267,0.345477712,10.40608681
2014/2/25,sz.000651,27.78,7.727246,2.669592,0.696148,5.485759,0.345477807,10.40608453
2014/2/26,sz.000651,28.07,7.807912,2.69746,0.703415,5.543026,0.345477767,10.40608573
2014/2/27,sz.000651,26.36,7.332261,2.533133,0.660563,5.20535,0.345477746,10.40608606
2014/2/28,sz.000651,27.75,7.718901,2.666709,0.695396,5.479835,0.345477808,10.4060848
2014/3/3,sz.000651,28.13,7.824602,2.703226,0.704918,5.554874,0.345477764,10.40608517
2014/3/4,sz.000651,28,7.788441,2.690733,0.701661,5.529203,0.345477741,10.40608637
2014/3/5,sz.000651,27.38,7.615983,2.631153,0.686124,5.406771,0.345477793,10.40608433
2014/3/6,sz.000651,27.94,7.771752,2.684967,0.700157,5.517355,0.345477699,10.40608693
2014/3/7,sz.000651,27.76,7.721683,2.66767,0.695646,5.48181,0.345477793,10.40608471
2014/3/10,sz.000651,27.2,7.565914,2.613855,0.681613,5.371226,0.345477757,10.40608603
2014/3/11,sz.000651,27.79,7.730028,2.670553,0.696398,5.487734,0.345477791,10.40608443
2014/3/12,sz.000651,28.16,7.832947,2.706109,0.70567,5.560798,0.345477762,10.4060849
2014/3/13,sz.000651,27.97,7.780096,2.68785,0.700909,5.523279,0.345477742,10.40608665
2014/3/14,sz.000651,27.59,7.674396,2.651333,0.691386,5.44824,0.345477742,10.4060863
2014/3/17,sz.000651,27.84,7.743936,2.675358,0.697651,5.497607,0.345477804,10.40608397
2014/3/18,sz.000651,27.4,7.621546,2.633075,0.686625,5.41072,0.345477807,10.40608414
2014/3/19,sz.000651,26.9,7.482467,2.585026,0.674095,5.311984,0.345477768,10.40608489
2014/3/20,sz.000651,26.46,7.360077,2.542743,0.663069,5.225097,0.345477771,10.40608508
2014/3/21,sz.000651,27.12,7.543662,2.606167,0.679608,5.355428,0.3454777,10.40608679
2014/3/24,sz.000651,26.81,7.457432,2.576377,0.67184,5.294212,0.345477773,10.40608576
