date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2014-01-02,sz.000651,32.0800,10.023944,3.082811,0.863814,6.334887
2014-01-03,sz.000651,30.9900,9.683355,2.978065,0.834464,6.119643
2014-01-06,sz.000651,30.0200,9.380261,2.884850,0.808345,5.928095
2014-01-07,sz.000651,29.9700,9.364638,2.880046,0.806999,5.918222
2014-01-08,sz.000651,30.1600,9.424007,2.898304,0.812115,5.955741
2014-01-09,sz.000651,29.4600,9.205280,2.831036,0.793266,5.817511
2014-01-10,sz.000651,29.4800,9.211529,2.832958,0.793804,5.821461
2014-01-13,sz.000651,28.3500,8.858441,2.724367,0.763377,5.598318
2014-01-14,sz.000651,29.2300,9.133412,2.808933,0.787073,5.772093
2014-01-15,sz.000651,29.3500,9.170909,2.820465,0.790304,5.795789
2014-01-16,sz.000651,28.8000,8.999052,2.767611,0.775494,5.687180
2014-01-17,sz.000651,28.0700,8.770951,2.697460,0.755837,5.543026
2014-01-20,sz.000651,29.5700,8.225150,2.841606,0.741004,5.839233
2014-01-21,sz.000651,29.6500,8.247403,2.849294,0.743008,5.855031
2014-01-22,sz.000651,30.4000,8.456022,2.921367,0.761803,6.003135
2014-01-23,sz.000651,30.2800,8.422643,2.909836,0.758796,5.979438
2014-01-24,sz.000651,30.0000,8.344758,2.882928,0.751779,5.924146
2014-01-27,sz.000651,29.0000,8.066600,2.786831,0.726720,5.726674
2014-01-28,sz.000651,29.2000,8.122231,2.806050,0.731732,5.766169
2014-01-29,sz.000651,28.6800,7.977589,2.756080,0.718701,5.663484
2014-01-30,sz.000651,28.3600,7.888578,2.725328,0.710682,5.600293
2014-02-07,sz.000651,28.7500,7.997060,2.762806,0.720455,5.677307
2014-02-10,sz.000651,29.5600,8.222369,2.840645,0.740753,5.837258
2014-02-11,sz.000651,29.9200,8.322506,2.875241,0.749774,5.908348
2014-02-12,sz.000651,31.0800,8.645170,2.986714,0.778843,6.137415
2014-02-13,sz.000651,31.7400,8.828754,3.050138,0.795382,6.267746
2014-02-14,sz.000651,31.6300,8.798157,3.039568,0.792626,6.246025
2014-02-17,sz.000651,31.5600,8.778686,3.032841,0.790872,6.232202
2014-02-18,sz.000651,31.3500,8.720272,3.012660,0.785609,6.190733
