0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
1996-12-31,0.63,0,0.2352,1.58,0.0217,39.82,0,11601200000,7896150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781490000,0,199111000,355930000,0,0,0,0,47831000,0,0,0,28219000,0,0,65067200000,0,0,0,499878000,0,2779000,115178000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63487300000,1000000000,21726000,322984000,0,235198000,0,0,0,1579910000,65067200000,2195320000,1215210000,172367000,0,699290000,0,0,0,0,317293000,0,-209800000,980113000,0,12986000,4990000,0,0,988109000,358998000,0,629111000,629111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143.87,41.18,0.02,18.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.36,0,0,0,39.82,0,28.66,0,0,0,0,0,0,0,988109000,988109000,0,97.57,0,0,0,0.306,0,0,2.49,22.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1997-12-31,0.32,0,0.17,1.58,0.17,20.34,0,21042700000,3365010000,0,0,0,0,0,0,0,0,0,0,0,0,0,356990000,0,3206680000,0,312751000,344165000,0,13000,0,0,82950000,0,0,0,34929000,0,0,81640300000,0,413965000,0,596092000,0,4345000,42977000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78468600000,2010000000,334671000,483969000,0,343078000,0,0,0,3171720000,81640300000,2668370000,1673190000,320556000,0,960047000,0,0,0,0,403744000,0,-119822000,995172000,0,2570000,8112000,0,0,989626000,344627000,0,644999000,644999000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540.45,25.74,4.04,27.22,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,2.53,100.753,57.074,25.471,27.246,1.54,0,0,0,77.28,37.3,0,0,20.34,4.863,24.17,0.879,0,37.3,0,0,0,0,989626000,989626000,0,96.12,0,0,0,0.383,0,0,4.02,36.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998-12-31,0.43,0,0,1.66,0.17,25.78,-0.773,16158500000,4511100000,0,0,0,0,0,0,0,0,0,0,0,0,0,537866000,0,7192020000,0,387276000,444214000,0,83000,0,0,99040000,0,0,0,0,0,0,87338200000,0,0,0,752573000,0,10638000,-48755000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84004700000,2010000000,334671000,988835000,0,0,0,0,0,3333510000,87338200000,2991030000,1838870000,298921000,0,1103240000,0,0,0,0,719032000,0,-364581000,1152170000,0,12580000,4037000,0,0,1160710000,301275000,0,859438000,859438000,0,0,0,20486600000,20486600000,0,0,656997000,21383100000,22040100000,-1553590000,5100000,5711000,0,0,10272000,21083000,278706000,288303000,0,0,567009000,-545926000,0,0,0,0,0,396148000,413965000,810113000,-810113000,0,0,-2909630000,12948300000,10038600000,859438000,54353000,0,71443000,0,153000,0,0,0,-383401000,34929000,0,0,71043000,-64818000,-379688000,1022830000,0,0,0,10038600000,12948300000,0,0,-2909630000,0,0,0,0,0,0,0,2597.17,26.2,3.97,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,33.25,5.101,23.829,6.979,78.091,15.78,0,0,0,82.78,38.52,0,0,25.78,7.644,28.73,1.017,0,38.52,0,0,0,0,1160710000,1232160000,0,96.18,0,0,0,0.443,0,0,3.97,24.39,-0.77,0,-419.15,0,-5.19,390.11,-0.0991,0,-1.849,-180.768,-1.779,0,0,0,0,0,0,0,0,2010000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999-06-30,0.25,0,0.25,1.91,0.17,13.18,0,12699200000,5377320000,0,0,0,0,0,0,0,0,0,0,0,0,0,1580890000,0,8040910000,0,361909000,524329000,0,74000,0,0,96664000,0,0,0,0,0,0,87203200000,0,0,0,688972000,0,12948000,-117186000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83363700000,2010000000,334671000,988835000,0,505971000,0,0,0,3839480000,87203200000,1293060000,655682000,132165000,0,450128000,0,0,0,0,371532000,0,-68662000,637378000,0,106000,960000,0,0,636524000,130553000,0,505971000,505971000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227.3,22.71,4.61,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.178,0,-0.155,0,0,0,0,0,109.31,49.29,0,0,13.18,2.782,39.13,0.58,0,49.29,0,0,0,0,636524000,636524000,0,95.6,0,0,0,0.415,0,0,4.61,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999-12-31,0.385,0,0.02,3.23,1.61,11.92,0.189,0,5926450000,0,370328000,0,986846000,0,0,0,0,0,1821800000,270702000,77494600000,0,0,0,0,0,2225270000,646407000,0,0,0,0,131454000,0,0,0,272260000,635115000,12858000000,103210000000,0,0,0,0,61485300000,18160300,-105045000,0,533854000,1877110000,0,0,346506000,64155800000,0,0,0,0,0,0,0,30861000000,95433600000,2410000000,3890040000,1438410000,0,37602000,0,0,0,7776050000,103210000000,2865540000,1702890000,277064000,0,1174270000,0,0,0,0,1046420000,0,-228468000,1162650000,0,20545300,6181310,0,0,1177010000,250322000,0,926692000,926692000,0,0,0,19907400000,19907400000,0,442047000,702241000,18306700000,19451000000,456343000,0,38950900,0,0,442200,39393100,2240010000,0,0,0,2240010000,-2200620000,0,0,0,3973750000,0,291251000,0,291251000,3682500000,0,0,1938220000,10541900000,12480100000,926692000,26595200,136403000,98526200,0,403508,0,0,0,33797100,39408000,0,0,-259510000,-64320900,36508500,974502000,0,0,0,0,0,12480100000,10541900000,1938220000,1.208,1.208,0,0,32.338,67.226,0,1248.38,13.27,8.15,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.2,18.72,138.859,474.603,21.529,45.531,12.39,0,0,0,81.1,40.57,0,0,11.92,20.051,32.34,0.985,0,40.57,0,0,0,914372000,1177010000,1411940000,0,92.47,75.085,0,0,2.156,207.886,89.11,818.02,0,0.19,0,658.46,0,1.59,953.49,0.066,0.711,0.478,49.244,0.442,0,0,0,0,0,0,0,0,2410000000,320000000,0,0,221309,199000000,0,1044000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000-06-30,0.22,0,0.24,3.45,1.61,6.38,-0.619,17175100000,49921300000,0,12576100000,0,950509000,0,0,0,0,0,762464000,267287000,81581500000,12842400000,0,0,14716100000,0,2248270000,659638000,0,18649.9,0,0,128767000,0,0,0,272260000,979778000,31847200000,113398000000,1717500000,0,0,65287900000,1345120,32610300,-68013500,0,472751000,2097390000,0,0,71167000,69612700000,0,0,35134100000,0,0,0,344987000,35479100000,105092000000,2410000000,3890040000,1438410000,0,567868000,0,0,0,8306320000,113398000000,1651190000,932447000,147648000,0,602236000,0,0,0,0,565449000,0,-178154000,718740000,0,710868,893062,0,0,718557000,188291000,0,530266000,530266000,0,0,0,97665100,13540400000,0,119545000,304698000,5748510000,15033400000,-1492990000,0,0,0,0,0,0,106157000,286287000,0,13256800,405700000,-405700000,0,0,0,0,0,61102500,0,61102500,-61102500,0,0,-1673510000,12480100000,10806600000,530266000,26447900,82996300,48038200,0,-82370.1,0,0,0,98155600,0,0,0,-98517900,-47134800,72779500,712949000,0,0,0,10806600000,12480100000,0,0,-1673510000,1.172,1.172,24.672,0,33.76,66.24,0,1285.12,13.65,7.9,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,4.8,6.819,1.033,9.872,52.194,12.77,0,0,0,95.82,43.53,0,0,6.38,1.356,32.11,0.49,0,43.53,0,0,0,530266000,718557000,849592000,0,92.68,71.943,21.053,0,1.983,196.207,0,379.24,-129.62,-0.62,0,-981.79,0,-9.04,81.01,-0.057,-2.145,-1.421,-281.555,-1.317,0,0,0,0,0,0,0,0,2410000000,400000000,0,0,295316,199000000,0,1044000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000-12-31,0.397,0,0.21,3.09,1.61,12.87,3.333,0,4711450000,0,0,0,961513000,0,0,0,0,0,1217160000,297195000,97421300000,0,14614300000,0,557334000,0,0,666907000,0,960132,0,0,175904000,0,0,509024000,913911000,0,3064100000,130722000000,0,0,0,0,0,23485800,-125140000,0,0,1779950000,0,0,87937900,81637100000,0,0,0,0,0,0,1232290000,41640600000,123278000000,2410000000,3890040000,648193000,0,496540000,0,0,0,7444770000,130722000000,3394840000,2165380000,322019000,0,1333000000,0,0,0,0,1136280000,0,-493629000,1229460000,0,6692960,4929300,0,0,1231230000,273322000,0,957905000,957905000,0,0,0,2929080000,34741300000,0,543315000,701013000,3243830000,26709700000,8031600000,5670980000,18574200,0,0,3286810,5692840000,817996000,7680580000,0,0,8498570000,-2805740000,0,0,0,0,0,365149000,0,365149000,-365149000,-191860,0,4860520000,18181900000,23042400000,957905000,297823000,190359000,107639000,0,330960,0,0,0,74092200,-33404700,0,0,18306900,79105500,0,1692160000,0,0,0,23042400000,18181900000,0,0,4860520000,1.193,1.193,0,0,33.778,66.222,0,1695.97,17.56,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.98,31.37,14.767,-100,28.61,8.588,41.68,0,0,0,74.39,36.22,0,0,12.87,6.102,28.22,0.824,0,36.22,0,0,0,957540000,1231230000,1529230000,0,94.31,74.525,0,0,0,196.052,100,0,0,3.33,0,14544.7,0,23.66,274.5,0.1656,9.838,6.515,838.455,6.144,0,0,0,0,0,0,0,0,2410000000,400000000,0,0,309541,199000000,0,1044000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2001-06-30,0.222,0,0.41,3.29,1.61,6.74,-1.057,649624000,6513590000,0,0,0,1217950000,0,11856500,0,0,0,3063230000,101483000000,113237000000,0,15153400000,0,552721000,0,2785310000,675067000,0,1859510,0,0,177156000,0,0,428696000,921022000,16679900000,37375100000,150639000000,0,0,0,0,1742920,33997800,-72012100,0,570029,3222290000,0,0,90929900000,94996300000,0,0,0,0,0,0,45935700000,47710900000,142707000000,2410000000,3890040000,638544000,0,992858000,0,0,0,7931440000,150639000000,1820790000,1120530000,144900000,0,683086000,0,0,0,0,440704000,0,-273543000,700259000,0,5700350,4679880,0,0,701279000,166368000,0,534911000,534911000,0,0,0,1228520000,24377800000,0,172370000,248009000,5801750000,26925500000,-2547760000,337840000,351861000,0,0,0,689701000,208349000,4545970000,0,1226720,4755540000,-4065840000,0,0,0,0,0,0,0,0,0,0,0,-6613600000,23042400000,16428800000,534911000,156921000,117977000,54392500,0,87223.8,0,0,0,-331975000,-7110540,0,0,7191970,384800000,0,917197000,0,0,0,16428800000,23042400000,0,0,-6613600000,1.192,1.192,0.684,0,33.433,66.567,0,1840.37,18.99,5.56,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0.88,7.232,3.207,15.299,0,-2.57,0,0,0,84.7,38.46,0,0,6.74,2.094,29.38,0.38,0,38.46,0,0,0,533891000,701279000,873649000,0,94.74,75.171,0.574,0,1.849,199.108,99.99,1391410,-529.22,-1.06,0,-1152.88,0,-13.99,120.87,-0.2253,-2.682,-1.785,-476.295,-1.691,0,0,0,0,0,0,0,0,2410000000,400000000,0,0,0,199000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2001-09-30,0.34,0,0.53,0,1.61,10,0,900750000,70647000000,0,0,0,1355550000,0,13596400,0,0,0,4052680000,228488000,118199000000,0,20048100000,0,552721000,0,2874170000,687238000,0,89921.7,0,0,175894000,0,0,434878000,921022000,1719610000,65133800000,162732000000,66262800000,0,0,0,903373,35038400,-4807440,1026760000,570029,2517750000,0,0,33448800,98688100000,45118700000,0,0,0,0,0,1837730000,55825000000,154513000000,2410000000,3890040000,638544000,0,1280000000,0,0,0,8218580000,162732000000,2859230000,1747570000,237066000,0,1095820000,0,0,0,0,721862000,0,-391551000,1111660000,0,6671810,9905500,0,0,1108420000,286431000,0,821993000,821993000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.198,1.198,0.913,0,36.13,63.87,0,1921.16,19.8,5.32,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.114,6.499,24.555,0,0,0,0,0,83.16,38.88,0,0,10,0.886,28.75,0.56,0,38.88,0,0,0,825227000,1108420000,1108420000,0,94.95,72.634,0.762,0,1.766,176.781,0,7.31,3.39,0,0,0,0,0,0,0,0,0,0,0,1038440000,411399000,287082000,291336000,0,0,0,0,2410000000,400000000,0,0,0,199000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2001-12-31,0.441,0,0.01,2.932,1.61,15.03,4.969,0,6476750000,0,0,0,961411000,0,0,0,0,0,4430210000,239166000,127851000000,0,22705600000,0,553097000,0,3039230000,624226000,0,673000,0,0,199078000,0,0,464826000,1326520000,0,2183520000,173691000000,0,0,0,0,0,46517000,254611000,0,482510000,2475720000,0,0,67028000,107870000000,0,0,0,0,0,0,346546000,58754100000,166624000000,2410000000,3890040000,737182000,0,29448000,0,0,0,7066670000,173691000000,4191810000,2744720000,348253000,0,1656550000,0,0,0,0,1092440000,0,-688813000,1447090000,0,9153000,15534000,0,0,1440710000,378834000,0,1061880000,1061880000,0,0,0,-283502000,48640000000,0,708764000,296306000,3135780000,36664300000,11975700000,1197420000,572347000,0,0,10278000,1780050000,595258000,14097100000,0,0,14692300000,-12912300000,0,0,0,0,0,60000,0,60000,-60000,-69000,0,-936735000,23042400000,22105700000,1061880000,395979000,260111000,194158000,0,-1522000,0,0,0,-743643000,35471000,0,0,14167000,620414000,30000000,1867010000,0,0,0,22105700000,23042400000,0,0,-936735000,1.185,1.185,0,0,35.261,64.739,0,2426.24,24.58,4.24,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,33.23,8.939,12.616,33.875,-3.859,46.27,0,0,0,71.86,34.52,0,0,15.03,4.404,25.33,0.7,0,34.52,0,0,0,1068260000,1440710000,1894980000,0,95.93,73.609,0,0,1.75,183.596,93.61,1464.56,0,4.97,0,4373.57,0,28.57,131.04,-0.0319,11.102,7.187,1127.78,6.895,1332580000,335435000,239885000,243033000,0,0,0,0,2410000000,400000000,0,0,270463,199000000,0,931800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
