,code,name,bvps,0,1
0,300022,吉峰农机,0.54,4.02,72.82
1,002175,东方网络,1.34,3.82,31.9
2,600099,林海股份,2.15,6.56,13.38
3,601038,一拖股份,4.91,5.69,7.7
4,300038,梅泰诺,8.51,10.86,28.67
5,300540,深冷股份,5.17,16.57,42.5
6,603897,长城科技,6.27,34.71,42.58
7,000713,丰乐种业,4.52,7.14,21.41
8,603398,邦宝益智,2.98,18.24,92.42
9,603693,江苏新能,6.76,17.26,17.26
10,300747,锐科激光,6.2,129.43,80.36
11,603895,天永智能,5.8,36.3,49.82
12,300743,天地数码,3.52,72.71,21.17
13,300686,智动力,3.23,19.91,35.71
14,002772,众兴菌业,6.82,8.36,22.65
15,002642,荣之联,6.36,9.46,21.89
16,002356,赫美集团,5.87,19.47,37.35
17,000892,欢瑞世纪,3.19,5.39,8.11
18,603045,福达合金,6.88,66.79,36.06
19,002927,泰永长征,5.64,39.18,28.33
20,300598,诚迈科技,5.54,31.7,18.4
21,300452,山河药辅,3.28,14.75,55.88
22,603650,彤程新材,2.41,34.57,21.46
23,000802,北京文化,6.6,15.97,12.9
24,002866,传艺科技,6.39,31.28,23.35
25,002760,凤形股份,5.5,16.53,36.18
26,600645,中源协和,4.11,20.64,20.7
27,002606,大连电瓷,2.22,5.96,23.63
28,300134,大富科技,6.98,11.48,55.23
29,000757,浩物股份,1.4,5.63,12.45
30,600614,鹏起科技,2.85,5.41,140.55
31,300390,天华超净,2.43,8.51,12.2
32,002584,西陇科学,2.9,8.51,13.51
33,603335,迪生力,1.68,7.85,11.15
34,600360,华微电子,2.85,6.97,24.51
35,002112,三变科技,1.84,6.53,16.94
36,300283,温州宏丰,1.4,4.77,24.17
37,000633,合金投资,0.4,4.77,14.71
38,000595,宝塔实业,0.92,3.89,7.1
39,603508,思维列控,16.27,41.8,77.84
40,000401,冀东水泥,6.99,9.14,6.15
41,002193,如意集团,9.72,10.5,24.1
42,000070,特发信息,3.24,7.6,31.26
43,300180,华峰超纤,4.37,11.73,19.91
44,002890,弘宇股份,7.69,29.41,41.23
45,601952,苏垦农发,3.88,7.26,16.09
46,300323,华灿光电,4.85,13.54,17.84
47,300684,中石科技,6.55,77.72,13.94
48,300671,富满电子,3.65,29.85,27.6
49,300726,宏达电子,3.53,27.95,31.33
50,600598,北大荒,3.55,10.17,7.63
51,603259,药明康德,7.1,95.85,129.5
52,000066,中国长城,2.22,6.96,25.41
53,002648,卫星石化,6.87,10.17,36.1
54,002580,圣阳股份,3.31,6.43,23.69
55,600260,凯乐科技,7.06,25.47,23.18
56,300470,日机密封,9.54,47.0,95.15
57,000046,泛海控股,4.09,5.05,13.4
58,002199,东晶电子,1.86,9.57,25.5
59,002522,浙江众成,2.01,6.2,42.52
60,300637,扬帆新材,4.81,25.42,30.99
61,002796,世嘉科技,11.49,29.53,56.31
62,300466,赛摩电气,2.54,7.56,16.24
63,002460,赣锋锂业,3.85,37.87,68.35
64,603200,上海洗霸,9.82,34.79,41.87
65,600359,新农开发,1.8,5.01,7.45
66,603970,中农立华,5.04,22.58,32.51
67,002202,金风科技,6.01,11.75,140.45
68,300413,快乐购,4.22,37.51,25.44
69,300727,润禾材料,3.75,30.28,15.98
70,300499,高澜股份,5.13,16.46,56.84
71,600455,博通股份,2.05,20.39,23.88
72,600313,农发种业,1.27,3.34,14.25
73,300454,深信服,4.68,118.0,114.35
74,002849,威星智能,4.32,18.64,33.91
75,300702,天宇股份,7.19,22.46,61.36
76,300036,超图软件,4.04,20.74,38.31
77,000971,高升控股,3.62,4.6,12.28
78,600094,大名城,4.81,5.6,10.46
79,600569,安阳钢铁,2.76,4.04,6.29
80,603661,恒林股份,21.99,42.62,86.15
81,603328,依顿电子,4.73,10.57,25.84
82,601992,金隅集团,3.82,3.24,16.03
83,000555,神州信息,5.11,12.97,5.18
84,002729,好利来,6.33,25.31,35.37
85,600371,万向德农,2.14,9.35,16.65
86,300138,晨光生物,3.24,6.66,36.4
87,300221,银禧科技,4.51,9.6,16.19
88,603773,沃格光电,11.12,73.72,86.22
89,600265,ST景谷,0.17,25.96,22.93
90,300738,奥飞数据,7.99,58.29,56.03
91,603666,亿嘉和,6.54,115.99,112.24
92,603848,好太太,2.83,20.66,22.66
93,600629,华建集团,5.88,12.0,12.36
94,002910,庄园牧场,6.11,21.14,10.74
95,300275,梅安森,3.32,8.88,38.5
96,300461,田中精机,2.82,25.87,24.44
97,000922,*ST佳电,2.95,6.58,17.63
98,600330,天通股份,3.85,7.01,28.4
99,603013,亚普股份,4.82,29.4,40.83
100,002777,久远银海,5.54,25.43,16.5
101,603860,中公高科,8.42,30.74,46.53
102,603677,奇精机械,4.64,16.08,68.86
103,603801,志邦股份,10.81,42.6,33.8
104,000605,渤海股份,8.12,14.52,8.98
105,002556,辉隆股份,3.23,5.08,37.27
106,300123,亚光科技,8.25,12.83,34.9
107,603031,安德利,5.49,12.91,32.88
108,300353,东土科技,4.31,12.49,20.91
109,002312,三泰控股,2.36,3.57,47.01
110,002860,星帅尔,5.79,20.1,58.33
111,600271,航天信息,5.33,24.79,28.16
112,300449,汉邦高科,7.66,17.8,45.29
113,603828,柯利达,2.56,6.56,27.25
114,002539,云图控股,3.09,4.3,29.81
115,600108,亚盛集团,2.43,2.94,9.4
116,300689,澄天伟业,7.99,46.09,66.2
117,002278,神开股份,2.93,7.95,22.23
118,600354,敦煌种业,1.66,5.7,9.68
