,code,name,bvps,0,1,2
0,300022,吉峰农机,0.54,4.02,72.82,17.11442786069652
1,002175,东方网络,1.34,3.82,31.9,7.350785340314136
2,600099,林海股份,2.15,6.56,13.38,1.0396341463414636
3,601038,一拖股份,4.91,5.69,7.7,0.35325131810193316
4,300038,梅泰诺,8.51,10.86,28.67,1.6399631675874773
5,300540,深冷股份,5.17,16.57,42.5,1.5648762824381413
6,603897,长城科技,6.27,34.71,42.58,0.22673581100547385
7,000713,丰乐种业,4.52,7.14,21.41,1.9985994397759104
8,603398,邦宝益智,2.98,18.24,92.42,4.066885964912282
9,603693,江苏新能,6.76,17.26,17.26,0.0
10,300747,锐科激光,6.2,129.43,80.36,-0.37912385073012445
11,603895,天永智能,5.8,36.3,49.82,0.37245179063360895
12,300743,天地数码,3.52,72.71,21.17,-0.7088433502956952
13,300686,智动力,3.23,19.91,35.71,0.7935710698141638
14,002772,众兴菌业,6.82,8.36,22.65,1.7093301435406698
15,002642,荣之联,6.36,9.46,21.89,1.313953488372093
16,002356,赫美集团,5.87,19.47,37.35,0.918335901386749
17,000892,欢瑞世纪,3.19,5.39,8.11,0.5046382189239332
18,603045,福达合金,6.88,66.79,36.06,-0.46009881718820184
19,002927,泰永长征,5.64,39.18,28.33,-0.2769270035732517
20,300598,诚迈科技,5.54,31.7,18.4,-0.41955835962145116
21,300452,山河药辅,3.28,14.75,55.88,2.7884745762711867
22,603650,彤程新材,2.41,34.57,21.46,-0.37923054671680645
23,000802,北京文化,6.6,15.97,12.9,-0.19223544145272387
24,002866,传艺科技,6.39,31.28,23.35,-0.2535166240409207
25,002760,凤形股份,5.5,16.53,36.18,1.188747731397459
26,600645,中源协和,4.11,20.64,20.7,0.0029069767441859845
27,002606,大连电瓷,2.22,5.96,23.63,2.9647651006711406
28,300134,大富科技,6.98,11.48,55.23,3.8109756097560976
29,000757,浩物股份,1.4,5.63,12.45,1.211367673179396
30,600614,鹏起科技,2.85,5.41,140.55,24.979667282809615
31,300390,天华超净,2.43,8.51,12.2,0.4336075205640423
32,002584,西陇科学,2.9,8.51,13.51,0.5875440658049353
33,603335,迪生力,1.68,7.85,11.15,0.42038216560509567
34,600360,华微电子,2.85,6.97,24.51,2.5164992826398858
35,002112,三变科技,1.84,6.53,16.94,1.5941807044410412
36,300283,温州宏丰,1.4,4.77,24.17,4.067085953878408
37,000633,合金投资,0.4,4.77,14.71,2.083857442348009
38,000595,宝塔实业,0.92,3.89,7.1,0.8251928020565551
39,603508,思维列控,16.27,41.8,77.84,0.8622009569377993
40,000401,冀东水泥,6.99,9.14,6.15,-0.32713347921225383
41,002193,如意集团,9.72,10.5,24.1,1.2952380952380953
42,000070,特发信息,3.24,7.6,31.26,3.1131578947368426
43,300180,华峰超纤,4.37,11.73,19.91,0.6973572037510656
44,002890,弘宇股份,7.69,29.41,41.23,0.4019041142468547
45,601952,苏垦农发,3.88,7.26,16.09,1.216253443526171
46,300323,华灿光电,4.85,13.54,17.84,0.3175775480059085
47,300684,中石科技,6.55,77.72,13.94,-0.8206381883685023
48,300671,富满电子,3.65,29.85,27.6,-0.07537688442211055
49,300726,宏达电子,3.53,27.95,31.33,0.1209302325581395
50,600598,北大荒,3.55,10.17,7.63,-0.2497541789577188
51,603259,药明康德,7.1,95.85,129.5,0.3510693792383934
52,000066,中国长城,2.22,6.96,25.41,2.6508620689655173
53,002648,卫星石化,6.87,10.17,36.1,2.5496558505408062
54,002580,圣阳股份,3.31,6.43,23.69,2.684292379471229
55,600260,凯乐科技,7.06,25.47,23.18,-0.08990969768354924
56,300470,日机密封,9.54,47.0,95.15,1.0244680851063832
57,000046,泛海控股,4.09,5.05,13.4,1.6534653465346538
58,002199,东晶电子,1.86,9.57,25.5,1.664576802507837
59,002522,浙江众成,2.01,6.2,42.52,5.858064516129033
60,300637,扬帆新材,4.81,25.42,30.99,0.21911880409126658
61,002796,世嘉科技,11.49,29.53,56.31,0.906874365052489
62,300466,赛摩电气,2.54,7.56,16.24,1.1481481481481481
63,002460,赣锋锂业,3.85,37.87,68.35,0.8048587272247161
64,603200,上海洗霸,9.82,34.79,41.87,0.20350675481460184
65,600359,新农开发,1.8,5.01,7.45,0.4870259481037925
66,603970,中农立华,5.04,22.58,32.51,0.4397697077059345
67,002202,金风科技,6.01,11.75,140.45,10.953191489361702
68,300413,快乐购,4.22,37.51,25.44,-0.32178085843774984
69,300727,润禾材料,3.75,30.28,15.98,-0.47225891677675036
70,300499,高澜股份,5.13,16.46,56.84,2.4532199270959905
71,600455,博通股份,2.05,20.39,23.88,0.17116233447768506
72,600313,农发种业,1.27,3.34,14.25,3.2664670658682637
73,300454,深信服,4.68,118.0,114.35,-0.030932203389830555
74,002849,威星智能,4.32,18.64,33.91,0.8192060085836907
75,300702,天宇股份,7.19,22.46,61.36,1.731967943009795
76,300036,超图软件,4.04,20.74,38.31,0.8471552555448412
77,000971,高升控股,3.62,4.6,12.28,1.6695652173913045
78,600094,大名城,4.81,5.6,10.46,0.8678571428571431
79,600569,安阳钢铁,2.76,4.04,6.29,0.556930693069307
80,603661,恒林股份,21.99,42.62,86.15,1.0213514781792588
81,603328,依顿电子,4.73,10.57,25.84,1.444654683065279
82,601992,金隅集团,3.82,3.24,16.03,3.947530864197531
83,000555,神州信息,5.11,12.97,5.18,-0.6006168080185043
84,002729,好利来,6.33,25.31,35.37,0.39747135519557486
85,600371,万向德农,2.14,9.35,16.65,0.7807486631016042
86,300138,晨光生物,3.24,6.66,36.4,4.465465465465465
87,300221,银禧科技,4.51,9.6,16.19,0.6864583333333335
88,603773,沃格光电,11.12,73.72,86.22,0.1695604991861096
89,600265,ST景谷,0.17,25.96,22.93,-0.11671802773497693
90,300738,奥飞数据,7.99,58.29,56.03,-0.03877165894664605
91,603666,亿嘉和,6.54,115.99,112.24,-0.0323303733080438
92,603848,好太太,2.83,20.66,22.66,0.0968054211035818
93,600629,华建集团,5.88,12.0,12.36,0.029999999999999954
94,002910,庄园牧场,6.11,21.14,10.74,-0.49195837275307475
95,300275,梅安森,3.32,8.88,38.5,3.335585585585585
96,300461,田中精机,2.82,25.87,24.44,-0.05527638190954773
97,000922,*ST佳电,2.95,6.58,17.63,1.6793313069908813
98,600330,天通股份,3.85,7.01,28.4,3.051355206847361
99,603013,亚普股份,4.82,29.4,40.83,0.38877551020408163
100,002777,久远银海,5.54,25.43,16.5,-0.3511600471883602
101,603860,中公高科,8.42,30.74,46.53,0.5136629798308394
102,603677,奇精机械,4.64,16.08,68.86,3.282338308457712
103,603801,志邦股份,10.81,42.6,33.8,-0.20657276995305174
104,000605,渤海股份,8.12,14.52,8.98,-0.3815426997245179
105,002556,辉隆股份,3.23,5.08,37.27,6.336614173228347
106,300123,亚光科技,8.25,12.83,34.9,1.720187061574435
107,603031,安德利,5.49,12.91,32.88,1.546862896979086
108,300353,东土科技,4.31,12.49,20.91,0.6741393114491593
109,002312,三泰控股,2.36,3.57,47.01,12.168067226890756
110,002860,星帅尔,5.79,20.1,58.33,1.9019900497512434
111,600271,航天信息,5.33,24.79,28.16,0.1359419120613151
112,300449,汉邦高科,7.66,17.8,45.29,1.54438202247191
113,603828,柯利达,2.56,6.56,27.25,3.1539634146341466
114,002539,云图控股,3.09,4.3,29.81,5.932558139534883
115,600108,亚盛集团,2.43,2.94,9.4,2.1972789115646263
116,300689,澄天伟业,7.99,46.09,66.2,0.4363202430028205
117,002278,神开股份,2.93,7.95,22.23,1.7962264150943397
118,600354,敦煌种业,1.66,5.7,9.68,0.6982456140350877
119,002104,恒宝股份,2.58,6.85,13.4,0.956204379562044
120,002581,未名医药,4.46,10.05,17.82,0.7731343283582088
121,000918,嘉凯城,2.75,4.34,16.27,2.748847926267281
122,600067,冠城大通,4.84,3.89,15.95,3.10025706940874
123,600754,锦江股份,12.97,32.44,11.1,-0.6578298397040689
124,600736,苏州高新,5.15,6.24,17.61,1.8221153846153844
125,002701,奥瑞金,2.47,5.54,21.15,2.8176895306859207
126,002023,海特高新,4.62,12.93,15.73,0.21655065738592427
127,603336,宏辉果蔬,4.57,30.4,19.64,-0.35394736842105257
128,300056,三维丝,3.53,7.2,37.96,4.272222222222222
129,603348,文灿股份,7.08,34.49,24.17,-0.29921716439547696
130,002908,德生科技,4.74,35.65,21.27,-0.40336605890603083
131,300069,金利华电,4.54,11.89,29.0,1.4390243902439024
132,300511,雪榕生物,3.46,8.64,58.2,5.736111111111111
133,000935,四川双马,3.95,14.52,8.92,-0.3856749311294766
134,300634,彩讯股份,2.77,40.11,16.62,-0.5856394913986537
135,603356,华菱精工,4.92,20.85,23.68,0.13573141486810542
136,300021,大禹节水,1.81,5.18,37.33,6.206563706563706
137,600887,伊利股份,4.47,27.49,8.31,-0.6977082575481994
138,603286,日盈电子,4.89,19.62,15.2,-0.22528032619775745
139,002426,胜利精密,2.61,3.56,14.07,2.952247191011236
140,300656,民德电子,4.77,27.4,39.8,0.4525547445255474
141,300306,远方信息,6.87,9.3,43.15,3.639784946236558
142,002220,天宝食品,3.61,4.06,46.35,10.416256157635468
143,300115,长盈精密,4.92,12.42,47.67,2.8381642512077296
144,603186,华正新材,4.82,15.37,30.32,0.9726740403383215
145,300290,荣科科技,2.22,9.43,18.17,0.9268292682926832
146,000042,中洲控股,10.0,16.0,21.0,0.3125
147,002755,东方新星,3.04,9.75,28.0,1.8717948717948718
148,002412,汉森制药,4.24,16.58,39.8,1.4004825090470447
149,600234,ST山水,0.36,6.34,19.81,2.124605678233438
150,000560,我爱我家,4.05,5.71,7.1,0.24343257443082306
151,600056,中国医药,7.66,16.4,18.44,0.1243902439024392
152,603890,春秋电子,6.98,17.42,42.13,1.4184845005740527
153,002091,江苏国泰,4.66,6.23,12.19,0.9566613162118778
154,600686,金龙汽车,5.81,13.5,18.85,0.3962962962962964
155,002836,新宏泽,2.72,15.28,12.82,-0.1609947643979057
156,603067,振华股份,3.78,11.57,25.18,1.1763180639585133
157,300107,建新股份,2.01,13.41,60.49,3.510812826249068
158,002456,欧菲科技,3.47,15.73,57.56,2.6592498410680228
159,002696,百洋股份,5.6,11.68,22.26,0.9058219178082194
160,002671,龙泉股份,4.46,4.32,20.96,3.8518518518518516
161,300172,中电环保,2.4,6.11,31.72,4.191489361702128
162,000901,航天科技,6.15,11.26,14.93,0.3259325044404973
163,600621,华鑫股份,6.16,9.73,12.42,0.2764645426515929
164,600525,长园集团,6.22,9.74,16.58,0.7022587268993837
165,300334,津膜科技,5.47,8.21,23.07,1.8099878197320338
166,603868,飞科电器,5.93,47.74,61.23,0.2825722664432341
167,603021,山东华鹏,4.22,6.51,20.24,2.1090629800307217
168,603288,海天味业,4.8,73.77,70.25,-0.047715873661379915
169,300651,金陵体育,8.12,38.46,39.03,0.014820592823712956
170,600540,新赛股份,1.33,3.96,11.08,1.797979797979798
171,603859,能科股份,5.9,18.27,19.26,0.05418719211822671
172,603896,寿仙谷,6.48,45.91,45.06,-0.018514484861685786
173,300404,博济医药,3.04,20.29,27.13,0.3371118777723016
174,002577,雷柏科技,4.21,12.84,30.71,1.3917445482866044
175,002288,超华科技,1.85,4.28,18.93,3.422897196261682
176,000788,北大医药,2.0,6.42,11.09,0.7274143302180686
177,600141,兴发集团,10.36,11.27,12.45,0.10470275066548357
178,600195,中牧股份,8.84,18.19,9.08,-0.5008246289169874
179,603301,振德医疗,7.72,49.88,74.48,0.49318364073777066
180,000818,航锦科技,3.79,12.2,9.09,-0.25491803278688524
181,000626,远大控股,4.21,7.05,17.19,1.4382978723404256
182,600438,通威股份,3.52,6.25,11.27,0.8031999999999999
183,600643,爱建集团,5.51,8.87,44.09,3.970687711386698
184,000547,航天发展,3.83,8.17,10.2,0.248470012239902
185,603901,永创智能,2.4,10.11,22.77,1.252225519287834
186,300440,运达科技,2.86,6.56,50.34,6.673780487804879
187,603283,赛腾股份,4.09,25.43,14.54,-0.4282343688556823
188,300553,集智股份,6.76,35.6,32.66,-0.08258426966292148
189,300618,寒锐钴业,6.33,118.2,107.84,-0.08764805414551607
190,600241,时代万恒,4.82,7.67,21.68,1.8265971316818774
191,002903,宇环数控,4.17,35.7,52.49,0.47030812324929966
192,603616,韩建河山,2.65,12.37,34.34,1.7760711398544873
193,600588,用友网络,3.06,23.67,79.68,2.3662864385297846
194,600706,曲江文旅,5.45,11.01,11.4,0.03542234332425073
195,002068,黑猫股份,4.56,7.99,13.27,0.6608260325406757
196,002591,恒大高新,4.05,6.9,20.24,1.933333333333333
197,300629,新劲刚,3.52,21.05,19.2,-0.0878859857482186
198,002727,一心堂,6.74,30.6,33.3,0.08823529411764691
199,300575,中旗股份,14.22,39.9,63.9,0.6015037593984962
200,002027,分众传媒,0.79,9.52,10.96,0.1512605042016808
201,002930,宏川智慧,6.97,39.23,14.86,-0.6212082589854703
202,300675,建科院,2.67,29.57,11.3,-0.617855935069327
203,300643,万通智控,2.07,11.58,20.01,0.7279792746113991
204,603712,七一二,2.66,25.53,7.93,-0.6893850372111242
205,603363,傲农生物,2.02,16.45,9.19,-0.4413373860182371
206,002625,光启技术,3.5,11.09,22.0,0.9837691614066727
207,600975,新五丰,1.84,4.29,10.44,1.4335664335664335
208,002012,凯恩股份,2.6,4.84,16.51,2.411157024793389
209,002280,联络互动,3.14,5.42,30.97,4.7140221402214015
210,600802,福建水泥,1.79,7.46,7.18,-0.037533512064343195
211,000789,万年青,5.43,10.91,7.2,-0.3400549954170486
212,300055,万邦达,6.79,11.28,81.3,6.207446808510638
213,603517,绝味食品,6.62,38.98,50.56,0.2970754232939971
214,002817,黄山胶囊,7.81,21.8,26.61,0.22064220183486233
215,600338,西藏珠峰,2.86,20.07,18.27,-0.08968609865470856
216,601601,中国太保,15.63,31.32,49.47,0.5795019157088123
217,002886,沃特股份,5.41,20.7,25.39,0.22657004830917882
218,603912,佳力图,3.07,15.11,31.55,1.0880211780277962
219,600131,岷江水电,2.36,6.24,14.4,1.3076923076923077
220,002409,雅克科技,4.56,20.21,30.0,0.48441365660564073
221,300667,必创科技,3.56,34.13,36.5,0.06944037503662459
222,300430,诚益通,5.68,10.8,58.4,4.4074074074074066
223,300424,航新科技,3.77,22.5,29.8,0.3244444444444445
224,300379,东方通,5.24,15.11,38.34,1.537392455327598
225,002400,省广集团,2.92,3.35,37.12,10.080597014925372
226,002446,盛路通信,3.39,6.72,20.37,2.0312500000000004
227,000021,深科技,3.98,6.72,11.55,0.7187500000000002
228,600939,重庆建工,3.69,4.91,7.23,0.47250509164969456
229,300122,智飞生物,2.0,46.0,40.36,-0.12260869565217393
230,002741,光华科技,3.04,15.14,25.96,0.714663143989432
231,300661,圣邦股份,12.82,129.17,67.38,-0.47836184872648446
232,600127,金健米业,1.18,3.41,15.1,3.4281524926686213
233,300611,美力科技,3.82,11.78,30.56,1.5942275042444825
234,000735,罗 牛 山,3.36,12.4,12.2,-0.016129032258064602
235,300278,华昌达,3.0,9.32,14.79,0.586909871244635
236,603516,淳中科技,5.58,33.8,47.39,0.4020710059171599
237,000519,中兵红箭,5.43,7.78,10.45,0.3431876606683803
238,600235,民丰特纸,3.66,4.67,13.29,1.8458244111349036
239,002803,吉宏股份,3.77,32.4,31.68,-0.02222222222222219
240,300149,量子生物,1.96,15.59,34.72,1.2270686337395766
241,300089,文化长城,4.21,6.25,19.78,2.1648
242,000031,中粮地产,3.81,5.63,10.05,0.7850799289520428
243,603757,大元泵业,7.94,26.11,48.79,0.868632707774799
244,300145,中金环境,3.93,7.88,38.8,3.9238578680203045
245,300691,联合光电,6.22,29.99,82.49,1.7505835278426143
246,002500,山西证券,4.44,6.64,12.01,0.8087349397590362
247,600789,鲁抗医药,4.32,10.45,12.35,0.18181818181818185
248,002608,江苏国信,5.53,6.98,34.6,3.95702005730659
249,603103,横店影视,4.77,31.75,35.86,0.1294488188976378
250,002609,捷顺科技,3.47,7.95,20.11,1.5295597484276728
251,600889,南京化纤,3.65,5.1,6.67,0.30784313725490203
252,002677,浙江美大,2.12,16.24,10.61,-0.3466748768472906
253,002470,金正大,3.15,6.37,19.68,2.0894819466248036
254,603533,掌阅科技,2.55,30.36,10.33,-0.6597496706192358
255,603214,爱婴室,7.98,49.2,28.73,-0.4160569105691057
256,002080,中材科技,6.99,8.34,16.37,0.9628297362110313
257,601996,丰林集团,1.99,3.86,13.08,2.38860103626943
258,000700,模塑科技,3.06,3.56,21.88,5.146067415730337
259,300710,万隆光电,8.41,35.69,45.53,0.2757074810871394
260,600251,冠农股份,2.59,5.52,9.42,0.7065217391304349
261,300729,乐歌股份,8.13,32.82,32.08,-0.02254722730042663
262,002271,东方雨虹,4.56,15.61,15.61,0.0
263,000043,中航善达,6.37,6.84,10.45,0.5277777777777777
264,603996,中新科技,5.03,11.08,29.54,1.6660649819494586
