date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2014/1/2,sz.002597,4.7165985,4.7576124,4.6710275,4.739384,4.7165985,2850459,29576082,2,2.541188,1,0.4831,0,21.059178,1.635523
2014/1/3,sz.002597,4.7621695,4.7621695,4.5753284,4.6117852,4.739384,3863517,39318353,2,3.44433,1,-2.6923,0,20.4922,1.59149
2014/1/6,sz.002597,4.5753284,4.5844426,4.4021586,4.4477296,4.6117852,3346469,32929045,2,2.983381,1,-3.5573,0,19.763229,1.534875
2014/1/7,sz.002597,4.4386154,4.4841864,4.420387,4.465958,4.4477296,1924538,18797433,2,1.715728,1,0.4098,0,19.844226,1.541166
2014/1/8,sz.002597,4.4614009,4.5889997,4.4614009,4.5707713,4.465958,3088254,30701684,2,2.753182,1,2.3469,0,20.309957,1.577336
2014/1/9,sz.002597,4.5798855,4.5798855,4.3657018,4.374816,4.5707713,2287360,22540253,2,2.039184,1,-4.2871,0,19.439241,1.509713
2014/1/10,sz.002597,4.3839302,4.4249441,4.2882311,4.2927882,4.374816,1972837,18785312,2,1.758787,1,-1.875,0,19.074756,1.481406
2014/1/13,sz.002597,4.283674,4.2927882,4.0831616,4.146961,4.2927882,3625924,32955669,2,3.232516,1,-3.397,0,18.426781,1.431083
2014/1/14,sz.002597,4.146961,4.2517743,4.1150613,4.2472172,4.146961,1943566,17940494,2,1.732692,1,2.4176,0,18.872264,1.46568
2014/1/15,sz.002597,4.2472172,4.2517743,4.192532,4.2517743,4.2472172,1749474,16219252,2,1.559658,1,0.1073,0,18.892513,1.467253
2014/1/16,sz.002597,4.2335459,4.3520305,4.2244317,4.2745598,4.2517743,2290866,21635957,2,2.04231,1,0.5359,0,18.993759,1.475116
2014/1/17,sz.002597,4.2745598,4.2791169,4.1743036,4.2107604,4.2745598,1328661,12311273,2,1.184503,1,-1.4925,0,18.71027,1.453099
2014/1/20,sz.002597,4.2107604,4.2608885,4.146961,4.1743036,4.2107604,1541357,14215132,2,1.374122,1,-0.8658,0,18.548276,1.440518
2014/1/21,sz.002597,4.1743036,4.3201308,4.1560752,4.2791169,4.1743036,1674931,15660905,2,1.493203,1,2.5109,0,19.014008,1.476688
2014/1/22,sz.002597,4.2791169,4.4067157,4.2654456,4.3930444,4.2791169,2444998,23448593,2,2.179719,1,2.6624,0,19.520238,1.516004
2014/1/23,sz.002597,4.3930444,4.4386154,4.3839302,4.4067157,4.3930444,2706257,26191709,2,2.412632,1,0.3112,0,19.580986,1.520722
2014/1/24,sz.002597,4.4021586,4.4887435,4.3793731,4.420387,4.4067157,3219080,31386605,2,2.869814,1,0.3102,0,19.641734,1.52544
2014/1/27,sz.002597,4.4158299,4.4887435,4.374816,4.4477296,4.420387,2669325,25997768,2,2.379707,1,0.6186,0,19.763229,1.534875
2014/1/28,sz.002597,4.4522867,4.4978577,4.3976015,4.4750722,4.4477296,2057276,20096030,2,1.834064,1,0.6148,0,19.884724,1.544311
2014/1/29,sz.002597,4.4750722,4.5798855,4.4477296,4.5571,4.4750722,2677001,26626339,2,2.38655,1,1.833,0,20.24921,1.572618
2014/1/30,sz.002597,4.5252003,4.5434287,4.4705151,4.4887435,4.5571,1790228,17708271,2,1.595991,1,-1.5,0,19.945472,1.549029
2014/2/7,sz.002597,4.4796293,4.602671,4.4021586,4.602671,4.4887435,2261110,22462574,2,2.015782,1,2.5381,0,20.451702,1.588344
2014/2/10,sz.002597,4.6163423,4.7165985,4.6163423,4.693813,4.602671,4155115,42684488,2,3.70429,1,1.9802,0,20.856686,1.619797
2014/2/11,sz.002597,4.693813,4.7621695,4.6345707,4.6846988,4.693813,4128812,42540112,2,3.680841,1,-0.1942,0,20.816188,1.616651
2014/2/12,sz.002597,4.6755846,4.7576124,4.6527991,4.7484982,4.6846988,3668010,37961832,2,3.270036,1,1.3619,0,21.099677,1.638668
2014/2/13,sz.002597,4.7484982,4.7530553,4.602671,4.6163423,4.7484982,4054161,41668651,2,3.61429,1,-2.7831,0,20.51245,1.593062
2014/2/14,sz.002597,4.6163423,4.7667266,4.6072281,4.7667266,4.6163423,3931402,40575115,2,3.50485,1,3.2577,0,21.180674,1.644959
2014/2/17,sz.002597,4.784955,4.876097,4.7758408,4.8578686,4.7667266,5288038,56184486,2,4.714293,1,1.912,0,21.585658,1.676411
2014/2/18,sz.002597,4.8669828,4.9262251,4.784955,4.921668,4.8578686,5375711,56990407,2,4.792453,1,1.3133,0,21.869147,1.698428
2014/2/19,sz.002597,4.8852112,4.9535677,4.830526,4.8578686,4.921668,3913080,41925913,2,3.488516,1,-1.2963,0,21.585658,1.676411
2014/2/20,sz.002597,4.8578686,4.8897683,4.7348269,4.739384,4.8578686,3593921,37688494,2,3.203985,1,-2.439,0,21.059178,1.635523
2014/2/21,sz.002597,4.7165985,4.7803979,4.6254565,4.6801417,4.739384,3149002,32440099,2,2.807339,1,-1.25,0,20.795939,1.615079
2014/2/24,sz.002597,4.6664704,4.876097,4.6163423,4.8715399,4.6801417,4910636,51379330,2,4.377838,1,4.0896,0,21.646405,1.681129
2014/2/25,sz.002597,4.8533115,4.9125538,4.648242,4.7211556,4.8715399,4368916,46076251,2,3.894894,1,-3.087,0,20.978181,1.629232
2014/2/26,sz.002597,4.6755846,5.0082529,4.5616571,5.0036958,4.7211556,7757474,82565251,2,6.915798,1,5.9846,0,20.872445,1.726735
2014/2/27,sz.002597,4.9900245,5.0492668,4.8715399,4.9945816,5.0036958,7487510,81757986,2,6.675125,1,-0.1821,0,20.834426,1.72359
2014/2/28,sz.002597,4.9763532,5.1221804,4.876097,5.0811665,4.9945816,8506256,94033561,2,7.583338,1,1.7336,0,21.195607,1.753469
2014/3/3,sz.002597,5.058381,5.1176233,4.9763532,5.058381,5.0811665,5294812,58683168,2,4.720332,1,-0.4484,0,21.100559,1.745606
2014/3/4,sz.002597,5.0492668,5.0492668,4.8578686,4.9307822,5.058381,5035880,54414825,2,4.489493,1,-2.5225,0,20.568293,1.701573
2014/3/5,sz.002597,4.9398964,4.9763532,4.8168547,4.8259689,4.9307822,4149710,44656686,2,3.699472,1,-2.1257,0,20.131074,1.665403
2014/3/6,sz.002597,4.7940692,4.8897683,4.693813,4.8715399,4.8259689,3428530,36136163,2,3.056539,1,0.9443,0,20.321169,1.681129
2014/3/7,sz.002597,4.8669828,4.8943254,4.7439411,4.7484982,4.8715399,3072446,32382767,2,2.739089,1,-2.5257,0,19.807913,1.638668
2014/3/10,sz.002597,4.7120414,4.7120414,4.4933006,4.4933006,4.7484982,4479488,45083962,2,3.993469,1,-5.3743,0,18.74338,1.550602
2014/3/11,sz.002597,4.4750722,4.5525429,4.4386154,4.511529,4.4933006,2246820,22154551,2,2.003043,1,0.4057,0,18.819418,1.556892
2014/3/12,sz.002597,4.5069719,4.5753284,4.4386154,4.5479858,4.511529,2228604,22068693,2,1.986803,1,0.8081,0,18.971494,1.569473
2014/3/13,sz.002597,4.5479858,4.5889997,4.5069719,4.5662142,4.5479858,1919533,19187052,2,1.711266,1,0.4008,0,19.047532,1.575763
2014/3/14,sz.002597,4.5525429,4.5798855,4.420387,4.5434287,4.5662142,1367757,13608616,2,1.219357,1,-0.499,0,18.952484,1.5679
2014/3/17,sz.002597,4.5753284,4.6801417,4.5343145,4.6664704,4.5434287,2465884,25015069,2,2.198339,1,2.7081,0,19.465741,1.610361
2014/3/18,sz.002597,4.6664704,4.6892559,4.602671,4.648242,4.6664704,2242427,22844202,2,1.999127,1,-0.3906,0,19.389703,1.582064
2014/3/19,sz.002597,4.6391278,4.6436849,4.5616571,4.6436849,4.648242,2090948,21115032,2,1.864083,1,-0.098,0,19.370694,1.580513
2014/3/20,sz.002597,4.6345707,4.7029272,4.5889997,4.5889997,4.6436849,2402960,24546337,2,2.142242,1,-1.1776,0,19.14258,1.561901
2014/3/21,sz.002597,4.5571,4.6846988,4.4887435,4.6710275,4.5889997,2182949,22016538,2,1.946102,1,1.7875,0,19.484751,1.58982
2014/3/24,sz.002597,4.6527991,4.7029272,4.648242,4.6710275,4.6710275,2380974,24420531,2,2.122641,1,0,0,19.484751,1.58982
2014/3/25,sz.002597,4.6755846,4.8487544,4.648242,4.7803979,4.6710275,3965306,41377551,2,3.535075,1,2.3415,0,19.940979,1.627045
2014/3/26,sz.002597,4.7576124,4.7940692,4.7074843,4.7667266,4.7803979,1996944,20818024,2,1.780278,1,-0.286,0,19.883951,1.622391
2014/3/27,sz.002597,4.7439411,4.7667266,4.6573562,4.6573562,4.7667266,1824966,18819736,2,1.626959,1,-2.2945,0,19.427722,1.585166
2014/3/28,sz.002597,4.6710275,4.6710275,4.5252003,4.5252003,4.6573562,2157041,21743608,2,1.923005,1,-2.8376,0,18.876446,1.540186
2014/3/31,sz.002597,4.5160861,4.830526,4.5160861,4.8122976,4.5252003,5673564,58963127,2,5.057989,1,6.3444,0,20.074046,1.637902
2014/4/1,sz.002597,4.7667266,4.8624257,4.7576124,4.8441973,4.8122976,4578686,48386971,2,4.081904,1,0.6629,0,20.207112,1.648759
2014/4/2,sz.002597,4.8168547,4.8669828,4.7667266,4.8077405,4.8441973,3008299,31744275,2,2.681902,1,-0.7526,0,20.055036,1.636351
2014/4/3,sz.002597,4.8031834,4.8806541,4.7576124,4.8715399,4.8077405,3423006,36175861,2,3.051614,1,1.327,0,20.321169,1.658065
2014/4/4,sz.002597,4.8669828,4.9991387,4.830526,4.9626819,4.8715399,5408950,58583816,2,4.822086,1,1.8709,0,20.70136,1.689086
2014/4/8,sz.002597,4.9353393,4.9763532,4.8487544,4.9398964,4.9626819,3492690,37696608,2,3.113738,1,-0.4591,0,20.606312,1.681331
2014/4/9,sz.002597,4.9262251,4.9900245,4.8988825,4.9262251,4.9398964,3355337,36369037,2,2.991287,1,-0.2768,0,20.549284,1.676678
2014/4/10,sz.002597,4.9125538,4.9398964,4.7940692,4.8259689,4.9262251,5172237,55092995,2,4.611056,1,-2.0352,0,20.131074,1.642555
2014/4/11,sz.002597,4.8259689,4.8897683,4.7667266,4.8852112,4.8259689,3164961,33566207,2,2.821567,1,1.2276,0,20.378198,1.662719
2014/4/14,sz.002597,4.8806541,5.0355955,4.8624257,4.9900245,4.8852112,4901676,53600960,2,4.36985,1,2.1455,0,20.815417,1.698393
2014/4/15,sz.002597,4.9809103,5.103952,4.9034396,4.9490106,4.9900245,4746457,51843968,2,4.231472,1,-0.8219,0,20.644331,1.684433
2014/4/16,sz.002597,4.9171109,5.195094,4.9171109,5.149523,4.9490106,8808839,98257869,2,7.853091,1,4.0516,0,21.48075,1.752679
2014/4/17,sz.002597,5.1221804,5.286236,5.0857236,5.2816789,5.149523,10178916,116280441,2,9.074516,1,2.5664,0,22.032026,1.797659
2014/4/18,sz.002597,5.240665,5.2543363,5.0811665,5.1221804,5.2816789,7399251,83915943,2,6.596442,1,-3.0198,0,21.366693,1.743373
2014/4/21,sz.002597,5.0355955,5.1130662,4.9490106,4.9717961,5.1221804,6905192,76097419,2,6.155987,1,-2.9359,0,20.739379,1.692188
2014/4/22,sz.002597,5.00443981,5.06973539,4.90183247,5.04641554,4.97179202,5202498,55646691,2,4.638034,1,1.5009,0,20.568293,1.678229
2014/4/23,sz.002597,5.01843172,5.06507142,4.82720895,4.85985674,5.04641554,4559409,48127813,2,4.064719,1,-3.6969,0,19.807913,1.616187
2014/4/24,sz.002597,4.8505288,4.88784056,4.76657734,4.78523322,4.85985674,2365492,24511711,2,2.108839,1,-1.5355,0,19.50376,1.591371
2014/4/25,sz.002597,4.78523322,4.84120086,4.7106097,4.81788101,4.78523322,2485448,25452022,2,2.21578,1,0.6823,0,19.636827,1.602228
2014/4/28,sz.002597,4.77124131,4.79456116,4.51472296,4.5240509,4.81788101,3521024,34905982,2,3.138997,1,-6.0987,0,18.353439,1.475633
2014/4/29,sz.002597,4.53337884,4.64065015,4.53337884,4.60333839,4.5240509,1776589,17474264,2,1.583831,1,1.7526,0,18.675097,1.501495
2014/4/30,sz.002597,4.63598618,4.69661779,4.57535457,4.67796191,4.60333839,1721677,17197597,2,1.534877,1,1.6211,0,18.977834,1.525835
2014/5/5,sz.002597,4.67796191,4.74325749,4.63132221,4.71993764,4.67796191,1659612,16715934,2,1.479546,1,0.8973,0,19.148124,1.539527
2014/5/6,sz.002597,4.71993764,4.7572494,4.67796191,4.70128176,4.71993764,1944376,19702165,2,1.733414,1,-0.3953,0,19.072439,1.533442
2014/5/7,sz.002597,4.69661779,4.74792146,4.66397,4.66397,4.70128176,1928952,19437454,2,1.719663,1,-0.7937,0,18.921071,1.521272
2014/5/8,sz.002597,4.63132221,4.73859352,4.5706906,4.62665824,4.66397,2416079,24027008,2,2.153937,1,-0.8,0,18.769702,1.509101
2014/5/9,sz.002597,4.60800236,4.68262588,4.45409135,4.46808326,4.62665824,2570907,24904341,2,2.291967,1,-3.4274,0,18.126386,1.457378
2014/5/12,sz.002597,4.52871487,4.6173303,4.45409135,4.60333839,4.46808326,2300384,22444299,2,2.050795,1,3.0271,0,18.675097,1.501495
2014/5/13,sz.002597,4.58468251,4.70128176,4.58468251,4.62665824,4.60333839,2008485,20005115,2,1.790567,1,0.5066,0,18.769702,1.509101
2014/5/14,sz.002597,4.6173303,4.68728985,4.58001854,4.64997809,4.62665824,1159884,11541122,2,1.034038,1,0.504,0,18.864308,1.516708
2014/5/15,sz.002597,4.64997809,4.68728985,4.51938693,4.55203472,4.64997809,1435116,14107325,2,1.279408,1,-2.1063,0,18.466965,1.484761
2014/5/16,sz.002597,4.52871487,4.56602663,4.49606708,4.54270678,4.55203472,1099517,10681255,2,0.980221,1,-0.2049,0,18.429123,1.481718
2014/5/19,sz.002597,4.54270678,4.54270678,4.42610753,4.4774112,4.54270678,1207938,11585151,2,1.076878,1,-1.4374,0,18.164228,1.460421
2014/5/20,sz.002597,4.50073105,4.54737075,4.48673914,4.5240509,4.4774112,1143166,11090555,2,1.019134,1,1.0417,0,18.353439,1.475633
2014/5/21,sz.002597,4.5240509,4.60333839,4.45409135,4.59867442,4.5240509,1168082,11385697,2,1.041347,1,1.6495,0,18.656176,1.499974
2014/5/22,sz.002597,4.59867442,4.63598618,4.53337884,4.53804281,4.59867442,1380808,13603810,2,1.230992,1,-1.3185,0,18.410202,1.480197
2014/5/23,sz.002597,4.53337884,4.59401045,4.5240509,4.59401045,4.53804281,872250,8536633,2,0.777612,1,1.2333,0,18.637255,1.498452
2014/5/26,sz.002597,4.60333839,4.71527367,4.59867442,4.69661779,4.59401045,1999072,20024465,2,1.782175,1,2.2335,0,19.053518,1.53192
2014/5/27,sz.002597,4.68262588,4.7106097,4.64997809,4.65930603,4.69661779,1615212,16208460,2,1.439964,1,-0.7944,0,18.90215,1.51975
2014/5/28,sz.002597,4.65464206,4.80855307,4.64997809,4.78989719,4.65930603,3696861,37646738,2,3.295756,1,2.8028,0,19.43194,1.562346
2014/5/29,sz.002597,4.79456116,4.87384865,4.72926558,4.75258543,4.78989719,3331780,34243291,2,2.970286,1,-0.779,0,19.280571,1.550176
2014/5/30,sz.002597,4.7572494,4.83653689,4.7106097,4.78056925,4.75258543,2228921,22852123,2,1.987086,1,0.5888,0,19.394098,1.559303
2014/6/3,sz.002597,4.77124131,4.86452071,4.76657734,4.78523322,4.78056925,1704963,17596605,2,1.519977,1,0.0976,0,19.413019,1.560825
2014/6/4,sz.002597,4.78989719,4.85519277,4.71993764,4.7572494,4.78523322,1685023,17256670,2,1.5022,1,-0.5848,0,19.299492,1.551697
2014/6/5,sz.002597,4.76657734,4.91116041,4.73859352,4.8971685,4.7572494,3007282,31261337,2,2.680996,1,2.9412,0,19.867124,1.597335
2014/6/6,sz.002597,4.9438082,5.01843172,4.85985674,4.90649644,4.8971685,3845254,40691099,2,3.428049,1,0.1905,0,19.904967,1.600378
2014/6/9,sz.002597,4.90183247,4.95313614,4.81321704,4.84120086,4.90649644,1724093,18057224,2,1.537031,1,-1.3308,0,19.640072,1.57908
2014/6/10,sz.002597,4.79922513,4.87384865,4.74792146,4.86918468,4.84120086,2264326,23422548,2,2.018649,1,0.578,0,19.753598,1.588207
