date,景点及旅游,燃气水务,综合,专用设备,证券,新材料,建筑材料,物流,交运设备服务,通信设备,通信服务,通用设备,石油矿业开采,其他电子,农业服务,非汽车交运,汽车零部件,化工新材料,园区开发,钢铁,建筑装饰,食品加工制造,半导体及元件,医药商业,化工合成材料,传媒,医疗器械服务,房地产开发,服装家纺,中药,公交,银行,造纸,电气设备,采掘服务,电子制造,纺织制造,机场航运,电力,公路铁路运输,零售,生物制品,化学制药,包装印刷,种植业与林业,国防军工,有色冶炼加工,酒店及餐饮,光学光电子,化学制品,农产品加工,港口航运,保险及其他,仪器仪表,煤炭开采加工,饮料制造,汽车整车,计算机应用,视听器材,家用轻工,贸易,养殖业,计算机设备,环保工程,基础化学,白色家电
1.1885184e+18,1102.775,1237.890,1077.499,1148.506,1205.988,1127.733,1153.854,1098.928,1124.375,1073.441,1043.520,1151.293,1260.975,1126.032,1211.049,1155.096,1100.307,1104.831,1132.959,1213.992,1095.081,1090.319,1078.429,1108.676,1086.171,1138.169,1081.790,1148.793,1096.290,1081.491,1088.409,1182.172,1211.445,1095.524,1168.727,979.339,1054.222,1228.096,1113.641,1136.263,1106.905,1161.088,1140.710,1086.420,1106.495,,1300.521,1117.544,1154.537,1104.184,1084.623,1170.422,1336.940,1110.457,1189.221,1053.079,1175.334,1125.666,1075.910,1102.152,1130.864,1136.000,1105.140,1083.317,1126.049,1057.525
1.1909376e+18,1100.076,1277.573,1138.412,1216.226,1180.936,1141.527,1199.542,1135.256,1063.230,1076.836,1157.816,1146.630,1586.733,1076.205,1368.844,1210.955,1080.991,1195.971,1115.043,1390.332,1122.197,1104.229,1064.739,1133.376,1207.575,1172.737,1165.070,1126.576,1050.239,1065.447,1102.850,1140.652,1299.769,1098.834,1168.727,968.452,1029.984,1393.654,1206.891,1204.563,1090.053,1203.473,1190.585,1122.270,1171.506,,1529.744,1171.118,1264.053,1154.740,1043.150,1271.353,1547.364,1154.117,1485.517,1107.625,1260.807,1095.975,1065.716,1068.261,1213.758,1093.106,1147.264,1046.612,1281.478,1099.490
1.1937888e+18,952.441,1142.823,965.331,1132.809,1373.451,1007.276,1092.868,983.449,858.075,936.217,1052.904,1037.268,1405.873,921.456,1355.087,1054.413,957.713,1110.452,1030.830,1248.703,1069.870,953.794,897.629,982.583,1073.455,963.499,961.848,1058.804,952.411,931.180,913.165,1297.519,1092.792,966.777,1274.092,879.178,911.189,1282.555,1076.100,1065.677,962.966,1060.156,1103.873,951.813,1020.598,,1420.559,993.552,1069.023,1073.358,923.045,1146.081,1528.303,965.543,1294.938,1051.261,1115.473,991.573,882.748,935.512,1038.083,997.808,968.036,934.256,1169.171,1015.691
1.1963808e+18,961.651,1109.030,923.555,1031.134,1035.221,933.235,989.206,909.124,822.362,942.888,938.397,944.938,1119.166,875.967,1214.179,1044.532,912.058,1029.659,881.018,1052.636,940.734,924.084,887.777,949.023,982.172,918.924,890.968,923.868,872.866,893.759,851.825,1140.614,1065.645,925.074,991.371,763.270,879.446,1275.747,981.502,973.945,927.243,1056.086,1063.680,953.119,979.178,,1062.972,916.132,1071.518,1016.370,909.962,1096.207,1347.140,920.908,1192.901,948.444,972.972,974.913,894.648,891.961,988.885,960.575,920.385,913.054,1041.798,980.813
1.1988e+18,1151.872,1336.195,1117.473,1210.523,1283.460,1171.572,1231.814,1114.772,976.080,1166.297,1154.935,1127.605,1340.241,1065.648,1483.126,1278.570,1077.319,1281.261,1013.298,1298.170,1148.718,1116.450,1057.178,1143.514,1211.445,1139.210,1085.902,1073.521,1059.220,1128.742,993.281,1168.012,1291.972,1120.047,1132.395,926.305,1047.006,1484.567,1166.952,1142.344,1141.768,1304.037,1364.839,1076.822,1213.531,,1295.049,1129.983,1266.532,1308.245,1123.253,1280.325,1561.974,1100.905,1380.979,1178.650,1146.662,1191.253,1100.462,1100.192,1200.803,1226.996,1116.344,1010.063,1275.475,1190.986
1.2017376e+18,1039.203,1167.741,1057.151,1062.264,1139.226,1091.258,1097.121,1076.142,903.193,1132.392,1045.882,985.881,1098.592,1026.344,1333.898,1155.912,1027.713,1150.011,905.461,1104.718,983.874,1027.168,965.323,1062.226,1113.253,1021.499,1039.504,953.268,1010.109,1046.385,880.373,983.434,1269.662,1028.534,957.907,789.330,981.570,1219.478,1053.478,1015.459,1023.599,1242.024,1202.340,1039.776,1247.730,,1104.298,1057.798,1206.280,1235.954,1042.647,1129.742,1363.912,942.133,1260.623,1075.973,1088.954,1158.990,1056.791,980.630,1060.126,1115.379,1079.529,923.752,1193.216,1151.152
1.2042432e+18,1131.706,1328.840,1214.240,1160.667,1133.809,1186.435,1245.731,1182.137,973.858,1219.250,1067.078,1087.517,1271.244,1132.655,1472.892,1243.190,1121.563,1338.996,976.936,1246.937,1092.041,1133.254,1064.118,1171.739,1262.243,1158.428,1123.398,1019.690,1131.365,1143.244,984.497,1030.793,1339.213,1165.947,1065.712,834.567,1085.771,1322.159,1164.502,1067.413,1084.943,1289.853,1370.796,1142.858,1519.453,,1200.481,1154.171,1281.959,1428.250,1240.180,1229.564,1465.881,1083.259,1362.926,1141.498,1133.140,1238.379,1146.181,1030.678,1208.450,1251.676,1190.499,994.593,1340.179,1260.398
1.2069216e+18,966.758,1138.021,975.179,886.907,772.579,960.487,960.693,923.315,856.076,1005.878,819.851,871.785,954.002,924.870,1109.161,914.918,904.282,1016.943,842.869,978.227,877.375,920.326,858.265,968.206,972.909,879.168,888.430,880.005,920.831,908.902,785.581,883.285,1124.124,929.771,857.493,694.753,893.713,1025.713,906.353,876.532,897.289,1091.779,1084.022,929.769,1231.936,,870.562,968.297,1025.378,1153.275,991.181,984.897,1100.581,885.670,1104.152,902.540,843.944,1018.299,929.779,807.632,963.329,982.538,941.625,842.487,1039.934,1000.380
1.2095136e+18,916.125,1152.623,853.012,849.489,1113.975,940.157,892.756,899.503,813.442,917.897,815.886,827.664,983.016,880.806,1153.649,863.038,805.880,961.576,739.828,980.826,810.382,844.347,749.449,933.575,884.484,898.440,846.101,750.323,864.792,853.980,736.711,975.759,1154.518,851.680,845.638,668.067,799.921,995.498,830.683,850.797,888.085,1039.299,1032.663,874.902,1371.756,,795.815,878.823,955.611,1107.098,1010.131,944.405,1235.326,755.297,1251.441,906.332,824.354,962.399,890.911,728.917,891.502,1003.959,863.764,792.740,1003.095,1017.633
1.2121056e+18,807.207,1063.531,836.417,807.749,973.216,946.897,898.252,823.191,739.771,952.064,786.917,791.698,981.670,847.280,1131.451,843.543,770.962,944.270,673.716,957.992,817.984,812.912,702.462,955.682,843.517,840.745,843.582,688.901,826.042,849.296,701.594,843.660,1093.144,831.696,893.620,624.992,763.617,893.743,831.685,777.496,845.971,985.948,1104.827,782.656,1417.161,,725.578,847.923,881.978,1119.743,977.905,896.256,1100.005,749.406,1288.055,872.207,735.362,1007.064,854.370,676.471,859.582,1003.998,828.615,724.057,1026.959,929.889
