code,name,category,pe,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09
AAPL,苹果公司,计算机,26.12004848,2.36,2.75,3.92,2.09,1.68,2.11,3.38,1.69
AMZN,亚马逊公司,互联网,384.12651716,5.21,3.36,3.86,0.53,0.41,1.52,1.58,0.53
GOOGL,谷歌A类股,媒体内容,43.61011521,4.6,13.53,-4.38,9.71,5.09,7.85,7.73,7.36
MSFT,微软公司,软件,50.5070404,1.15,0.96,-0.82,0.85,0.85,0.62,0.67,0.6
GOOG,谷歌,互联网,43.07604007,4.6,13.53,-4.38,9.71,5.09,7.85,7.73,7.36
BSMX,桑坦德银行墨西,银行,12.4999999,0,0,0,3.0,3.4,3.35,3.35,2.9
HSEA,HSBC Holdings Plc,,376.57143569,0,0,0,0,0,0,0,0
BRK.B,伯克希尔-哈撒韦B,保险,0.01773795,4.82,-0.46,13.06,1.63,1.71,1.64,2.55,2.92
BRK.A,伯克希尔-哈撒韦,保险,26.71388458,7301.0,-692.0,19793.0,2473.0,2592.0,2469.0,3823.0,4379.0
FB,Facebook,媒体内容,49.79942767,1.76,1.72,1.47,1.62,1.34,1.06,1.49,0.83
BABA,阿里巴巴,,79.62211645,0,2.94,9.41,6.92,5.77,4.2,7.19,3.08
JPM,摩根大通公司,,18.54119476,2.31,2.38,1.09,1.77,1.83,1.66,1.73,1.6
JNJ,强生公司,制药,22.67622346,1.47,1.63,-3.98,1.4,1.42,1.63,1.4,1.56
DEO,帝亚吉欧公司,饮料,30.66379372,0,0,0,0,0,0,0,0
FMX,Fomento Economico Mexicano SAB de CV,饮料,30.61904572,24.58,0.01,-4.02,90.68,13.01,9.2,-106.0,54.5
XOM,埃克森美孚公司,,41.62766082,0.92,1.09,1.97,0.93,0.78,0.95,0.41,0.63
BAC,美国银行公司,银行,20.49333318,0.64,0.63,0.21,0.5,0.49,0.43,0.43,0.43
V,维萨卡公司,,54.7790721,1.0,1.12,1.07,0.9,0.87,0.18,0.86,0.8
WMT,沃尔玛公司,零售,22.34018172,0,0,0,0,0,0,0,0
WFC,富国银行,银行,14.75187982,0.98,0.97,1.2,0.85,1.08,1.01,0.97,1.04
RDS.A,荷兰皇家壳牌石油公司,,15.64108892,0,1.42,0.92,1.0,0.38,0.86,0.38,0.34
RDS.B,荷兰皇家壳牌石油公司,,,1.44,1.42,0.92,1.0,0.38,0.86,0.38,0.34
HDB,HDFC银行,银行,243.8780457,53.1,59.94,53.7,47.1,45.6,40.89,45.6,40.8
PFE,辉瑞制药公司,制药,35.97436042,0.66,0.6,2.06,0.48,0.52,0.52,0.14,0.22
UNH,美国联合健康集团,卫生保健设施,36.18344642,3.04,2.94,3.73,2.57,2.37,2.28,1.77,2.07
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,,0,0,0,0,0,0,0,0
ENIC,Enel Chile SA,,8.0666666,33.0,71.5,104.0,79.5,54.0,119.0,138.67,141.0
VZ,威讯通信公司,,17.06853591,1.0,1.11,4.57,0.89,1.07,0.85,1.1,0.89
HD,家得宝公司,零售,30.31938036,0,0,0,0,0,0,0,0
CVX,雪佛龙公司,油气,-436.29629026,1.79,1.92,1.65,1.03,0.77,1.43,0.22,0.68
BBL,必和必拓公司,,45.11827824,0,0,0,0,0,0,0,0
INTC,英特尔公司,半导体,22.21698161,1.08,0.95,-0.15,0.96,0.6,0.63,0.75,0.71
NVS,诺华公司,生物技术和制药,29.65714369,3.34,0.87,0.85,0.89,0.84,0.7,0.4,0.81
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,,0,0,0,0,0,0,0,0
CSCO,思科系统公司,电信,23.64432865,0,0,0,0,0,0,0,0
LYG,劳埃德银行,银行,25.58333335,0.06,0.06,0.02,0.1,0.02,0.06,0.0,0.01
PG,宝洁公司,,15.32783917,0.73,0.97,0.96,1.09,0.85,0.96,3.01,0.99
MA,万事达卡公司,商业服务,55.07046167,1.5,1.42,0.22,1.34,1.1,1.0,0.86,1.08
TSM,台湾积体电路制造公司,半导体,18.84037508,0,17.3,19.5,17.35,12.8,16.9,18.8,18.65
T,美国电话电报公司,电信,15.72857156,0.81,0.75,3.08,0.49,0.63,0.56,0.4,0.54
BA,波音公司,航空航天\/国防,45.51905228,3.77,4.19,5.23,3.1,2.93,2.36,2.61,3.64
TM,丰田汽车公司,汽车制造,11.33088212,449.34,328.1,638.02,308.56,410.1,266.32,322.52,259.54
KO,可口可乐公司,饮料,31.27516656,0.54,0.32,-0.65,0.34,0.32,0.28,0.13,0.24
ORCL,甲骨文公司,软件,22.91943271,0,0,0,0,0,0,0,0
CHL,中国移动通信集团公司,,12.23057004,0,0,0,0,0,0,0,0
BUD,百威英博公司,饮料,140.64789243,0,0.52,1.54,1.04,1.4,0.08,0.21,0.35
MRK,默沙东集团,生物技术和制药,48.97872283,0.64,0.27,-0.38,-0.02,0.71,0.56,-0.21,0.79
NGG,英国国家电网公司,,15.87278098,0,0,0,0,0,0,0,0
HSBC,汇丰控股公司,银行,136.12120116,1.05,0.75,-0.1,0.75,0.95,0.8,-1.1,-0.15
C,花旗集团,银行,14.76059349,1.63,1.68,-7.03,1.42,1.28,1.35,1.14,1.24
AVAL,Grupo Aval Acciones y Valores SA,,11.81818164,0,536.51,418.87,394.0,422.0,526.0,412.0,552.0
UN,联合利华,,28.93877557,0,0,0,0,0,0,0,0
UL,联合利华PLC,食品,28.74999866,0,0,0,0,0,0,0,0
DIS,沃特迪士尼公司,媒体内容,20.30324984,1.96,1.95,2.93,1.15,1.51,1.51,1.56,1.1
EOCC,Enel Generaci贸n Chile SA,,7.70114988,168.6,249.9,543.3,310.5,120.3,556.5,279.0,581.1
CMCSA,康卡斯特公司,媒体,19.88826773,0.7,0.67,3.18,0.56,0.53,0.54,0.48,0.47
PEP,百事可乐公司,饮料,26.36697146,1.28,0.94,-0.5,1.5,1.47,0.92,0.98,1.38
HSEB,HSBC Holdings Plc,,34.90666707,0,0,0,0,0,0,0,0
DWDP,陶氏杜邦公司,,,0.76,0.47,-1.12,0.32,1.08,0.74,-0.03,0.64
SHPG,夏尔制药公司,生物技术和制药,137.43548134,2.01,1.83,10.26,1.83,0.81,1.23,1.83,-1.29
TBB,AT&#38;T Inc.,,,0,0,0,0,0,0,0,0
ABBV,艾伯维公司,生物技术和制药,27.22038414,1.26,1.74,0.03,1.02,1.2,1.07,0.86,0.97
TOT,道达尔公司,,23.9402392,1.38,1.0,0.37,1.06,0.79,1.14,0.19,0.79
NVDA,英伟达公司,半导体,95.26070571,0,0,0,0,0,0,0,0
TI,意大利电信,电信,6.86999989,0,0.1,0,0.21,0.2,0.1,0.1,0.25
SAP,SAP,软件,35.74923615,0.6,0.59,1.55,0.82,0.56,0.43,1.27,0.61
NFLX,奈飞公司,,736.69765933,0.88,0.67,0.42,0.3,0.15,0.41,0.16,0.12
BP,英国石油公司,,1047.7500196,0.84,0.74,0.01,0.54,0.04,0.45,0.16,0.52
NKE,耐克公司,,33.22916535,0,0,0,0,0,0,0,0
PTR,中国石油天然气股份有限公司,油气,122.18332441,0,6.0,3.0,3.0,3.9,3.0,3.0,1.0
IBM,IBM(国际商业机器有限公司),,11.79806108,2.63,1.82,-1.11,2.93,2.49,1.86,4.73,2.99
PM,菲利普莫里斯国际公司,农业,18.9843756,1.41,1.0,0.45,1.27,1.14,1.02,1.1,1.25
E,埃尼石油公司,,-41.62068837,0.7,0.52,1.14,0.2,0.01,0.54,0.18,-0.32
AMGN,安进公司,生物技术,19.27929713,3.5,3.27,-5.81,2.78,2.93,2.81,2.62,2.7
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
BHP,必和必拓,,51.52687936,0,0,0,0,0,0,0,0
MCD,麦当劳公司,零售,29.62316033,1.92,1.74,0.89,2.34,1.72,1.48,1.45,1.52
JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
MDT,美敦力公司,,32.0141346,0,0,0,0,0,0,0,0
MMM,明尼苏达矿业制造公司,,25.09436374,3.14,1.01,0.88,2.39,2.65,2.21,1.92,2.2
ADBE,Adobe,软件,93.77862889,0,0,0,0,0,0,0,0
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
CCV,Comcast Corporation 5.00% Notes Due 2061,,14.03352032,0,0,0,0,0,0,0,0
LLY,礼来公司,生物技术和制药,40.91085511,-0.25,1.16,-1.57,0.53,0.96,-0.1,0.73,0.74
RYAAY,Ryanair Holdings Plc,航空公司,17.80797163,1.33,0.24,0.45,3.75,1.63,0.25,0.38,3.64
UNP,联合太平洋公司,运输,29.47929027,1.98,1.69,9.15,1.5,1.45,1.32,1.4,1.36
HON,霍尼韦尔国际公司,电子,25.02741983,1.7,1.92,-3.16,1.77,1.82,1.74,1.36,1.62
MO,奥驰亚集团公司,农业,8.37912064,0.99,1.0,2.59,0.97,1.03,0.72,5.26,0.56
RY,加拿大皇家银行,银行,14.66294219,0,0,0,0,0,0,0,0
ABT,雅培公司,,68.8510653,0.42,0.24,-0.48,0.34,0.16,0.24,0.53,-0.22
SNP,中国石油化工股份有限公司,,16.57857106,0,15.9,10.3,9.3,8.2,14.2,14.2,8.2
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
TD,道明银行,银行,16.70360138,0,0,0,0,0,0,0,0
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
SNY,赛诺菲-安万特公司,制药,21.5589743,0.3,0.41,0.06,0.63,0.41,2.26,0.31,0.65
TXN,德州仪器公司,半导体,31.50574678,1.43,1.38,0.35,1.29,1.05,0.99,1.17,0.95
UTX,联合技术公司,航空航天\/国防,21.96732107,2.59,1.64,0.5,1.69,1.83,1.75,1.28,1.8
UPS,联合包裹服务公司,运输,31.47286994,1.71,1.55,1.28,1.45,1.59,1.32,-0.26,1.44
WPPGY,WPP plc,广告,12.56398853,0,0,0,0,0,0,0,0
GE,通用电气公司,多元化制造商,13.82022516,0.07,-0.14,-1.13,0.21,0.14,0.07,0.37,0.22
CRM,赛富时公司,软件,557.76926766,0,0,0,0,0,0,0,0
ACN,埃森哲公司,,27.48166656,0,0,0,0,0,0,0,0
VZA,"Verizon Communications, Inc.",,7.99688466,0,0,0,0,0,0,0,0
JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,,,0,0,0,0,0,0,0,0
JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,,,0,0,0,0,0,0,0,0
DCM,NTT道康姆公司,电信,16.62337728,0,-0.55,75.68,49.66,51.27,17.23,49.55,53.21
GSK,葛兰素史克公司,生物技术和制药,89.67391142,0.18,0.22,-0.22,0.49,-0.07,0.42,0.1,0.33
PYPL,PayPal,,74.30434671,0.44,0.43,0.51,0.32,0.34,0.32,0.33,0.27
ISF,ING Groep NV,,25.39705997,0,0,0,0,0,0,0,0
ISG,ING Groep NV,,22.06034559,0,0,0,0,0,0,0,0
BMY,百时美施贵宝公司,制药,22.97735743,0.23,0.91,-1.41,0.52,0.56,0.95,0.54,0.72
COST,好市多公司,,41.63837445,0,0,0,0,0,0,0,0
VTI,大盘指数ETF-Vanguard MSCI,股权,6.12187989,0,0,0,0,0,0,0,0
QCOM,高通公司,半导体,20.14024333,0.82,0.25,-4.03,0.12,0.59,0.51,0.46,1.08
AZN,阿斯利康公司,制药,27.62318773,0,0.14,0.52,0.27,0.19,0.21,0.73,0.4
JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
PGMB,iPath Series B Bloomberg Platinum Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
NVO,诺和诺德公司,制药,21.97222093,4.27,4.41,3.38,3.96,4.01,4.07,3.46,3.88
JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
GILD,吉利德科学公司,生物技术和制药,7.33601622,1.4,1.18,-2.96,2.08,2.35,2.07,2.36,2.52
RAI,雷诺兹烟草,农业,15.38823565,0,0,0,0,0.64,0.55,0.6,0.6
BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
TMO,赛默飞世尔科技公司,,45.18663912,1.87,1.44,1.32,1.35,1.57,1.41,1.59,1.2
LMT,洛克希德马丁公司,,18.59519813,4.08,4.05,-2.2,3.27,3.27,2.63,3.43,8.02
MTU,三菱日联金融集团,银行,13.83333336,0,0,0,0,0,0,0,0
STO,挪威石油公司,,-29.4999988,0,0.39,0.78,-0.15,0.44,0.33,-0.87,-0.14
AXP,美国运通公司,多元化金融服务,18.23539771,1.85,1.86,-1.34,1.51,1.47,1.34,0.9,1.21
GS,高盛集团,,14.32658022,6.04,7.02,-5.2,5.09,4.0,5.23,5.13,4.96
BKNG,"Booking Holdings, Inc.",,,0,12.56,-11.21,35.12,14.66,9.26,13.65,0
SGGB,iPath Series B Bloomberg Sugar Subindex Total Return ETN,,,0,0,0,0,0,0,0,0
USB,美国合众银行,银行,16.4475311,1.02,0.97,0.97,0.89,0.85,0.82,0.81,0.84
