2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days,2018-12-17_code,2018-12-17_days,2018-12-19_code,2018-12-19_days,2018-12-20_code,2018-12-20_days,2018-12-21_code,2018-12-21_days,2018-12-22_code,2018-12-22_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-04_code,2019-02-04_days,2019-02-07_code,2019-02-07_days,2019-02-08_code,2019-02-08_days
FLCA,0.0,LFVN,2.0,RUN,1.0,,,EGAN,3.0,XONE,2.0,XONE,2.0,DORM,3.0,AIF,4.0,BAB,2.0,ASA,1.0,ASA,2.0,AMH,0.0,ADMA,0.0,ADMA,1.0,ABMD,0.0,ABMD,1.0,ABMD,3.0,BHK,3.0,CORI,3.0,CORI,3.0,CORI,3.0,CORI,3.0,CORI,3.0,BBOX,3.0,AER,0.0,AAP,2,AAP,3.0
HAFC,0.0,NNDM,2.0,EGAN,0.0,,,XONE,0.0,UBNT,3.0,UBNT,3.0,INS,3.0,BAB,1.0,EQR,4.0,BAB,4.0,BAK,2.0,AQXP,0.0,AGEN,1.0,ADP,0.0,ADMA,2.0,ADMA,3.0,ADP,4.0,CMS,4.0,DRV,2.0,DRV,3.0,DRV,4.0,HYD,0.0,HYD,0.0,CMF,1.0,AHT,0.0,ABR,2,ABR,3.0
SSB,0.0,WBA,0.0,LFVN,4.0,,,UBNT,1.0,EGC,0.0,ISCA,4.0,IRM,3.0,BFZ,4.0,FAX,3.0,BAK,1.0,BBOX,0.0,ASA,3.0,AMH,2.0,AGEN,2.0,ADP,1.0,ADP,2.0,AGNC,3.0,CORI,3.0,INDY,0.0,INDY,1.0,INDY,2.0,IEI,0.0,KB,1.0,CORI,3.0,AI,0.0,ACWV,2,ACWV,3.0
PF,0.0,CROX,2.0,NNDM,4.0,,,EGC,0.0,ISCA,4.0,DORM,3.0,EQR,2.0,BIL,4.0,GNTX,1.0,CORI,1.0,CORI,2.0,BAK,3.0,AQXP,2.0,AMH,3.0,AGEN,3.0,AGEN,4.0,ANCX,4.0,DRV,0.0,KL,3.0,KL,4.0,KB,0.0,INDY,3.0,LQD,4.0,ELGX,0.0,AKG,1.0,AER,3,AER,4.0
TMV,0.0,BNFT,0.0,NOVT,1.0,,,ISCA,2.0,DORM,3.0,SNMX,2.0,CTRE,4.0,BUI,4.0,GSY,3.0,DNB,0.0,CRNX,0.0,BBOX,1.0,BBOX,3.0,ANCX,0.0,AGNC,0.0,AGNC,1.0,ANH,3.0,KL,1.0,LQD,1.0,LQD,2.0,LQD,3.0,KB,1.0,MAG,1.0,GMO,1.0,ALB,0.0,AHT,3,AHT,4.0
HCM,0.0,ENTG,2.0,WBA,2.0,,,DORM,1.0,SNMX,0.0,STRA,4.0,CPT,4.0,CALX,4.0,IEF,2.0,GNTX,3.0,DNB,1.0,CORI,3.0,BHR,1.0,APPN,0.0,AMH,4.0,ANCX,2.0,APPN,4.0,NAC,2.0,MRT,0.0,MRT,1.0,MAG,0.0,LQD,4.0,MRT,3.0,HYD,4.0,ASYS,0.0,AI,3,AI,4.0
TBF,0.0,EGC,0.0,ICPT,0.0,,,SNMX,0.0,EDGW,0.0,GTYH,3.0,EHC,4.0,CHMI,4.0,IEI,2.0,IEF,4.0,GBIL,0.0,CRNX,1.0,BPMC,1.0,AQXP,3.0,ANCX,1.0,ANH,1.0,ARI,3.0,OR,2.0,NAC,4.0,SPSB,1.0,MRT,2.0,MAG,1.0,SPSB,3.0,SILV,0.0,AU,2.0,AKG,4,ALB,4.0
SVU,0.0,ZUMZ,4.0,CROX,4.0,,,EDGW,0.0,CA,0.0,VGSH,0.0,O,2.0,CIM,4.0,IPG,4.0,IEI,4.0,GNTX,4.0,DNB,2.0,CNC,1.0,BABY,0.0,ANH,0.0,APPN,2.0,AUPH,1.0,PMO,4.0,OR,4.0,TECS,0.0,SPSB,2.0,MRT,3.0,SSRM,1.0,SUB,3.0,AWF,0.0,ALB,3,AMH,0.0
ETP,0.0,CJJD,2.0,ICLK,1.0,,,CA,0.0,STRA,4.0,CTRE,4.0,SPG,3.0,DORM,4.0,ITE,2.0,ITE,4.0,HCSG,0.0,GBIL,1.0,COLL,1.0,BBOX,4.0,APPN,1.0,ARI,1.0,BABY,4.0,POR,3.0,SPSB,0.0,,,SSRM,0.0,SPSB,3.0,TECS,2.0,UST,4.0,BCSF,1.0,ARI,2,ARI,3.0
SNMX,0.0,SBGI,0.0,BNFT,2.0,,,STRA,2.0,GTYH,3.0,MNK,4.0,KREF,3.0,EOD,4.0,MUB,2.0,JNUG,1.0,JNUG,2.0,HCSG,1.0,CORI,3.0,BHR,2.0,AQXP,4.0,BABY,2.0,BBOX,2.0,WEC,4.0,,,,,TECS,1.0,SSRM,1.0,UST,0.0,VGIT,4.0,BFK,3.0,ASYS,3,ASYS,4.0
EGC,0.0,SNMX,0.0,XLRN,0.0,,,GTYH,1.0,VGSH,0.0,RAD,3.0,RPT,4.0,EQR,3.0,O,4.0,JPST,0.0,JPST,1.0,JNUG,3.0,CRI,1.0,BIOS,0.0,ARI,0.0,BBOX,0.0,BEAT,3.0,,,,,,,VIXY,0.0,TECS,2.0,VGIT,0.0,,,BKK,1.0,AWF,3,AWF,4.0
LCI,1.0,CA,0.0,ENTG,4.0,,,FTSM,0.0,FTSM,2.0,SJM,2.0,FRT,3.0,EXTN,4.0,SJM,4.0,MUB,4.0,PVG,2.0,JPST,2.0,CRNX,3.0,BKNG,0.0,BABY,1.0,BEAT,1.0,BGR,3.0,,,,,,,VLP,0.0,UST,0.0,VIXY,1.0,,,BRY,0.0,AXON,0,AXON,1.0
MHLD,1.0,NDAQ,4.0,LTRPA,1.0,,,EVLV,4.0,CTRE,4.0,PMM,3.0,ISCA,4.0,FAX,2.0,SPAB,2.0,PVG,1.0,SIVR,2.0,PVG,3.0,CVA,0.0,BPMC,2.0,BEAT,0.0,BGR,1.0,BIOS,4.0,,,,,,,,,VGIT,0.0,VLP,1.0,,,BSMX,2.0,B,0,B,1.0
HFWA,1.0,TBRG,3.0,EGC,0.0,,,AMPH,4.0,MNK,4.0,WM,2.0,RWR,3.0,FREL,4.0,VGSH,2.0,SIVR,1.0,SLV,2.0,RWGE,0.0,DNB,4.0,CHRW,0.0,BGR,0.0,BHR,4.0,BKH,0.0,,,,,,,,,VIXY,1.0,,,,,CBL,1.0,BCE,1,BCE,2.0
PPBI,1.0,LPNT,2.0,LILA,0.0,,,CTRE,2.0,RAD,3.0,SPG,3.0,FREL,3.0,FRT,4.0,WM,4.0,SLV,1.0,SONC,1.0,SIVR,3.0,DTEA,1.0,CNC,2.0,BHR,3.0,BIOS,2.0,BKNG,4.0,,,,,,,,,VLP,1.0,,,,,CBLK,1.0,BCSF,4,BDJ,3.0
DECK,1.0,HCM,1.0,TRIP,1.0,,,WSC,3.0,SVU,0.0,KREF,3.0,BXP,4.0,FTF,4.0,XONE,4.0,SONC,0.0,TTM,2.0,SLV,3.0,FPRX,1.0,COLL,2.0,BIOS,1.0,BKNG,2.0,BYM,2.0,,,,,,,,,,,,,,,CIF,2.0,BDJ,2,BGR,2.0
