code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
A,安捷伦科技,64.38,64.99,2963305,0.877867,69.893519,4.539183,0.929843
AA,美国铝业,35.85,35.95,3092050,1.034885,0,1.285343,-0.072084
AABA,Altaba,63.6,63.59,4806812,0.631682,1.970188,0.61482,32.276112
AAC,"AAC Holdings, Inc.",2.36,1.99,881373,1.412092,0,0.314762,-0.908787
AAL,美国航空,37.4,36.75,10645622,1.175372,14.819959,-29.799945,2.479764
AAN,Aarons Inc,49.17,50.16,411920,0.541239,11.28845,1.951065,4.44348
AAOI,Applied Optoelectronics Inc.,21.13,20.99,477920,0.491327,11.638061,1.206724,1.803565
AAON,艾伦建材,40.68,39.28,480221,1.527572,44.397876,8.610073,0.884727
AAP,Advance Auto Parts Inc,177.55,179.21,876040,0.492445,24.764536,3.629323,7.236558
AAPL,苹果,190.5,193.53,36928073,0.762134,17.377018,8.131748,11.137124
AAT,American Assets Trust Inc,38.64,39.21,233999,1.119746,97.904574,2.275235,0.400492
AAU,Almaden Minerals,0.505,0.515,139903,0.717649,0,0.958026,-0.03
AAWW,阿特拉斯航空全球控股公司,54.82,54.17,309041,1.06048,7.859458,0.780035,6.892333
AAXJ,亚洲ETF-iShares MSCI,65.55,66.2,774650,0.421724,0,0,0
AAXN,"Axon Enterprise, Inc.",49.09,49.95,777819,0.988725,137.085552,6.490188,0.364371
AB,联博控股,29.73,29.65,276038,0.83763,10.953902,1.919487,2.706798
ABB,ABB Ltd,19.96,20.14,3261223,1.007448,19.099913,3.162797,1.054455
ABBV,AbbVie Inc.,89.73,91.53,8690956,1.012778,22.603467,-41.067076,4.049379
ABC,美源伯根,88.31,88.75,1175366,0.949019,17.971284,6.198438,4.938434
ABCB,ABC银行,44.18,44.53,691219,1.79478,21.682943,1.496546,2.053688
ABCD,新生,14.43,14.41,391877,1.198236,15.32356,-105.136013,0.940382
ABDC,Alcentra Capital Corp,6.2,6.32,69926,1.238154,0,0.571599,-0.983416
ABEO,Abeona Therapeutics Inc,8,8.25,449218,0.537663,0,2.458034,-0.74737
ABEV,Ambev S.A.,4.26,4.35,21939323,1.097366,22.932998,1.159673,0.189683
ABG,阿斯伯里汽车集团,68.76,69.03,656667,2.269424,8.28275,2.813094,8.334188
ABIO,方舟生物医药,0.6,0.56,193425,0.50196,0,0.866564,-1.056119
ABM,反导工业公司,30.75,31.47,535196,1.138374,24.819335,1.42293,1.267963
ABMD,阿比奥梅德,318.04,319.78,752871,0.706089,86.172959,19.839137,3.710909
ABR,阿伯房地产信托,11.93,12.1,829906,0.511116,9.2501,1.340545,1.308094
ABT,雅培,70.48,72.04,9860217,1.410522,146.850178,4.13321,0.490568
ABUS,Arbutus Biopharma Corporation,4.52,4.71,170401,0.854038,0,2.227522,-1.231085
ABX,巴里克黄金,13.19,13.04,12568851,0.925768,23.285714,1.58151,0.56
ACA,Arcosa Inc,31.8,31.3,583164,0.878266,0,0,0
ACAD,阿卡迪亚,18.48,18.93,1740949,0.940474,0,8.939171,-2.028024
ACB,奥罗拉大麻公司,6.56,6.4,8459492,0.533134,0,0,0
ACBI,"Atlantic Capital Bancshares, Inc",17.2,17.36,235711,1.50049,109.359845,1.415076,0.158742
ACC,美国校园社区公司,40.89,41.7,610155,1.211692,53.073083,1.633906,0.785709
ACCO,ACCO Brands,8.17,8.09,1607057,2.22825,6.175256,1.129639,1.310067
