2018-12-02_code,2018-12-02_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-03_code,2019-02-03_days
AAT,1.0,AAT,4.0,ATNI,4.0,AMRH,0
ACAD,4.0,ATNI,3.0,CLX,3.0,ANGL,0
ATNI,0.0,BXMT,4.0,CMF,2.0,ATU,0
BDSI,2.0,CHEF,3.0,CWT,4.0,BAB,4
BXMT,1.0,CLX,1.0,IEF,2.0,BBOX,1
CHEF,0.0,CMF,0.0,IEI,2.0,BGIO,0
COLB,0.0,COLB,3.0,ITE,2.0,BOND,1
CREE,0.0,CREE,3.0,ITM,2.0,BSCL,0
CYOU,0.0,CWT,2.0,KMB,3.0,BSJL,0
DORM,0.0,CYOU,3.0,SAND,2.0,CBD,1
EHTH,0.0,DORM,3.0,SCHR,2.0,CBND,0
FCE.A,0.0,EHTH,3.0,SUB,0.0,CEFL,0
FRED,4.0,FCE.A,3.0,UST,2.0,CHI,0
GGG,0.0,GGG,3.0,VGIT,2.0,CHKR,0
GIL,1.0,GIL,4.0,,,CIG,1
HCCI,0.0,HCCI,3.0,,,CYH,0
HCP,1.0,HCP,4.0,,,DHF,0
HE,0.0,HE,3.0,,,DIV,0
IBN,0.0,IBN,3.0,,,EFT,0
LOPE,4.0,IEF,0.0,,,EHI,0
O,0.0,IEI,0.0,,,EIM,1
OMCL,0.0,ITE,0.0,,,ERC,0
PETX,1.0,ITM,0.0,,,ESIO,4
PIR,3.0,KMB,1.0,,,GAB,0
PKG,0.0,O,3.0,,,GFI,1
WABC,0.0,OMCL,3.0,,,GIS,0
WELL,0.0,PETX,4.0,,,GLAD,0
,,PKG,3.0,,,HCHC,0
,,SAND,0.0,,,HCKT,0
,,SCHR,0.0,,,IIM,1
,,UST,0.0,,,INUV,0
,,VGIT,0.0,,,JTA,0
,,WABC,3.0,,,KEP,4
,,WELL,3.0,,,KGC,4
,,,,,,KL,1
,,,,,,KREF,0
,,,,,,MBRX,0
,,,,,,MCFT,0
,,,,,,MERC,0
,,,,,,MYN,0
,,,,,,NAVG,0
,,,,,,NTC,0
,,,,,,NXTD,0
,,,,,,PCEF,0
,,,,,,PER,0
,,,,,,PGLC,2
,,,,,,PKE,0
,,,,,,PMF,0
,,,,,,PPC,0
,,,,,,RLGT,0
,,,,,,RMBL,0
,,,,,,SAFM,0
,,,,,,SDPI,0
,,,,,,SHM,0
,,,,,,SRAX,0
,,,,,,SUB,1
,,,,,,TELL,0
,,,,,,TRCO,0
,,,,,,VHI,0
,,,,,,ZAYO,0
