,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
51,307.68,308.81,303.09,303.87,2019-03-01,2124197,300.73,0.02311043128387586,0.004256829757678643,0.01885360152619722
50,300.73,317.99,297.7,301.26,2019-02-01,27736555,303.0,-0.007491749174917432,0.03665368382862661,-0.044145433003544045
49,303.0,305.99,241.18,258.41,2019-01-01,39487137,262.63,0.15371435098808212,0.07168418679101793,0.08203016419706419
48,262.63,300.57,246.57,292.95,2018-12-01,33798459,290.07,-0.09459785569000585,-0.08657530642019919,-0.008022549269806667
47,290.07,294.41,264.3,278.57,2018-11-01,29360656,275.57,0.05261820952933919,0.01683007004366982,0.03578813948566937
46,275.57,283.06,259.72,274.76,2018-10-01,31177476,274.05,0.005546433132639962,-0.050742091993026116,0.05628852512566608
45,274.05,276.0,260.8,264.17,2018-09-01,25030349,264.73,0.035205681260151826,0.019006101332495338,0.01619957992765649
44,264.73,268.13,250.0125,255.0,2018-08-01,19350461,253.0,0.04636363636363643,0.021626043322910474,0.02473759304072596
43,253.0,253.885,235.38,237.97,2018-07-01,24184079,238.03,0.06289123219762215,0.047124579906976924,0.015766652290645222
42,238.03,246.82,220.8,222.78,2018-06-01,29781775,221.42,0.07501580706349929,-0.005915422119411018,0.0809312291829103
41,221.42,237.94,219.96,235.83,2018-05-01,26915024,235.99,-0.06173990423323031,0.010457659700825376,-0.07219756393405569
40,235.99,245.8,217.49,221.36,2018-04-01,38194643,219.7,0.07414656349567601,0.0024909648588916896,0.07165559863678432
39,219.7,236.645,215.52,234.65,2018-03-01,31248931,235.38,-0.0666156852748747,-0.037000383552011254,-0.029615301722863446
38,235.38,248.92,224.61,247.42,2018-02-01,30501749,247.85,-0.05031268912648779,-0.042838092972723216,-0.0074745961537645775
37,247.85,267.95,223.75,225.0,2018-01-01,35563068,225.01,0.10150659970667972,0.05785659903508275,0.04365000067159697
36,225.01,236.39,222.25,235.5,2017-12-01,30006206,234.96,-0.04234763363976854,0.01841066069004454,-0.060758294329813084
35,234.96,236.04,208.4,210.03,2017-11-01,35117859,209.21,0.1230820706467186,0.03828980666665513,0.08479226398006347
34,209.21,212.07,182.31,191.21,2017-10-01,37976103,189.88,0.10180113756056464,0.043389694038274404,0.05841144352229023
33,189.88,198.98,179.4,196.04,2017-09-01,38496185,196.04,-0.03142215874311363,0.02082139228452584,-0.05224355102763947
32,196.04,196.48,186.02,187.0,2017-08-01,28003508,186.21,0.05278986090972549,0.0026028818991444733,0.050186979010581015
31,186.21,194.38,179.56,189.21,2017-07-01,26245725,188.13,-0.01020570881837021,0.025362968819600054,-0.03556867763797027
30,188.13,194.94,182.685,182.79,2017-06-01,36765722,182.35,0.03169728544008775,0.016230457454429463,0.015466827985658287
29,182.35,185.0,174.96,178.5,2017-05-01,31331321,177.89,0.02507167350609932,0.003253979965149037,0.021817693540950284
28,177.89,184.4494,163.87,166.15,2017-04-01,27112233,165.38,0.07564397145966859,0.013419496090154255,0.06222447536951433
