,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
180,178.25,180.34,175.365,176.0,2019-03-01,3149756,174.44,0.02184132079798213,0.004256829757678643,0.017584491040303487
179,174.44,199.38,173.24,195.0,2019-02-01,59269181,199.81,-0.12697062209098645,0.03665368382862661,-0.16362430591961305
178,199.81,202.05,184.3,187.69,2019-01-01,58076219,189.92,0.052074557708508926,0.07168418679101793,-0.019609629082509003
177,189.92,226.605,176.52,224.82,2018-12-01,68990584,223.38,-0.14978959620377835,-0.08657530642019919,-0.06321428978357917
176,223.38,223.96,207.1868,219.01,2018-11-01,47461024,213.81,0.04475936579205834,0.01683007004366982,0.027929295748388518
175,213.81,216.0,201.225,209.22,2018-10-01,53425729,208.25,0.026698679471788726,-0.050742091993026116,0.07744077146481484
174,208.25,208.73,181.78,187.49,2018-09-01,55870439,188.34,0.10571307210364232,0.019006101332495338,0.08670697077114699
173,188.34,193.37,178.57,179.89,2018-08-01,67909543,179.42,0.04971575075242457,0.021626043322910474,0.028089707429514096
172,179.42,181.66,166.88,169.47,2018-07-01,41546569,169.95,0.055722271256251836,0.047124579906976924,0.008597691349274912
171,169.95,182.1,163.97,170.21,2018-06-01,43239924,169.37,0.0034244553344747243,-0.005915422119411018,0.009339877453885741
170,169.37,179.99,166.25,172.01,2018-05-01,40142448,171.82,-0.01425910836922354,0.010457659700825376,-0.024716768070048918
169,171.82,177.81,163.8043,168.85,2018-04-01,41834252,167.74,0.024323357577202716,0.0024909648588916896,0.021832392718311028
168,167.74,196.13,163.02,195.41,2018-03-01,92204923,195.89,-0.1437030986778293,-0.037000383552011254,-0.10670271512581804
167,195.89,209.64,187.14,207.32,2018-02-01,30161446,208.35,-0.05980321574274062,-0.042838092972723216,-0.016965122770017403
166,208.35,227.13,201.3,204.14,2018-01-01,28121225,203.09,0.025899847358314004,0.05785659903508275,-0.031956751676768744
165,203.09,211.96,202.2401,211.62,2017-12-01,24804219,211.73,-0.040806687762716606,0.01841066069004454,-0.05921734845276115
164,211.73,212.455,195.25,198.2,2017-11-01,27821016,197.22,0.07357265997363346,0.03828980666665513,0.035282853306978335
163,197.22,202.5,183.08,187.71,2017-10-01,31510185,186.94,0.054990906173103676,0.043389694038274404,0.011601212134829272
162,186.94,188.36,180.04,182.68,2017-09-01,26653680,182.06,0.026804350214215067,0.02082139228452584,0.0059829579296892255
161,182.06,182.18,170.55,174.0,2017-08-01,26627370,173.56,0.04897441806867942,0.0026028818991444733,0.046371536169534947
160,173.56,175.8,166.805,168.27,2017-07-01,23215204,167.39,0.03686002748073371,0.025362968819600054,0.01149705866113366
159,167.39,173.21,161.2,161.79,2017-06-01,40584872,161.23,0.038206289152142886,0.016230457454429463,0.021975831697713423
158,161.23,164.88,155.32,156.68,2017-05-01,28774999,156.37,0.031080130459806773,0.003253979965149037,0.027826150494657736
157,156.37,159.075,146.7,146.7,2017-04-01,21867232,146.49,0.06744487678339815,0.013419496090154255,0.0540253806932439
156,146.49,154.83,143.85,150.0,2017-03-01,29956786,148.9,-0.016185359301544636,-0.007160209568984425,-0.00902514973256021
