,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
106,1.7,1.75,1.62,1.65,2019-03-01,1635362,1.64,0.03658536585365857,0.004256829757678643,0.03232853609597992
105,1.64,2.74,1.5,2.05,2019-02-01,74190911,2.01,-0.18407960199004972,0.03665368382862661,-0.22073328581867632
104,2.01,2.26,1.25,1.28,2019-01-01,60501366,1.29,0.5581395348837207,0.07168418679101793,0.48645534809270274
103,1.29,1.8463,1.11,1.46,2018-12-01,47519708,1.32,-0.022727272727272745,-0.08657530642019919,0.06384803369292644
102,1.32,1.54,0.84,1.05,2018-11-01,54589779,1.08,0.2222222222222222,0.01683007004366982,0.2053921521785524
101,1.08,2.4,0.98,1.17,2018-10-01,135369136,0.9687,0.11489625270981735,-0.050742091993026116,0.16563834470284347
100,0.9687,1.03,0.529,0.65,2018-09-01,48202147,0.62,0.5624193548387098,0.019006101332495338,0.5434132535062144
99,0.62,0.69,0.38,0.579,2018-08-01,92767860,0.6,0.03333333333333337,0.021626043322910474,0.011707290010422894
98,0.6,0.7999,0.2311,0.2493,2018-07-01,104202652,0.2375,1.5263157894736843,0.047124579906976924,1.4791912095667075
97,0.2375,0.3978,0.207,0.23,2018-06-01,51232545,0.23,0.03260869565217382,-0.005915422119411018,0.03852411777158484
96,0.23,0.258835,0.1721,0.24,2018-05-01,18644942,0.2385,-0.03563941299790348,0.010457659700825376,-0.046097072698728855
95,0.2385,0.299,0.1804,0.19,2018-04-01,25342132,0.1812,0.31622516556291386,0.0024909648588916896,0.3137342007040222
94,0.1812,0.3299,0.1728,0.29,2018-03-01,45932652,0.29,-0.3751724137931034,-0.037000383552011254,-0.33817203024109216
93,0.29,0.59,0.2706,0.467,2018-02-01,43151049,0.4661,-0.3778159193306158,-0.042838092972723216,-0.3349778263578926
92,0.4661,0.579,0.44,0.5199,2018-01-01,15322930,0.502,-0.07151394422310754,0.05785659903508275,-0.1293705432581903
91,0.502,0.655,0.46,0.5749,2017-12-01,29505948,0.5899,-0.14900830649262584,0.01841066069004454,-0.16741896718267038
90,0.5899,0.643,0.4529,0.5558,2017-11-01,15977266,0.5513,0.07001632504988203,0.03828980666665513,0.031726518383226904
89,0.5513,0.775,0.52,0.52,2017-10-01,48492853,0.52,0.06019230769230768,0.043389694038274404,0.016802613654033273
88,0.52,0.54,0.3814,0.5099,2017-09-01,17766276,0.495,0.05050505050505055,0.02082139228452584,0.02968365822052471
87,0.495,0.54,0.322,0.365,2017-08-01,20937755,0.3723,0.32957292506043506,0.0026028818991444733,0.3269700431612906
86,0.3723,0.4585,0.35,0.43,2017-07-01,5881606,0.4284,-0.1309523809523809,0.025362968819600054,-0.15631534977198097
85,0.4284,0.5,0.36,0.3843,2017-06-01,8187266,0.395,0.08455696202531642,0.016230457454429463,0.06832650457088696
84,0.395,0.6625,0.3874,0.6625,2017-05-01,10611585,0.6401,-0.3829089204811748,0.003253979965149037,-0.38616290044632384
83,0.6401,1.64,0.6252,1.64,2017-04-01,9762040,1.63,-0.6073006134969325,0.013419496090154255,-0.6207201095870868
82,1.63,2.3,1.44,2.12,2017-03-01,4561383,2.08,-0.21634615384615394,-0.007160209568984425,-0.20918594427716952
81,2.08,2.48,1.7,1.7,2017-02-01,4367992,1.66,0.2530120481927712,0.04773186186731944,0.20528018632545175
80,1.66,1.86,1.54,1.54,2017-01-01,2751725,1.53,0.08496732026143784,0.005135457885096172,0.07983186237634167
79,1.53,1.98,1.4699,1.7,2016-12-01,4517380,1.69,-0.09467455621301771,0.033415291488309025,-0.12808984770132673
78,1.69,2.41,1.46,2.09,2016-11-01,4753560,2.09,-0.1913875598086124,0.054080988093099136,-0.24546854790171155
77,2.09,3.26,2.02,2.54,2016-10-01,6534921,2.52,-0.1706349206349207,-0.00905225268527968,-0.16158266794964102
76,2.52,3.12,1.67,2.0,2016-09-01,14813041,1.97,0.27918781725888325,-0.005039432896687525,0.28422725015557077
75,1.97,2.06,1.35,1.49,2016-08-01,7199231,1.49,0.3221476510067114,-0.0017013667356762163,0.3238490177423876
74,1.49,2.0699,1.355,2.01,2016-07-01,4635329,1.99,-0.25125628140703515,0.028011727836992656,-0.27926800924402784
73,1.99,2.81,1.825,2.81,2016-06-01,9674816,2.83,-0.2968197879858657,0.008027682828101155,-0.3048474708139669
