,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
162,77.03,78.49,76.35,76.35,2019-03-01,376552,75.97,0.013952876135316603,0.004256829757678643,0.009696046377637959
161,75.97,86.7,74.25,75.77,2019-02-01,7100952,75.81,0.002110539506661345,0.03665368382862661,-0.034543144321965265
160,75.81,75.96,59.82,63.12,2019-01-01,7251671,64.41,0.17699115044247798,0.07168418679101793,0.10530696365146006
159,64.41,81.3593,58.475,81.0,2018-12-01,8087567,79.05,-0.18519924098671728,-0.08657530642019919,-0.09862393456651809
158,79.05,92.18,66.91,71.99,2018-11-01,11783027,71.71,0.10235671454469396,0.01683007004366982,0.08552664450102414
157,71.71,73.0,61.84,70.71,2018-10-01,6576031,70.22,0.021219025918541655,-0.050742091993026116,0.07196111791156777
156,70.22,72.8327,60.7125,60.87,2018-09-01,5946744,61.17,0.1479483406898806,0.019006101332495338,0.12894223935738527
155,61.17,62.25,51.265,53.36,2018-08-01,8429083,53.68,0.13953055141579734,0.021626043322910474,0.11790450809288687
154,53.68,59.43,48.96,50.3,2018-07-01,6470051,50.4,0.0650793650793651,0.047124579906976924,0.017954785172388174
153,50.4,53.97,39.5,40.18,2018-06-01,9405337,39.92,0.26252505010020033,-0.005915422119411018,0.26844047221961137
152,39.92,40.37,31.16,31.69,2018-05-01,3795714,31.73,0.25811534825086674,0.010457659700825376,0.24765768855004136
151,31.73,33.6,30.04,31.2,2018-04-01,2604101,31.29,0.014062000639181888,0.0024909648588916896,0.011571035780290197
150,31.29,33.765,30.19,31.93,2018-03-01,4503909,32.0,-0.022187500000000027,-0.037000383552011254,0.014812883552011227
149,32.0,35.07,30.92,33.01,2018-02-01,4408454,33.21,-0.03643480879253239,-0.042838092972723216,0.006403284180190823
148,33.21,36.2,33.101,34.09,2018-01-01,3354922,34.2,-0.028947368421052687,0.05785659903508275,-0.08680396745613544
147,34.2,37.5,26.54,30.27,2017-12-01,4792699,30.29,0.12908550676791034,0.01841066069004454,0.11067484607786579
146,30.29,33.28,28.095,33.15,2017-11-01,2353192,32.79,-0.07624275693809088,0.03828980666665513,-0.11453256360474601
145,32.79,34.02,31.62,32.0,2017-10-01,2828367,32.09,0.021813649111872724,0.043389694038274404,-0.02157604492640168
144,32.09,32.64,30.65,31.61,2017-09-01,2523084,31.7,0.012302839116719373,0.02082139228452584,-0.008518553167806468
143,31.7,32.16,27.6,32.16,2017-08-01,2253076,31.9,-0.006269592476489006,0.0026028818991444733,-0.00887247437563348
