,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
182,81.65,81.925,81.17,81.76,2019-03-01,10131294,81.29,0.004428589002337303,0.004256829757678643,0.00017175924465866015
181,81.29,81.76,75.33,75.97,2019-02-01,189661504,74.43,0.09216713690716108,0.03665368382862661,0.05551345307853447
180,74.43,76.5,72.05,75.29,2019-01-01,291242548,76.41,-0.02591283863368656,0.07168418679101793,-0.09759702542470448
179,76.41,80.19,70.89,79.52,2018-12-01,283398826,79.34,-0.03692966977564919,-0.08657530642019919,0.04964563664455
178,79.34,79.49,70.12,73.8,2018-11-01,272583469,73.61,0.07784268441787806,0.01683007004366982,0.06101261437420824
177,73.61,74.49,66.1,71.07,2018-10-01,276371300,70.94,0.03763744009021711,-0.050742091993026116,0.08837953208324323
176,70.94,71.575,67.91,68.37,2018-09-01,145309826,68.59,0.03426155416241426,0.019006101332495338,0.015255452829918924
175,68.59,70.25,64.87,65.71,2018-08-01,175947045,65.87,0.041293456808865925,0.021626043322910474,0.01966741348595545
174,65.87,66.12,59.92,60.55,2018-07-01,173550279,60.7,0.08517298187808899,0.047124579906976924,0.03804840197111206
173,60.7,62.96,59.62,59.89,2018-06-01,232503348,59.53,0.019653955988577217,-0.005915422119411018,0.025569378107988233
172,59.53,60.075,56.255,59.0,2018-05-01,208477646,58.87,0.011211143196874532,0.010457659700825376,0.0007534834960491558
171,58.87,61.0,52.83,54.4,2018-04-01,273661832,54.47,0.08077841013401871,0.0024909648588916896,0.07828744527512702
170,54.47,56.13,52.97,54.26,2018-03-01,241366737,54.22,0.004610844706750277,-0.037000383552011254,0.04161122825876153
169,54.22,60.34,53.36,59.17,2018-02-01,269157283,59.25,-0.08489451476793251,-0.042838092972723216,-0.0420564217952093
168,59.25,63.78,55.96,56.59,2018-01-01,291248936,56.27,0.05295894792962497,0.05785659903508275,-0.004897651105457784
167,56.27,57.37,54.185,55.4,2017-12-01,232723490,55.27,0.01809299800977022,0.01841066069004454,-0.0003176626802743228
166,55.27,56.72,53.63,55.54,2017-11-01,258635816,55.09,0.003267380649845702,0.03828980666665513,-0.035022426016809424
165,55.09,64.9,54.41,64.21,2017-10-01,243323944,64.03,-0.13962205216304854,0.043389694038274404,-0.18301174620132293
164,64.03,66.41,63.33,63.79,2017-09-01,161764778,63.86,0.002662073285311646,0.02082139228452584,-0.018159318999214195
