,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
110,146.095,148.12,145.61,146.84,2019-03-01,44701,146.38,-0.0019469872933460624,0.004256829757678643,-0.006203817051024706
109,146.38,149.01,127.5,128.58,2019-02-01,909741,127.62,0.14699890299326115,0.03665368382862661,0.11034521916463455
108,127.62,135.35,119.7,119.7,2019-01-01,714830,119.05,0.07198656026879469,0.07168418679101793,0.00030237347777675727
107,119.05,124.6,112.1,113.24,2018-12-01,597183,111.64,0.06637405947688997,-0.08657530642019919,0.15294936589708916
106,111.64,113.8,103.41,106.06,2018-11-01,256313,102.58,0.0883213101969195,0.01683007004366982,0.07149124015324967
105,102.58,108.79,99.4801,99.96,2018-10-01,400088,102.11,0.004602879247869933,-0.050742091993026116,0.055344971240896046
104,102.11,103.51,91.01,91.12,2018-09-01,192221,93.29,0.09454389537999777,0.019006101332495338,0.07553779404750244
103,93.29,93.35,79.608,87.91,2018-08-01,320193,88.81,0.0504447697331382,0.021626043322910474,0.02881872641022773
102,88.81,91.95,81.93,89.4,2018-07-01,287455,90.6,-0.019757174392935895,0.047124579906976924,-0.06688175429991282
101,90.6,97.45,88.83,94.25,2018-06-01,375383,94.03,-0.03647771987663519,-0.005915422119411018,-0.030562297757224167
100,94.03,95.58,89.5263,90.35,2018-05-01,1706532,92.0,0.02206521739130436,0.010457659700825376,0.011607557690478982
99,92.0,99.56,85.43,89.85,2018-04-01,567739,90.53,0.016237711255937246,0.0024909648588916896,0.013746746397045557
98,90.53,96.06,89.581,95.76,2018-03-01,428232,99.4202,-0.0894204598260715,-0.037000383552011254,-0.05242007627406024
97,99.4202,101.3,91.3,98.22,2018-02-01,961119,98.02,0.014284839828606389,-0.042838092972723216,0.0571229328013296
96,98.02,107.47,97.79,103.08,2018-01-01,701235,101.55,-0.03476120137863123,0.05785659903508275,-0.09261780041371398
95,101.55,102.3,93.83,96.71,2017-12-01,376507,96.21,0.055503585905831036,0.01841066069004454,0.0370929252157865
94,96.21,98.23,93.01,95.2,2017-11-01,682496,93.81,0.025583626479053313,0.03828980666665513,-0.012706180187601817
93,93.81,96.19,86.76,89.38,2017-10-01,579974,89.65,0.046402677077523664,0.043389694038274404,0.0030129830392492604
92,89.65,94.79,86.15,90.53,2017-09-01,504705,89.61,0.0004463787523714569,0.02082139228452584,-0.020375013532154384
91,89.61,90.79,83.85,85.57,2017-08-01,611844,84.7832,0.05693109012162794,0.0026028818991444733,0.054328208222483465
90,84.7832,85.92,79.11,80.66,2017-07-01,700366,80.6892,0.05073789305136244,0.025362968819600054,0.025374924231762387
89,80.6892,86.12,78.64,79.05,2017-06-01,811491,78.35,0.029855775366943272,0.016230457454429463,0.013625317912513809
