,close,high,low,open,time,volume,close_pre_tmp,month_grow_tmp,month_grow,month_rs
182,4.86,5.0375,4.63,4.66,2019-03-01,364475,4.67,0.04068522483940051,0.004256829757678643,0.03642839508172187
181,4.67,5.2391,4.15,4.88,2019-02-01,3322770,4.91,-0.048879837067209816,0.03665368382862661,-0.08553352089583643
180,4.91,5.98,4.0503,4.1,2019-01-01,6823707,4.08,0.20343137254901963,0.07168418679101793,0.1317471857580017
179,4.08,4.1,3.5066,3.56,2018-12-01,788603,3.59,0.1364902506963789,-0.08657530642019919,0.2230655571165781
178,3.59,4.16,3.01,3.16,2018-11-01,1376043,3.15,0.13968253968253966,0.01683007004366982,0.12285246963886984
177,3.15,3.2,2.62,2.89,2018-10-01,780019,2.89,0.08996539792387535,-0.050742091993026116,0.14070748991690146
176,2.89,2.96,2.52,2.72,2018-09-01,468053,2.71,0.06642066420664212,0.019006101332495338,0.04741456287414679
175,2.71,2.89,2.41,2.4779,2018-08-01,887904,2.48,0.09274193548387095,0.021626043322910474,0.07111589216096048
174,2.48,3.0001,2.2975,3.0,2018-07-01,317195,2.94,-0.15646258503401358,0.047124579906976924,-0.2035871649409905
173,2.94,3.18,2.48,3.0,2018-06-01,927527,3.0,-0.020000000000000018,-0.005915422119411018,-0.014084577880589
172,3.0,3.07,2.29,2.29,2018-05-01,1057108,2.31,0.2987012987012987,0.010457659700825376,0.28824363900047334
171,2.31,2.52,2.2129,2.28,2018-04-01,658150,2.27,0.017621145374449355,0.0024909648588916896,0.015130180515557666
170,2.27,2.3,2.045,2.15,2018-03-01,714649,2.1535,0.05409798003250514,-0.037000383552011254,0.0910983635845164
169,2.1535,2.25,2.04,2.24,2018-02-01,834123,2.2,-0.021136363636363627,-0.042838092972723216,0.02170172933635959
168,2.2,2.33,1.8,1.88,2018-01-01,696975,1.8906,0.16365175076695235,0.05785659903508275,0.1057951517318696
167,1.8906,1.94,1.56,1.62,2017-12-01,592067,1.63,0.15987730061349703,0.01841066069004454,0.1414666399234525
166,1.63,1.84,1.4499,1.45,2017-11-01,649721,1.45,0.12413793103448272,0.03828980666665513,0.08584812436782759
165,1.45,1.49,1.3,1.3,2017-10-01,270105,1.3,0.11538461538461531,0.043389694038274404,0.0719949213463409
164,1.3,1.34,1.27,1.3,2017-09-01,576909,1.3065,-0.0049751243781094145,0.02082139228452584,-0.025796516662635258
163,1.3065,1.33,1.12,1.22,2017-08-01,489326,1.22,0.07090163934426232,0.0026028818991444733,0.06829875744511785
162,1.22,1.4,1.16,1.2601,2017-07-01,318135,1.2902,-0.0544101689660518,0.025362968819600054,-0.07977313778565186
161,1.2902,1.34,1.22,1.26,2017-06-01,414719,1.25,0.03216000000000001,0.016230457454429463,0.015929542545570545
160,1.25,1.34,1.1041,1.3,2017-05-01,806696,1.33,-0.060150375939849676,0.003253979965149037,-0.06340435590499871
159,1.33,1.38,1.16,1.31,2017-04-01,568747,1.28,0.039062500000000035,0.013419496090154255,0.02564300390984578
158,1.28,1.5,1.25,1.4684,2017-03-01,777848,1.46,-0.12328767123287668,-0.007160209568984425,-0.11612746166389225
157,1.46,1.559,1.303,1.31,2017-02-01,686535,1.32,0.10606060606060598,0.04773186186731944,0.05832874419328654
156,1.32,1.55,1.18,1.53,2017-01-01,750460,1.53,-0.1372549019607843,0.005135457885096172,-0.14239035984588047
155,1.53,1.679,1.3,1.36,2016-12-01,1014509,1.36,0.12499999999999994,0.033415291488309025,0.09158470851169093
154,1.36,1.5,1.23,1.45,2016-11-01,387501,1.49,-0.08724832214765094,0.054080988093099136,-0.14132931024075007
153,1.49,1.5,1.33,1.38,2016-10-01,152359,1.38,0.07971014492753631,-0.00905225268527968,0.08876239761281599
152,1.38,1.47,1.3,1.4346,2016-09-01,257119,1.44,-0.041666666666666706,-0.005039432896687525,-0.03662723376997918
151,1.44,1.7,1.33,1.68,2016-08-01,630304,1.68,-0.14285714285714285,-0.0017013667356762163,-0.14115577612146663
150,1.68,1.85,1.48,1.54,2016-07-01,521005,1.51,0.11258278145695359,0.028011727836992656,0.08457105361996094
149,1.51,1.57,1.42,1.559,2016-06-01,228502,1.53,-0.013071895424836612,0.008027682828101155,-0.02109957825293777
148,1.53,1.68,1.33,1.63,2016-05-01,398082,1.63,-0.061349693251533666,0.0007629275713923152,-0.06211262082292598
147,1.63,1.67,1.4899,1.5141,2016-04-01,433888,1.5,0.0866666666666666,0.00500704265570598,0.08165962401096062
146,1.5,1.52,1.23,1.31,2016-03-01,509887,1.28,0.17187499999999997,0.07075288348015622,0.10112211651984375
145,1.28,1.39,1.2,1.21,2016-02-01,272194,1.29,-0.007751937984496131,0.0030486508808901048,-0.010800588865386235
144,1.29,1.52,1.14,1.514,2016-01-01,342246,1.55,-0.16774193548387098,-0.05502027830081209,-0.11272165718305889
143,1.55,1.69,1.2801,1.4,2015-12-01,613821,1.45,0.06896551724137938,-0.016641722987462665,0.08560724022884204
142,1.45,1.5,1.35,1.42,2015-11-01,222707,1.42,0.021126760563380302,0.003191885658254086,0.017934874905126217
