code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
MLNT,"Melinta Therapeutics, Inc.",0.865,1.46,7145322,16.032512,0.0,0.348652,-3.780594
TISA,Top Image Systems,0.822,0.83,3016763,75.293335,0.0,1.318526,-0.328832
MXWL,Maxwell Technologies,4.65,4.59,18921930,79.150126,0.0,1.98403,-1.008233
MARA,Marathon Patent Group Inc.,0.336,0.47,1369952,7.34565,0.0,1.878221,-1.57898
DXYN,迪克希,0.9,1.16,312772,31.25782,0.0,0.249635,-1.091382
PTX,Pernix Therapeutics Holdings,0.4641,0.6,954324,5.128833,0.0,-0.042499,-6.260195
PHII,PHI Inc,4.8,5.94,149178,4.43652,0.0,0.16275,-0.397083
STON,StoneMor Partners L.P.,2.65,3.38,191853,4.030068,0.0,2.277411,-1.960419
QUIK,快辑半导体,0.8574,1.1,1990346,25.432221,0.0,5.355743,-0.165431
ALRN,Aileron Therapeutics Inc,1.42,1.73,628181,5.281379,0.0,0.980172,-2.127044
SN,Sanchez Energy,0.3339,0.3908,5989164,2.674587,0.0,-0.059555,-2.172826
HZN,Horizon Global Corp,2.16,2.62,418757,1.465047,0.0,-4.23113,-7.119913
NSSC,NAPCO Security Technologies,16.0,18.54,222584,8.151409,42.112435,5.405478,0.44025
APDN,Applied DNA Sciences Inc,0.41,0.4892,1958636,3.627964,0.0,23.414113,-0.396402
ULTI,The Ultimate Software Group,332.5,332.54,3649697,16.756595,208.18022,12.865308,1.597366
CLDX,塞德斯医疗,0.5901,0.6907,17272067,2.466461,0.0,0.929667,-0.989764
JVA,Coffee Holding Co,6.29,7.29,1057207,1.854729,39.166384,1.631739,0.186129
EYEN,Eyenovia Inc.,3.3,3.9,467996,0.343667,0.0,2.327887,-1.75111
CUO,Continental Materials Corp,19.3889,22.45,29296,5.052428,0.0,0.77291,-2.916445
WFT,Weatherford International Ltd,0.8341,0.9079,54157935,1.797951,0.0,-0.58515,-2.66108
TRPX,Therapix Biosciences Ltd.,3.9,4.5,305876,7.942809,0.0,4.358106,-2.122538
CNST,Constellation Pharmaceuticals Inc,7.71,8.78,129543,5.107035,0.0,1.847141,-9.924155
INSY,INSYS Therapeutics Inc.,3.42,3.97,2181608,1.757792,0.0,2136.598219,-1.712789
PHIIK,PHI Inc,3.93,4.28,2337883,5.115588,0.0,0.117268,-0.397083
AMPE,安皮奥制药,0.54,0.6063,1380234,2.922912,0.0,28.925249,-0.124989
AMTX,Aemetis Inc,1.12,1.15,392100,10.299232,0.0,-0.234183,-1.489061
GERN,杰龙,1.23,1.38,8006696,2.14163,0.0,1.401671,-0.164326
PYX,Pyxus International,15.37,17.06,2743694,1.62203,5.418071,0.728262,3.148722
UEPS,Net 1 UEPS Technologies,2.9,3.32,1946438,1.510811,13.000591,0.298137,0.255373
KEG,克罗公司,1.91,2.19,394628,1.536673,0.0,0.6607,-4.359667
EDGE,Edge Therapeutics,0.44,0.504,1673963,5.810657,0.0,0.509584,-1.655328
BLRX,BioLineRx Ltd,0.85,0.7341,8601688,40.831276,0.0,2.108166,-0.231787
DBD,迪堡金融设备,4.39,4.98,1912753,1.983586,0.0,-51.229574,-6.977524
ARVN,Arvinas Holding Company LLC,19.7,20.49,279915,4.648623,0.0,-2.377226,-37.618114
MLSS,"Milestone Scientific, Inc.",0.3706,0.4,89505,0.131792,0.0,14.776856,-0.280044
AVDL,Avadel Pharmaceuticals plc,2.8,3.16,164322,2.500289,0.0,1.779045,-1.04817
MOXC,魔线,0.53,0.6,61767,0.716184,0.0,-3.892897,-0.127609
EPE,EP Energy Corporation,0.715,0.7875,568507,0.795461,0.0,0.638229,-0.632218
APHA,Aphria Inc.,10.1,10.84,29811415,2.57819,0.0,0.0,0.0
