code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps,Name,LastSale,MarketCap,year,Sector,industry,Summary Quote,Unnamed: 8
ACHV,"Achieve Life Sciences, Inc.",2.78,3.3,68888098.0,4.971685,0.0,1.565916,-5.994757,"Achieve Life Sciences, Inc. ",3.3,$22.18M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,
CIFS,圣盈信,0.93,1.28,2919040.0,4.421656,1.239251,0.367464,1.032882,China Internet Nationwide Financial Services Inc.,1.28,$28.31M,2017.0,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/cifs,
BOOM,Dynamic Materials Corporation,41.0,48.72,1048089.0,3.369478,54.717842,6.079714,0.890386,DMC Global Inc.,48.72,$725.86M,,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/boom,
TTD,Trade Desk Inc.,175.0,197.73,7971424.0,2.229365,136.507301,25.37065,1.448494,"The Trade Desk, Inc.",197.73,$8.55B,2016.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ttd,
W,Wayfair,141.54,149.95,12382069.0,2.855078,0.0,-43.38907,-4.87445,Wayfair Inc.,149.95,$13.55B,2014.0,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/w,
Z,Zillow,37.97,44.28,22934765.0,2.789527,0.0,2.711573,-0.512716,"Zillow Group, Inc.",44.28,$9B,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/z,
AGF,DB Agriculture Long ETN,9.98,9.98,1001.0,1.460887,0.0,0.0,0.0,,,,,,,,
ROKU,Roku Inc,55.09,64.47,48339433.0,2.47627,0.0,31.719712,-0.085373,"Roku, Inc.",64.47,$7.04B,2017.0,Consumer Services,Television Services,https://www.nasdaq.com/symbol/roku,
ZG,Zillow Class A,37.99,43.71,4987222.0,2.689446,0.0,2.676668,-0.512716,"Zillow Group, Inc.",43.71,$8.88B,2011.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/zg,
ZOM,Zomedica Pharmaceuticals Corp.,0.7,0.8695,106208.0,1.74136,0.0,0.0,0.0,Zomedica Pharmaceuticals Corp.,0.8695,$87.93M,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zom,
ESTR,"Estre Ambiental, Inc.",2.07,2.1,7271.0,1.184048,0.0,-0.17379,-1.015209,"Estre Ambiental, Inc.",2.1,$107.49M,,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/estr,
OLED,Universal Display Corporation,129.95,145.77,5088978.0,2.845178,95.932744,10.164122,1.519502,Universal Display Corporation,145.77,$6.87B,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/oled,
VYGR,Voyager Therapeutics Inc,12.9,13.12,1670357.0,3.661944,0.0,6.512566,-2.477968,"Voyager Therapeutics, Inc.",13.12,$427.15M,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vygr,
LQDA,Liquidia Technologies Inc,15.83,19.3,73604.0,2.168267,0.0,10.724293,-10.48093,"Liquidia Technologies, Inc.",19.3,$298.73M,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/lqda,
IQ,爱奇艺,23.52,27.7,42748613.0,2.639335,0.0,6.277696,0.0,"iQIYI, Inc.",27.7,$140.32B,2018.0,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/iq,
APDN,Applied DNA Sciences Inc,0.57,0.69,843657.0,2.502242,0.0,32.753435,-0.388901,Applied DNA Sciences Inc,0.69,$25.09M,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdn,
CATM,Cardtronics,28.99,31.25,2234510.0,2.579143,56.344985,3.498652,0.554619,Cardtronics plc,31.25,$1.44B,2007.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/catm,
