,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,YI,"111, Inc.",8.04,$655.61M,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
1,PIH,"1347 Property Insurance Holdings, Inc.",4.5728,$27.4M,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
2,PIHPP,"1347 Property Insurance Holdings, Inc.",23.4799,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
3,TURN,180 Degree Capital Corp.,1.921,$59.78M,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
4,FLWS,"1-800 FLOWERS.COM, Inc.",17.68,$1.13B,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
5,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.6,$30.72M,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
6,FCCY,1st Constitution Bancorp (NJ),18.5,$159.21M,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
7,SRCE,1st Source Corporation,47.65,$1.23B,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
8,VNET,"21Vianet Group, Inc.",9.41,$1.05B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
9,TWOU,"2U, Inc.",70.08,$4.06B,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
10,QFIN,"360 Finance, Inc.",16.12,$2.32B,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
11,TPNL,"3PEA International, Inc.",7.5,$348M,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,
12,JOBS,"51job, Inc.",71.62,$4.42B,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
13,EGHT,8x8 Inc,20.08,$1.92B,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
14,AAON,"AAON, Inc.",42.18,$2.2B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
15,ABEO,Abeona Therapeutics Inc.,6.47,$310.2M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
16,ABEOW,Abeona Therapeutics Inc.,3.35,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
17,ABIL,Ability Inc.,1.88,$6.89M,2014.0,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
18,ABMD,"ABIOMED, Inc.",352.6,$15.9B,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
19,AXAS,Abraxas Petroleum Corporation,1.39,$231.58M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
20,ACIU,AC Immune SA,4.35,$293.03M,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
21,ACIA,"Acacia Communications, Inc.",55.45,$2.24B,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
22,ACTG,Acacia Research Corporation,3.2,$158.85M,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,
23,ACHC,"Acadia Healthcare Company, Inc.",27.7,$2.44B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,
24,ACAD,ACADIA Pharmaceuticals Inc.,22.93,$2.87B,1985.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
25,ACAMU,Acamar Partners Acquisition Corp.,10.0,,,,,https://www.nasdaq.com/symbol/acamu,
26,ACST,"Acasti Pharma, Inc.",1.01,$78.91M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
27,AXDX,"Accelerate Diagnostics, Inc.",21.8,$1.18B,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,
