2018-12-02_code,2018-12-02_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-03_code,2019-02-03_days,2019-02-05_code,2019-02-05_days,2019-02-26_code,2019-02-26_days
AAT,1.0,AAT,4.0,ATNI,4.0,AMRH,0.0,AAN,0.0,A,2
ACAD,4.0,ATNI,3.0,CLX,3.0,ANGL,0.0,ACBI,0.0,ABR,2
ATNI,0.0,BXMT,4.0,CMF,2.0,ATU,0.0,ACHN,0.0,ACBI,3
BDSI,2.0,CHEF,3.0,CWT,4.0,BAB,4.0,AMRH,1.0,ACWI,2
BXMT,1.0,CLX,1.0,IEF,2.0,BBOX,1.0,AMTX,1.0,ADMP,2
CHEF,0.0,CMF,0.0,IEI,2.0,BGIO,0.0,ANGL,1.0,ADTN,2
COLB,0.0,COLB,3.0,ITE,2.0,BOND,1.0,ASB,0.0,ADVM,0
CREE,0.0,CREE,3.0,ITM,2.0,BSCL,0.0,ATU,1.0,ADXS,2
CYOU,0.0,CWT,2.0,KMB,3.0,BSJL,0.0,AUDC,0.0,AEE,1
DORM,0.0,CYOU,3.0,SAND,2.0,CBD,1.0,AZPN,0.0,AEP,1
EHTH,0.0,DORM,3.0,SCHR,2.0,CBND,0.0,BBY,0.0,AGO,2
FCE.A,0.0,EHTH,3.0,SUB,0.0,CEFL,0.0,BGIO,1.0,AI,2
FRED,4.0,FCE.A,3.0,UST,2.0,CHI,0.0,BOND,2.0,ALEX,0
GGG,0.0,GGG,3.0,VGIT,2.0,CHKR,0.0,BSCL,1.0,ALGN,2
GIL,1.0,GIL,4.0,,,CIG,1.0,BSJL,1.0,ALIM,0
HCCI,0.0,HCCI,3.0,,,CYH,0.0,CBD,2.0,ALXN,2
HCP,1.0,HCP,4.0,,,DHF,0.0,CEFL,1.0,AMED,2
HE,0.0,HE,3.0,,,DIV,0.0,CHI,1.0,AMP,2
IBN,0.0,IBN,3.0,,,EFT,0.0,CHKR,1.0,AMRH,4
LOPE,4.0,IEF,0.0,,,EHI,0.0,CIG,2.0,AMTX,4
O,0.0,IEI,0.0,,,EIM,1.0,CIVI,3.0,ANGL,4
OMCL,0.0,ITE,0.0,,,ERC,0.0,CMG,0.0,AOD,2
PETX,1.0,ITM,0.0,,,ESIO,4.0,COHR,0.0,APPF,2
PIR,3.0,KMB,1.0,,,GAB,0.0,CVRS,0.0,APTV,2
PKG,0.0,O,3.0,,,GFI,1.0,CVTI,0.0,ARD,0
WABC,0.0,OMCL,3.0,,,GIS,0.0,CYH,1.0,ARDC,2
WELL,0.0,PETX,4.0,,,GLAD,0.0,DHF,1.0,ARRS,1
,,PKG,3.0,,,HCHC,0.0,DIV,1.0,ASB,3
,,SAND,0.0,,,HCKT,0.0,EFT,1.0,ASGN,2
,,SCHR,0.0,,,IIM,1.0,EGIF,1.0,ASHR,2
,,UST,0.0,,,INUV,0.0,EHC,0.0,ASIX,2
,,VGIT,0.0,,,JTA,0.0,EHI,1.0,ATAX,2
,,WABC,3.0,,,KEP,4.0,EIGR,0.0,ATU,4
,,WELL,3.0,,,KGC,4.0,EIM,2.0,AUDC,3
,,,,,,KL,1.0,ENTA,0.0,AVD,2
,,,,,,KREF,0.0,ERC,1.0,AVGR,0
,,,,,,MBRX,0.0,ETO,1.0,AVY,2
,,,,,,MCFT,0.0,EWBC,0.0,AWP,2
,,,,,,MERC,0.0,FBNC,0.0,AXSM,2
,,,,,,MYN,0.0,FDEF,0.0,AXU,0
,,,,,,NAVG,0.0,FHB,0.0,AZPN,3
,,,,,,NTC,0.0,FINX,0.0,BABA,1
,,,,,,NXTD,0.0,FSLR,0.0,BB,2
,,,,,,PCEF,0.0,FTXO,0.0,BBD,2
,,,,,,PER,0.0,GAB,1.0,BBY,3
,,,,,,PGLC,2.0,GD,0.0,BDSI,2
,,,,,,PKE,0.0,GEMP,0.0,BDX,2
,,,,,,PMF,0.0,GFI,2.0,BEP,3
,,,,,,PPC,0.0,GIS,1.0,BGIO,4
,,,,,,RLGT,0.0,GLAD,1.0,BGT,2
,,,,,,RMBL,0.0,GSKY,0.0,BIZD,2
,,,,,,SAFM,0.0,HAFC,0.0,BL,2
,,,,,,SDPI,0.0,HALO,0.0,BLDR,2
,,,,,,SHM,0.0,HCHC,1.0,BMO,2
,,,,,,SRAX,0.0,HCKT,1.0,BNS,2
,,,,,,SUB,1.0,HOPE,0.0,BOTZ,2
,,,,,,TELL,0.0,HRC,0.0,BRKS,2
,,,,,,TRCO,0.0,HTBK,0.0,BSCL,4
,,,,,,VHI,0.0,IAT,0.0,BSJL,4
,,,,,,ZAYO,0.0,IBKC,0.0,BSJO,2
,,,,,,,,IIM,2.0,BST,2
,,,,,,,,INB,1.0,BUD,2
