code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
INTG,36,The Intergroup Corporation,20.769822,-1.912841,1.733284,7836000,8.1758,18681000,0.0924,779000,5.5824,17972000,0.0444,-2507000,-0.2479,16812000,0.0225,-295000,-1.185,18114000,-0.0077,754,-0.02195366,0.066493021,-0.787833333,1.989666667,35.0255,0.003229076,34.9124,34.6208,1.438237082,13369.66667,5483.333333,-0.004568375,0.070202481,14
EDRY,7.5,EuroDry Ltd.,12.566061,0.412556,0.60361,466600,265%,6115600,29%,-670400,-24%,5368200,33%,0,0,0,0,0,0,0,0,19,15%,3%,1.159833333,0.199933333,9.99,0%,9.99,8.95,3214%,764786,23080.66667,12%,-1%,0
VTNR,1.55,Vertex Energy Inc.,0,2.110287,-0.233596,2661800,2.4658,46917800,0.271,-2208100,0.3073,41368200,0.1897,-185000,0.9225,41345200,0.3313,-2949400,-36.9478,32470500,0.1408,295,0.030028641,0.085606855,0.046666667,0.106666667,9.95,82%,1.75,1.74,1.254614753,3235940.333,1435252,0.037254649,0.083706357,5
PTSI,61.62,P.A.M. Transportation Services,9.287657,3.012368,6.943624,7289000,3.5301,113000000,0.2125,1387000,-0.3925,99104000,0.0588,31561000,42.6528,93366000,-0.0093,3446000,-0.0014,93457000,-0.0257,754,0.024315639,-0.027343821,1.276666667,-1.676666667,65.09,0.038869258,62.56,63.46666667,1.246502706,96032,42747.33333,0.0285207,-0.03136303,14
IIN,65.4,IntriCon Corporation,110.252491,22.077234,0.603161,2008000,5.4153,30160000,0.339,757000,2.1557,25363000,0.1955,505000,1.2715,22227000,0.2524,917000,1.6848,24034000,0.5436,562,0.001486471,-0.062004169,-0.526666667,-4.4,73.9,0.280649526,53.16,58.68666667,-0.080996009,1766095,1921749,-0.004868129,-0.060132385,10
UEPS,7.35,Net 1 UEPS Technologies,11.114738,0.672033,0.689175,5253000,-0.5292,149000000,-0.0378,3311000,-0.8259,163000000,0.0999,9979000,-0.4811,148000000,-0.0199,19727000,-0.2186,153000000,-0.0198,754,0.060795655,-0.098416896,0.38,-0.816666667,60.8988,0.874381761,7.65,7.766666667,-0.385406429,1994364.333,3245013.333,0.060722172,-0.100154319,14
KRNT,20.05,Kornit Digital Ltd.,385.756146,4.615544,0.054957,1774000,7.2512,35876000,0.2549,565000,1.3253,31120000,0.1483,-369000,-1.45,29950000,-0.0637,-124000,-1.3435,28447000,-0.08,184,-7.13E-05,0.038765369,-0.036666667,0.683333333,22,7%,20.49,21.28,-0.397754488,1191682.667,1978732.333,-0.00025813,0.029123194,3
HIIQ,55,Health Insurance Innovations In,47.588143,7.641205,1.192524,4026000,-0.4209,71724000,0.1609,5985000,-0.2977,67750000,0.2127,5015000,2.5342,69490000,0.3513,6002000,0.1691,63335000,0.3736,296,0.018982483,-0.022170774,0.796666667,-1.283333333,61.65,8%,56.93,58.66,0.4440759,2462736.667,1705406.667,0.023366074,-0.020991974,5
OXBR,2.05,Oxbridge Re Holdings Ltd,0,0.858138,-3.942687,265000,-0.7625,0,0,-211000,-1.1661,0,0,-24000,0.9897,0,0,-22954000,-8.6898,0,0,231,-0.095261133,0.014344449,-0.178333333,0.025233333,7.85,82%,1.42,1.74,0.411768766,150004.6667,106253,-0.098379463,0.013738709,4
LASR,27.66,nLIGHT,0,5.487976,-5.165334,4653000,17.2125,51705000,0.4916,2916000,3.404,42467000,0.4209,0,0,0,0,0,0,0,0,24,-0.095273324,-0.030382781,-2.31,-0.856666667,40.84,53%,19.28,22.57666667,-0.025654314,2402171.667,2465420.333,-0.09667388,-0.04822376,0
