code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
CORI,"Corium International, Inc.",12.53,12.7,27677592,4.665077,0.0,18.495031,-1.546149
EARS,Auris Medical Holding AG,0.7775,0.98,35444332,1.851978,0.0,-6.665776,-3.126533
YGYI,"Youngevity International, Inc.",10.3,13.3,6430576,2.015694,0.0,18.115236,-0.548478
YVR,Leading Brands Inc,0.65,0.8401,798481,2.122165,0.0,-46.020704,-0.199031
IMMY,Imprimis Pharmaceuticals Inc.,2.26,2.95,448009,3.102521,0.0,16.683469,-0.45604
AQMS,"Aqua Metals, Inc.",2.45,2.92,1368535,2.835844,0.0,1.578125,-1.234358
AMDA,Amedica Corp,0.25,0.31,3301860,2.664927,0.0,0.325375,-5.035529
SBFGP,"SB Financial Group, Inc.",22.77,25.05,607,1.392202,20.04,0.0,1.25
AGRX,"Agile Therapeutics, Inc.",0.6,0.74,7725235,0.428997,0.0,0.969003,-0.750534
IOVA,"Iovance Biotherapeutics, Inc.",11.23,11.93,10704991,3.597601,0.0,4.214969,-1.358864
LIFE,Life Technologies Corporation,0.66,0.73,506904,1.380327,0.0,0.480354,-1.500937
RIOT,"Riot Blockchain, Inc.",2.22,2.57,4990718,3.427748,0.0,2.15137,-5.201001
SHLD,西尔斯,0.3584,0.407,8865912,1.286771,0.0,-0.010077,-12.129591
NXTD,Nxt-ID Inc.,1.24,1.45,962692,1.929628,0.0,1.972817,-0.533817
CIFS,圣盈信,3.36,3.58,2600806,2.796811,3.411148,1.027751,1.0495
AKER,Akers Biosciences Inc,0.36,0.3538,6040419,1.52524,0.0,0.797958,-0.41
REPL,Replimune Group Inc.,11.29,13.01,99547,1.108366,0.0,-10.607852,-5.259559
CLDC,中国贷款公司,1.05,1.19,2297067,0.404268,0.0,4.76627,-6.524339
GTXI,GTx,1.6,1.72,2252386,0.899303,0.0,1.03815,-2.002764
HEAR,Parametric Sound Corp.,18.75,20.61,3716681,1.746605,11.815798,57.164495,1.744275
QTNT,Quotient,6.05,6.74,500013,1.34106,0.0,-10.105071,-2.015526
GGAL,加利西亚金融,22.18,24.61,1952740,1.462015,7.434102,0.054122,3.31042
SRRA,Sierra Oncology Inc,1.54,1.71,467177,0.772473,0.0,1.053688,-0.737886
NCTY,第九城市,1.23,1.37,38759,0.730541,0.0,-0.46038,-2.417868
TA,TravelCenters of America,4.75,5.0,382956,1.571856,0.0,0.378821,-0.048497
HAIR,Restoration Robotics Inc,1.81,1.98,63686,0.370413,0.581806,128.511834,3.403199
LYL,龙运国际,1.9075,2.04,10081,0.39255,113.7758,2.104322,0.01793
TLRY,Tilray Inc.,140.0,148.3,4259088,1.107963,0.0,392.054648,-0.302787
AEHR,Aehr Test Systems,1.91,2.09,129197,1.381361,0.0,2.56311,-0.044444
SSRM,SSR Mining Inc,10.12,10.58,2531997,2.243027,0.0,1.304985,0.0
HSGX,Histogenics Corporation,0.5912,0.5627,7728524,1.467756,0.0,-1.32984,-1.128445
ASTC,Astrotech Corporation,2.94,3.19,282350,0.452533,0.0,3.272605,-3.262989
GLBS,Globus Maritime Limited,0.3995,0.42501,1073079,2.60098,0.0,0.323513,-0.141188
DOCU,Docusign,42.09,44.64,3386357,1.207239,0.0,9.415222,-8.289473
EPIX,ESSA Pharma Inc.,3.2,3.6279,926,0.110454,0.0,-24.698393,-0.24
ARDM,Aradigm Corporation,1.26,1.38,147547,2.713698,0.0,-1.04249,-1.11132
CDTI,Clean Diesel Technologies,1.402,1.5,143885,1.278728,0.0,2.665163,-0.255454
GRVY,GRAVITY Co,16.78,17.6253,9636,0.597537,7.328327,2.417002,2.405092
MGTA,Magenta Therapeutics Inc.,9.26,9.98,165155,1.547929,0.0,1.905926,-14.283933
CHCI,康斯托克住宅建筑,2.17,2.39,114381,2.890614,0.0,-0.695681,-1.891252
MMYT,MakeMyTrip Limited,22.8,24.32,750392,1.193571,0.0,1.697324,-1.974083
LCAHU,"Landcadia Holdings, Inc.",16.5,16.5,425,1.513533,1064.516146,0.509638,0.0155
PULM,"Pulmatrix, Inc.",0.36,0.3629,340060,1.098656,0.0,1.013805,-0.811291
CTRP,携程网,36.05,38.65,13481425,1.556907,26.104688,1.635147,1.480577
VERU,Veru Inc.,1.33,1.44,295334,2.451531,0.0,2.219411,-0.420743
OPTN,Optinose Inc.,10.15,10.99,476989,1.645173,0.0,2.756705,-1.052147
MIME,Mimecast Ltd,32.87,35.15,854378,0.903193,0.0,15.39915,-0.241181
ATXI,Avenue Therapeutics Inc.,3.3,3.69,929519,2.027132,0.0,7.762769,-2.415186
SOHU,搜狐,17.97,18.72,1132223,1.38082,0.0,1.181776,-13.852162
PRVB,"Provention Bio, Inc",3.09,3.44,78263,1.777921,0.0,-7.527796,-2.135024
UBX,Unity Biotechnology,11.74,12.56,152102,1.12081,0.0,2.724539,-12.895898
APPN,Appian Corp,25.74,25.51,831078,1.096427,0.0,50.45575,-0.522379
BCACU,Bison Capital Acquisition Corp,12.03,11.94,2370,0.587157,0.0,1.266917,0.0
CRON,Cronos Group Inc.,9.39,9.86,8508794,0.954358,0.0,0.0,0.0
BZUN,宝尊电商,39.05,40.18,3099984,1.250239,64.394432,8.288588,0.623967
DZSI,"DASAN Zhone Solutions, Inc.",12.89,14.04,79741,1.857042,32.186923,3.140549,0.436202
CYAD,Celyad SA,23.92,24.13,8222,0.716327,0.0,2.572823,-3.68
SPHS,Sophiris Bio Inc,2.3,2.47,369067,1.393934,0.0,9.722163,-0.286539
DOGZ,多尼斯,2.13,2.26,14676,0.667073,5.829294,0.963044,0.387697
ABAC,奥信天力,1.7721,1.9,9237,0.880872,19.041892,0.212864,0.09978
FLDM,Fluidigm Corporation,7.45,7.86,255400,1.655511,0.0,8.837176,-1.42746
TQQQ,纳指三倍做多ETF,57.78,58.03,21060997,0.982555,0.0,0.0,0.0
NDRA,ENDRA Life Sciences Inc,2.42,2.44,58393,0.586612,0.0,4.932329,-1.528459
CKPT,"Checkpoint Therapeutics, Inc.",2.8,2.99,17385,0.437764,0.0,4.304273,-1.102909
RELV,Reliv’ International,4.81,4.97,813,0.224797,0.0,0.719676,-1.039185
ALQA,Alliqua BioMedical Inc,2.43,2.24,79753,3.800803,0.0,1.091266,-4.259868
MNOV,美第奇新星生物技术,10.6,11.12,133010,0.864368,0.0,6.160895,-0.341601
SGH,Smart Global Holdings Inc.,31.06,32.72,1233322,0.811123,6.039601,3.900548,5.417577
MNGA,MagneGas Corporation,0.3098,0.2877,19144218,0.563746,0.0,0.796229,-13.622472
KALV,Kalvista Pharmaceuticals Inc,17.18,18.76,75063,0.621124,0.0,12.27775,-1.489614
ASV,"ASV Holdings, Inc.",4.64,4.93,1851,0.302887,0.0,0.734505,-0.038033
KZIA,Kazia Therapeutics Limited,3.18,3.15,3276,0.702552,0.0,1.052643,-0.92336
CTHR,诗思（香港）,0.8442,0.94,44101,1.725162,0.0,0.600329,-0.119199
BILI,哔哩哔哩,13.37,13.71,4143761,1.206227,0.0,5.318207,-1.652897
RDHL,Redhill Biopharma Ltd,7.49,7.99,141801,1.194737,0.0,5.261075,-2.4185
SELB,Selecta Biosciences Inc,13.7,14.23,196196,1.037452,0.0,13.135672,-3.082024
MOXC,魔线,0.68,0.7012,11908,0.517681,0.0,-6.197635,-0.126877
ACIU,AC Immune SA,8.1,8.64,169618,0.640971,0.0,6.118913,-0.490564
FTSV,Forty Seven Inc.,13.84,14.87,46160,0.624831,0.0,-4.802715,-8.304983
AIRT,Air T,38.92,42.5,13269,0.988571,20.989613,3.104448,2.024811
RYTM,Rhythm Pharmaceuticals Inc.,24.93,26.33,188962,1.30275,0.0,3.164888,-2.427725
ROKU,Roku Inc,59.44,60.41,14209240,1.439502,22.652957,30.260904,2.66676
TOPS,TOP Ships Inc,0.99,1.0363,508718,1.279551,0.0,0.190135,-12.605077
ICON,艾康尼斯,0.23,0.2316,1696101,1.503474,0.0,-0.133676,-10.1318
VTGN,"VistaGen Therapeutics, Inc.",1.97,1.99,1075245,1.345375,0.0,15.965775,-1.038462
AWSM,Cool Holdings Inc,7.15,7.3,261741,1.237526,0.0,18.029135,-6.86546
NTNX,Nutanix Inc.,40.25,41.46,3269941,0.76854,0.0,21.935244,-1.810949
FLL,Full House Resorts Inc,2.74,2.9,56598,1.194111,0.0,1.325042,-0.335975
TROV,TrovaGene,0.83,0.8656,1281101,0.621494,0.0,0.876084,-3.548187
RUN,Sunrun Inc.,11.8,12.22,1459371,1.000826,9.854433,1.414118,1.240051
YY,欢聚时代,70.41,73.02,1409328,1.092858,16.724867,1.923552,4.365954
