code,name,open,latestPrice,pe,pb,eps
ALT,"Altimmune, Inc.",4.67,7.24,0.0,0.347582,-3.670167
GTXI,GTx,2.46,1.91,0.0,1.152829,-2.002764
RLM,Realm Therapeutics plc,2.95,2.79,0.0,0.0,0.0
AMMA,Alliance Mma Inc.,0.2992,0.376,0.0,-3.033943,-1.481209
VTVT,vTv Therapeutics Inc.,3.94,3.35,0.0,-0.737988,-1.431307
SGH,Smart Global Holdings Inc.,32.37,34.15,9.974793,4.071018,3.42363
INPX,Inpixon,0.3344,0.3736,0.015447,6.278165,24.186378
LYL,龙运国际,2.18,2.5582,142.677084,2.63886,0.01793
TROV,TrovaGene,0.82,0.9799,0.0,0.991768,-3.548187
CMCT,CIM Commerical Trust Corporation,14.69,16.97,8.958875,1.921845,1.894211
DNJR,点牛金融,7.8,8.75,10.564073,9.065835,0.828279
MHLD,Maiden Holdings,2.88,3.29,0.0,0.426913,-2.208473
YI,111集团,10.69,12.12,0.0,0.0,0.0
YMAB,"Y-mAbs Therapeutics, Inc.",23.85,26.26,0.0,0.0,0.0
CHEF,The Chefs’ Warehouse,37.13,38.31,52.237728,4.483508,0.733378
AUTL,Autolus Therapeutics PLC,26.295,27.5,0.0,8.392114,-2.367136
ICLK,爱点击,3.61,4.0,0.0,1.641138,-0.286813
BLPH,"Bellerophon Therapeutics, Inc.",1.11,1.2,0.0,-8.92069,-0.819456
CELGZ,Celgene Corporation,1.35,1.49,0.776042,0.0,1.92
FLGT,Fulgent Genetics Inc.,3.75,4.09,0.0,1.402176,-0.318669
EDGE,Edge Therapeutics,0.99,1.09,0.0,1.024138,-1.887552
WWR,Westwater Resources Inc,0.209,0.22,0.0,0.410626,-1.392746
EIDX,Eidos Therapeutics Inc.,9.31,10.2,0.0,2.158846,-7.37425
SGLB,"Sigma Labs, Inc",1.16,1.281,0.0,2.559859,-1.051323
ANY,Sphere 3D Corp,0.3071,0.3609,0.0,1.075731,-2.26892
QTT,趣头条,6.75,7.3,0.0,0.0,0.0
AMRS,阿米瑞斯,7.77,8.41,0.0,-2.113058,-2.294111
FRGI,Fiesta Restaurant Group,27.04,28.05,0.0,3.066934,-0.205137
MTFB,Motif Bio plc,9.01,9.01,0.0,15.980321,-4.6
