code,name,open,latestPrice,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
YGYI,"Youngevity International, Inc.",7.8,10.16,0.0,13.838405999999999,-0.548478,-614000.0_77.51%_44255000.0_6.57%,-2308000.0_-12.09%_42994000.0_11.00%,"-6820000.0_-1,245.17%_41041000.0_6.87%","-1068000.0_-1,694.03%_44395000.0_1.91%",-614000.0,77.51%,44255000.0,6.57%,-2308000.0,-12.09%,42994000.0,11.00%,-6820000.0,"-1,245.17%",41041000.0,6.87%,-1068000.0,"-1,694.03%",44395000.0,1.91%
OHGI,One Horizon Group Inc.,0.2613,0.39,0.0,1.479156,-0.24052300000000001,-3528000.0_-99.32%_294000.0_167.27%,"-2694000.0_-109.81%_274000.0_3,814.29%","-3608000.0_-163.36%_200000.0_1,566.67%","-772000.0_48.29%_397000.0_39,600.00%",-3528000.0,-99.32%,294000.0,167.27%,-2694000.0,-109.81%,274000.0,"3,814.29%",-3608000.0,-163.36%,200000.0,"1,566.67%",-772000.0,48.29%,397000.0,"39,600.00%"
AGRX,"Agile Therapeutics, Inc.",0.9166,0.71,0.0,0.9297190000000001,-0.750534,-5344000.0_28.23%_0_0,-6833000.0_9.09%_0_0,-6240000.0_-19.98%_0_0,-7102000.0_9.00%_0_0,-5344000.0,28.23%,0,0,-6833000.0,9.09%,0,0,-6240000.0,-19.98%,0,0,-7102000.0,9.00%,0,0
OHRP,Ohr Pharmaceutical Inc.,0.24,0.3057,0.0,1.004557,-0.16003900000000001,-545000.0_86.03%_0_0,-2184800.0_71.59%_0_0,-4151400.0_40.49%_0_0,-5244400.000000001_20.97%_0_0,-545000.0,86.03%,0,0,-2184800.0,71.59%,0,0,-4151400.0,40.49%,0,0,-5244400.000000001,20.97%,0,0
EPIX,ESSA Pharma Inc.,3.16,4.0172,0.0,-27.348709999999997,-0.24,0_0_0_0,0_0_0_0,0_0_0_0,-1945300.0_54.09%_0_0,0,0,0,0,0,0,0,0,0,0,0,0,-1945300.0,54.09%,0,0
OASM,Oasmia Pharmaceutical AB,4.07,4.6632,0.0,3.753854,-0.46,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LQDA,Liquidia Technologies Inc,30.81,37.18,0.0,-44.030765,-72.871613,-6268900.0_24.39%_1042900.0000000001_-47.38%,-27508200.0_-179.65%_926000.0_-43.51%,0_0_0_0,0_0_0_0,-6268900.0,24.39%,1042900.0000000001,-47.38%,-27508200.0,-179.65%,926000.0,-43.51%,0,0,0,0,0,0,0,0
AMTX,Aemetis Inc,1.56,1.61,0.0,-0.34636300000000003,-1.5712059999999999,-6222000.0_-3.93%_45028000.0_10.46%,-11105000.0_-30.23%_43018000.0_36.25%,-9039000.0_-525.54%_38884000.0_3.98%,-8217000.0_-100.66%_38935000.0_-1.12%,-6222000.0,-3.93%,45028000.0,10.46%,-11105000.0,-30.23%,43018000.0,36.25%,-9039000.0,-525.54%,38884000.0,3.98%,-8217000.0,-100.66%,38935000.0,-1.12%
DOGZ,多尼斯,1.8143,2.0302,5.236562999999999,0.8651200000000001,0.38769699999999996,0_0_0_0,0_0_0_0,1445400.0_53.85%_7416400.0_65.97%,1445400.0_53.85%_7416400.0_65.97%,0,0,0,0,0,0,0,0,1445400.0,53.85%,7416400.0,65.97%,1445400.0,53.85%,7416400.0,65.97%
DTEA,DAVIDsTEA Inc.,2.7,3.06,0.0,1.148101,-1.042885,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFBG,Differential Brands Group Inc.,3.86,4.34,0.0,1.2146649999999999,-0.880684,-5684000.0_-40.21%_35965000.0_-1.34%,-4085000.0_-73.83%_38818000.0_-3.20%,4135000.0_184.30%_45109000.0_7.35%,-183000.0_93.51%_42389000.0_2.99%,-5684000.0,-40.21%,35965000.0,-1.34%,-4085000.0,-73.83%,38818000.0,-3.20%,4135000.0,184.30%,45109000.0,7.35%,-183000.0,93.51%,42389000.0,2.99%
ZNGA,Zynga,3.86,4.36,106.44791000000001,2.582363,0.040958999999999995,-911000.0_-117.89%_217000000.0_3.73%,5609000.0_159.20%_208000000.0_7.18%,12929000.0_136.49%_233000000.0_22.43%,18091000.0_143.35%_225000000.0_23.12%,-911000.0,-117.89%,217000000.0,3.73%,5609000.0,159.20%,208000000.0,7.18%,12929000.0,136.49%,233000000.0,22.43%,18091000.0,143.35%,225000000.0,23.12%
FLKS,"Flex Pharma, Inc.",0.4518,0.55,0.0,0.7410939999999999,-1.952319,-9051900.0_-2.81%_245500.0_-26.83%,-8223200.000000001_0.55%_178600.0_-26.37%,-8028500.0_-1.63%_282800.0_-5.38%,-9332100.0_12.27%_413600.0_-30.96%,-9051900.0,-2.81%,245500.0,-26.83%,-8223200.000000001,0.55%,178600.0,-26.37%,-8028500.0,-1.63%,282800.0,-5.38%,-9332100.0,12.27%,413600.0,-30.96%
AGMH,安高盟,35.0,34.95,179.325494,91.771833,0.19489700000000001,0_0_0_0,0_0_0_0,979200.0_-30.95%_3325299.9999999995_4.41%,979200.0_-30.95%_3325299.9999999995_4.41%,0,0,0,0,0,0,0,0,979200.0,-30.95%,3325299.9999999995,4.41%,979200.0,-30.95%,3325299.9999999995,4.41%
NFEC,能发伟业,3.88,4.4,0.0,1.322609,-0.41236999999999996,-1651600.0_-532.00%_564300.0_-66.36%,-505000.0_-19.05%_147100.0_-85.80%,-465900.00000000006_24.39%_4652800.0_94.15%,-426900.0_-11.87%_1141900.0_-18.45%,-1651600.0,-532.00%,564300.0,-66.36%,-505000.0,-19.05%,147100.0,-85.80%,-465900.00000000006,24.39%,4652800.0,94.15%,-426900.0,-11.87%,1141900.0,-18.45%
SSC,"Seven Stars Cloud Group, Inc.",3.07,3.45,0.0,6.925561999999999,-0.313602,-8610900.0_-123.03%_133000000.0_206.93%,-4162400.0_-354.04%_186000000.0_460.63%,-5092000.0_77.34%_37626400.0_22.13%,"-3021900.0_-40.35%_30223600.0_1,757.81%",-8610900.0,-123.03%,133000000.0,206.93%,-4162400.0,-354.04%,186000000.0,460.63%,-5092000.0,77.34%,37626400.0,22.13%,-3021900.0,-40.35%,30223600.0,"1,757.81%"
OBLN,Obalon Therapeutics Inc,2.11,2.34,0.0,3.292163,-2.4335709999999997,-9753000.0_-26.17%_2732000.0_39.17%,-12126000.0_-56.57%_1346000.0_-8.56%,-10120000.0_-35.02%_3692000.0_378.24%,-9170000.0_-74.33%_2787000.0_260.54%,-9753000.0,-26.17%,2732000.0,39.17%,-12126000.0,-56.57%,1346000.0,-8.56%,-10120000.0,-35.02%,3692000.0,378.24%,-9170000.0,-74.33%,2787000.0,260.54%
TOCA,Tocagen Inc,12.72,14.08,25.8278,6.094997,0.545149,-16089000.0_-77.47%_9000.0_-10.00%,-12880000.0_-41.96%_9000.0_-18.18%,-10837000.0_-28.55%_10000.0_-9.09%,-9953000.0_-10.59%_10000.0_-9.09%,-16089000.0,-77.47%,9000.0,-10.00%,-12880000.0,-41.96%,9000.0,-18.18%,-10837000.0,-28.55%,10000.0,-9.09%,-9953000.0,-10.59%,10000.0,-9.09%
NVMM,"Novume Solutions, Inc.",1.36,1.5,0.0,21.776992,-0.451029,-921300.0_-60.96%_12338200.0_280.84%,-2193800.0_-303.05%_11218800.000000002_223.26%,-3127700.0_-581.13%_11004000.0_332.29%,"-791400.0_-1,324.80%_4421600.0_83.81%",-921300.0,-60.96%,12338200.0,280.84%,-2193800.0,-303.05%,11218800.000000002,223.26%,-3127700.0,-581.13%,11004000.0,332.29%,-791400.0,"-1,324.80%",4421600.0,83.81%
SNOA,"Sonoma Pharmaceuticals, Inc.",1.73,1.89,0.0,0.966354,-2.9000369999999998,-3458000.0_1.43%_4369000.0_13.92%,-4763000.0_-95.53%_3655000.0_-9.28%,-3187000.0_-119.64%_4843000.0_44.09%,-2870000.0_-47.26%_4325000.0_54.57%,-3458000.0,1.43%,4369000.0,13.92%,-4763000.0,-95.53%,3655000.0,-9.28%,-3187000.0,-119.64%,4843000.0,44.09%,-2870000.0,-47.26%,4325000.0,54.57%
HYRE,Hyrecar Inc.,2.25,2.46,0.0,3.00882,-1.7908419999999998,-5042300.0_-555.80%_2273500.0_260.16%,-1767000.0_-114.65%_1714199.9999999998_239.22%,-1390600.0_-143.92%_1259000.0_396.55%,0_0_0_0,-5042300.0,-555.80%,2273500.0,260.16%,-1767000.0,-114.65%,1714199.9999999998,239.22%,-1390600.0,-143.92%,1259000.0,396.55%,0,0,0,0
PRTO,Proteon Therapeutics,1.54,1.68,0.0,7.267174000000001,-2.028775,-4879000.0_13.00%_0_0,-6081000.0_6.42%_0_0,-5551000.0_20.27%_0_0,-12307000.0_-73.17%_0_0,-4879000.0,13.00%,0,0,-6081000.0,6.42%,0,0,-5551000.0,20.27%,0,0,-12307000.0,-73.17%,0,0
SGMS,美彩科技,22.52,24.67,0.0,-0.994295,-3.4411959999999997,-5800000.0_85.17%_844999999.9999999_10.23%,-202000000.0_-100.20%_811999999.9999999_11.91%,-43100000.0_61.10%_823000000.0_9.41%,-59300000.0_40.04%_769000000.0_6.79%,-5800000.0,85.17%,844999999.9999999,10.23%,-202000000.0,-100.20%,811999999.9999999,11.91%,-43100000.0,61.10%,823000000.0,9.41%,-59300000.0,40.04%,769000000.0,6.79%
ALLK,Allakos Inc.,31.93,35.28,0.0,-19.738398,-16.164455,-9377000.0_-99.85%_0_0,-8485000.0_-67.82%_0_0,0_0_0_0,0_0_0_0,-9377000.0,-99.85%,0,0,-8485000.0,-67.82%,0,0,0,0,0,0,0,0,0,0
DCAR,DropCar Incorporated,0.54,0.59,0.0,0.570382,-4.78985,-4309100.0_-140.28%_6340400.0_612.97%,-3361400.0_-757.28%_4874600.0_663.37%,-2552400.0_-318.77%_1488100.0_135.78%,"-2902900.0_-1,019.27%_1269600.0_135.69%",-4309100.0,-140.28%,6340400.0,612.97%,-3361400.0,-757.28%,4874600.0,663.37%,-2552400.0,-318.77%,1488100.0,135.78%,-2902900.0,"-1,019.27%",1269600.0,135.69%
EBIX,亚太交换中心,61.18,63.41,18.794914000000002,3.998445,3.373785,29071000.0_21.65%_125000000.0_42.61%,26456000.0_-0.63%_108000000.0_36.82%,27525000.0_10.35%_105000000.0_30.78%,24538000.0_2.43%_92800000.0_24.38%,29071000.0,21.65%,125000000.0,42.61%,26456000.0,-0.63%,108000000.0,36.82%,27525000.0,10.35%,105000000.0,30.78%,24538000.0,2.43%,92800000.0,24.38%
VTVT,vTv Therapeutics Inc.,2.94,3.29,0.0,-0.72477,-1.4313069999999999,"-9596000.0_28.46%_2473000.0_18,923.08%","-9960000.0_30.28%_2064000.0_6,780.00%",-14592000.0_-6.43%_233000.0_513.16%,-12355000.0_8.52%_15000.0_-60.53%,-9596000.0,28.46%,2473000.0,"18,923.08%",-9960000.0,30.28%,2064000.0,"6,780.00%",-14592000.0,-6.43%,233000.0,513.16%,-12355000.0,8.52%,15000.0,-60.53%
PZZA,Papa John’S International,53.57,54.9,23.966326000000002,-6.513127,2.290714,0_0_0_0,0_0_0_0,28975000.0_-15.47%_468000000.0_6.37%,22669000.0_0.08%_432000000.0_2.19%,0,0,0,0,0,0,0,0,28975000.0,-15.47%,468000000.0,6.37%,22669000.0,0.08%,432000000.0,2.19%
NSTG,NanoString Technologies Inc.,16.47,16.99,0.0,59.908207,-2.3149490000000004,-20601000.0_-352.27%_24999000.0_-27.73%,-19202000.0_-1.86%_23085000.0_27.80%,-8751000.0_24.51%_35233000.0_39.64%,-11404000.0_-13.05%_27016000.0_12.88%,-20601000.0,-352.27%,24999000.0,-27.73%,-19202000.0,-1.86%,23085000.0,27.80%,-8751000.0,24.51%,35233000.0,39.64%,-11404000.0,-13.05%,27016000.0,12.88%
