code,name,open,latestPrice,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
YGYI,"Youngevity International, Inc.",7.8,10.16,0.0,13.838406,-0.548478,-614000.0_77.51%_44255000.0_6.57%,-2308000.0_-12.09%_42994000.0_11.00%,"-6820000.0_-1,245.17%_41041000.0_6.87%","-1068000.0_-1,694.03%_44395000.0_1.91%",-614000.0,77.51%,44255000.0,6.57%,-2308000.0,-12.09%,42994000.0,11.00%,-6820000.0,"-1,245.17%",41041000.0,6.87%,-1068000.0,"-1,694.03%",44395000.0,1.91%,69,0.17809297171063768,0.11632333630113878,1.0866666666666667,0.47666666666666685,8.48,0.0,8.48,7.493333333333333,7.718205899038269,3252864.3333333335,373111.6666666667,0.18420617713843832,0.12586010946534346,1
OHGI,One Horizon Group Inc.,0.2613,0.39,0.0,1.479156,-0.240523,-3528000.0_-99.32%_294000.0_167.27%,"-2694000.0_-109.81%_274000.0_3,814.29%","-3608000.0_-163.36%_200000.0_1,566.67%","-772000.0_48.29%_397000.0_39,600.00%",-3528000.0,-99.32%,294000.0,167.27%,-2694000.0,-109.81%,274000.0,"3,814.29%",-3608000.0,-163.36%,200000.0,"1,566.67%",-772000.0,48.29%,397000.0,"39,600.00%",223,0.2168281756934239,-0.09059155844155846,0.04,-0.020866666666666672,29.88,0.9891566265060241,0.324,0.2273333333333333,6.4478002194129695,32312626.333333332,4338546.333333333,0.28419060141808367,-0.1042702111227408,4
AGRX,"Agile Therapeutics, Inc.",0.9166,0.71,0.0,0.929719,-0.750534,-5344000.0_28.23%_0_0,-6833000.0_9.09%_0_0,-6240000.0_-19.98%_0_0,-7102000.0_9.00%_0_0,-5344000.0,28.23%,0.0,0,-6833000.0,9.09%,0.0,0,-6240000.0,-19.98%,0.0,0,-7102000.0,9.00%,0.0,0,230,0.1697272822545596,0.05206029733959316,0.07200000000000001,0.014714333333333348,12.77,0.9514017227877839,0.6206,0.45903333333333335,0.1963935194548796,33486527.0,27989559.0,0.2510135461587848,0.04441827566127144,4
OHRP,Ohr Pharmaceutical Inc.,0.24,0.3057,0.0,1.004557,-0.160039,-545000.0_86.03%_0_0,-2184800.0_71.59%_0_0,-4151400.0_40.49%_0_0,-5244400.000000001_20.97%_0_0,-545000.0,86.03%,0.0,0,-2184800.0,71.59%,0.0,0,-4151400.0,40.49%,0.0,0,-5244400.000000001,20.97%,0.0,0,252,0.11311912437221734,-0.045596158022936255,0.02154666666666667,-0.00943333333333333,19.65,0.9877862595419848,0.24,0.20971333333333333,1.0593593952658569,8856573.0,4300644.666666667,0.08817334561616202,-0.01758020727977467,4
EPIX,ESSA Pharma Inc.,3.16,4.0172,0.0,-27.34871,-0.24,0_0_0_0,0_0_0_0,0_0_0_0,-1945300.0_54.09%_0_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1945300.0,54.09%,0.0,0,171,0.12910406979693287,-0.04455503263657217,0.34703333333333336,-0.14666666666666664,178.4,0.9803806053811659,3.5001,3.3670333333333335,-0.542306951047154,47496.333333333336,103773.33333333333,0.10251092581340175,-0.06693216781217409,3
OASM,Oasmia Pharmaceutical AB,4.07,4.6632,0.0,3.753854,-0.46,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,156,0.09468816094442067,0.11924868573465208,0.3033666666666666,0.3057333333333334,4.6999,0.07229941062575805,4.3601,4.0767,2.0108965885514696,917183.3333333334,304621.3333333333,0.09812595588443514,0.2156862076081538,3
LQDA,Liquidia Technologies Inc,30.81,37.18,0.0,-44.030765,-72.871613,-6268900.0_24.39%_1042900.0000000001_-47.38%,-27508200.0_-179.65%_926000.0_-43.51%,0_0_0_0,0_0_0_0,-6268900.0,24.39%,1042900.0,-47.38%,-27508200.0,-179.65%,926000.0,-43.51%,0.0,0,0.0,0,0.0,0,0.0,0,12,0.2176110405835651,0.08761196172338633,5.230833333333334,1.4799999999999993,35.5825,0.0,35.5825,31.4075,-0.2254035055588729,406025.6666666667,524177.0,0.2219781221202992,0.08140266325327244,0
AMTX,Aemetis Inc,1.56,1.61,0.0,-0.34636300000000003,-1.571206,-6222000.0_-3.93%_45028000.0_10.46%,-11105000.0_-30.23%_43018000.0_36.25%,-9039000.0_-525.54%_38884000.0_3.98%,-8217000.0_-100.66%_38935000.0_-1.12%,-6222000.0,-3.93%,45028000.0,10.46%,-11105000.0,-30.23%,43018000.0,36.25%,-9039000.0,-525.54%,38884000.0,3.98%,-8217000.0,-100.66%,38935000.0,-1.12%,228,0.039064710909371074,-0.043763193203124016,0.03999999999999996,-0.05333333333333338,12.35,0.8963562753036438,1.28,1.0999999999999999,24.13189642306353,1347136.6666666667,53602.666666666664,0.05302042843333119,-0.03425771789192083,4
DOGZ,多尼斯,1.8143,2.0302,5.2365629999999985,0.8651200000000001,0.387697,0_0_0_0,0_0_0_0,1445400.0_53.85%_7416400.0_65.97%,1445400.0_53.85%_7416400.0_65.97%,0.0,0,0.0,0,0.0,0,0.0,0,1445400.0,53.85%,7416400.0,65.97%,1445400.0,53.85%,7416400.0,65.97%,43,-0.07185051713847528,-0.01963527372242261,-0.17573333333333338,-0.06273333333333324,5.9,0.6491525423728814,2.07,2.2899999999999996,0.6087006706141717,46457.666666666664,28879.0,-0.06263174547971231,-0.05724929266330917,0
DTEA,DAVIDsTEA Inc.,2.7,3.06,0.0,1.148101,-1.042885,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,176,0.03199559699559702,-0.07390575994054255,0.08666666666666674,-0.23596666666666666,27.0,0.8918518518518518,2.92,2.83,3.265690205479094,24515163.333333332,5747056.666666667,0.057365724149512444,-0.08574953231205877,3
