code,name,category,pe,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
AAPL,苹果公司,计算机,26.12004848,0,48351000000.0,45687000000.0,53394000000.00001,39510000000.0
AMZN,亚马逊公司,互联网,384.12651716,0,3033000000.0,2371000000.0,596000000.0,-241000000.0
GOOGL,谷歌A类股,媒体内容,43.61011521,0,12662000000.0,19478000000.0,16347999999.999998,14136000000.000002
MSFT,微软公司,软件,50.5070404,16571000000.0,25489000000.0,20539000000.0,12193000000.0,22074000000.0
GOOG,谷歌,互联网,43.07604007,0,12662000000.0,19478000000.0,16347999999.999998,14136000000.000002
BSMX,桑坦德银行墨西,银行,12.4999999,0,17710000000.0,16504000000.0,14199000000.0,14054000000.0
HSEA,HSBC Holdings Plc,,376.57143569,0,11879000000.0,3446000000.0,15096000000.0,14705000000.000002
BRK.B,伯克希尔-哈撒韦B,保险,0.01773795,0,45353000000.0,24427000000.0,24414000000.0,20170000000.0
BRK.A,伯克希尔-哈撒韦,保险,26.71388458,0,45353000000.0,24427000000.0,24414000000.0,20170000000.0
FB,Facebook,媒体内容,49.79942767,0,15934000000.0,10217000000.0,3688000000.0000005,2940000000.0
BABA,阿里巴巴,,79.62211645,61412000000.0,41226000000.0,71289000000.0,24320000000.0,23403000000.0
JPM,摩根大通公司,,18.54119476,0,24441000000.0,24733000000.0,24442000000.0,21745000000.0
JNJ,强生公司,制药,22.67622346,0,16540000000.0,15409000000.0,0,16322999999.999998
DEO,帝亚吉欧公司,饮料,30.66379372,3144000000.0,2772000000.0,2362000000.0,2467000000.0,2181000000.0
FMX,Fomento Economico Mexicano SAB de CV,饮料,30.61904572,0,37206000000.0,27175000000.0,23276000000.0,22630000000.0
XOM,埃克森美孚公司,,41.62766082,0,19848000000.0,8375000000.0,16551000000.0,33614999999.999996
BAC,美国银行公司,银行,20.49333318,0,18232000000.0,17822000000.0,15910000000.0,5520000000.0
V,维萨卡公司,,54.7790721,0,6698999999.999999,5991000000.0,6328000000.0,5438000000.0
WMT,沃尔玛公司,零售,22.34018172,10523000000.0,14293000000.0,15080000000.000002,17099000000.0,16694999999.999998
WFC,富国银行,银行,14.75187982,0,22460000000.0,22045000000.0,23276000000.0,23608000000.0
RDS.A,荷兰皇家壳牌石油公司,,15.64108892,0,13435000000.0,4777000000.0,2200000000.0,14730000000.000002
