code,name,category,pe,2018-06,2018-03,2017-12,2017-09
AAPL,苹果公司,计算机,26.12004848,11519000000.0_32.14%,13822000000.0_25.32%,20065000000.0_12.15%,10714000000.0_18.86%
AMZN,亚马逊公司,互联网,384.12651716,"2534000000.0_1,186.29%",1629000000.0_125.00%,1857000000.0_147.93%,256000000.0_1.59%
GOOGL,谷歌A类股,媒体内容,43.61011521,3195000000.0_-9.34%,9401000000.0_73.26%,-3020000000.0_-156.63%,6731999999.999999_33.02%
MSFT,微软公司,软件,50.5070404,8873000000.0_9.96%,7423999999.999999_35.33%,-6302000000.0_-200.56%,6576000000.000001_16.04%
GOOG,谷歌,互联网,43.07604007,3195000000.0_-9.34%,9401000000.0_73.26%,-3020000000.0_-156.63%,6731999999.999999_33.02%
BSMX,桑坦德银行墨西,银行,12.4999999,5171000000.0_12.14%,4727000000.0_4.58%,4481000000.0_-15.93%,4078000000.0_4.40%
HSEA,HSBC Holdings Plc,,376.57143569,0,3738000000.0000005_-0.59%,326000000.0_108.12%,"3504999999.9999995_8,662.50%"
BRK.B,伯克希尔-哈撒韦B,保险,0.01773795,12077000000.0_177.31%,-1071000000.0000001_-125.88%,32656000000.0_413.86%,4203000000.0_-42.68%
BRK.A,伯克希尔-哈撒韦,保险,26.71388458,12077000000.0_177.31%,-1071000000.0000001_-125.88%,32656000000.0_413.86%,4203000000.0_-42.68%
FB,Facebook,媒体内容,49.79942767,5106000000.0_31.12%,4988000000.0_62.79%,4269000000.0_19.61%,4707000000.0_79.18%
BABA,阿里巴巴,,79.62211645,7650000000.0_-45.48%,6641000000.0_-32.59%,23332000000.0_35.99%,17408000000.0_146.05%
JPM,摩根大通公司,,18.54119476,8316000000.0_18.31%,8712000000.0_35.11%,4232000000.0_-37.09%,6731999999.999999_7.10%
JNJ,强生公司,制药,22.67622346,0,0,-10713000000.0_-380.89%,0
DEO,帝亚吉欧公司,饮料,30.66379372,508000000.0_-14.47%,508000000.0_-14.47%,1063000000.0000001_34.37%,1063000000.0000001_34.37%
FMX,Fomento Economico Mexicano SAB de CV,饮料,30.61904572,10777000000.0_111.74%,1478000000.0_-77.58%,-8487000000.0_-196.24%,33714999999.999996_325.18%
XOM,埃克森美孚公司,,41.62766082,3986000000.0_22.12%,4783000000.0_16.94%,8409000000.0_315.46%,4085000000.0_41.40%
BAC,美国银行公司,银行,20.49333318,6784000000.0_32.86%,6918000000.000001_29.62%,2520000000.0_-45.36%,5587000000.0_12.75%
V,维萨卡公司,,54.7790721,2329000000.0_13.11%,2605000000.0_505.81%,2522000000.0_21.84%,2139999999.9999998_10.82%
WMT,沃尔玛公司,零售,22.34018172,0,0,0,0
WFC,富国银行,银行,14.75187982,5309000000.0_-9.93%,5327000000.0_-6.95%,6409999999.999999_20.85%,4654000000.0_-17.69%
RDS.A,荷兰皇家壳牌石油公司,,15.64108892,6188000000.0_276.86%,6031000000.0_65.50%,3936999999.9999995_144.84%,4211999999.9999995_193.72%
RDS.B,荷兰皇家壳牌石油公司,,,6188000000.0_276.86%,6031000000.0_65.50%,3936999999.9999995_144.84%,4211999999.9999995_193.72%
HDB,HDFC银行,银行,243.8780457,0,53008000000.00001_16.87%,53008000000.00001_16.87%,39799000000.0_28.56%
PFE,辉瑞制药公司,制药,35.97436042,0,0,"12289000000.0_1,473.50%",0
UNH,美国联合健康集团,卫生保健设施,36.18344642,3010000000.0_28.09%,2924000000.0_33.46%,3721000000.0_117.86%,2561000000.0_29.47%
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,,150000000.0_134.52%,150000000.0_134.52%,-212000000.0_-137.35%,-212000000.0_-137.35%
ENIC,Enel Chile SA,,8.0666666,0,0,0,113363000000.00002_-44.45%
VZ,威讯通信公司,,17.06853591,4246000000.0_-5.18%,4666000000.0_31.33%,18783000000.0_308.33%,3736000000.0_-0.29%
HD,家得宝公司,零售,30.31938036,0,0,0,0
CVX,雪佛龙公司,油气,-436.29629026,3422000000.0_133.42%,3659000000.0000005_35.57%,3118000000.0_611.87%,1986000000.0_52.65%
BBL,必和必拓公司,,45.11827824,1124000000.0_-18.81%,1124000000.0_-18.81%,1287000000.0_-25.43%,1287000000.0_-25.43%
INTC,英特尔公司,半导体,22.21698161,5006000000.0_78.28%,4454000000.0_50.27%,-687000000.0_-119.29%,4516000000.0_33.69%
NVS,诺华公司,生物技术和制药,29.65714369,7768000000.000001_292.52%,2028000000.0_21.80%,1976000000.0000002_111.11%,2082999999.9999998_7.10%
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,,150000000.0_134.52%,150000000.0_134.52%,-212000000.0_-137.35%,-212000000.0_-137.35%
CSCO,思科系统公司,电信,23.64432865,0,0,0,0
LYG,劳埃德银行,银行,25.58333335,1120000000.0_49.53%,1147000000.0_28.88%,788000000.0_795.45%,1470000000.0_571.23%
PG,宝洁公司,,15.32783917,1889999999.9999998_-14.17%,2540000000.0_-0.63%,2561000000.0_-67.57%,2870000000.0_4.10%
MA,万事达卡公司,商业服务,55.07046167,1569000000.0_33.31%,1492000000.0_38.02%,227000000.0_-75.67%,1430000000.0_20.78%
TSM,台湾积体电路制造公司,半导体,18.84037508,72293000000.0_9.09%,89788000000.0_2.47%,101198000000.0_3.59%,89949000000.0_-7.07%
T,美国电话电报公司,电信,15.72857156,5248000000.0_30.74%,4759000000.0_33.16%,19136000000.0_660.87%,3123000000.0_-8.63%
BA,波音公司,航空航天\/国防,45.51905228,2196000000.0_25.56%,2477000000.0_56.87%,3132000000.0_92.03%,1853000000.0_-18.69%
