code,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
AMMA,Alliance Mma Inc.,0.0,1.0965,-1.176574,0_0_0_0,-4503900.0_-90.05%_1081800.0_43.31%,-4842600.0_-549.98%_1298000.0_119.47%,-2462100.0_-313.50%_1050500.0_0,0,0,0,0,-4503900.0,-90.05%,1081800.0,43.31%,-4842600.0,-549.98%,1298000.0,119.47%,-2462100.0,-313.50%,1050500.0,0
SSC,"Seven Stars Cloud Group, Inc.",0.0,10.880158,-0.313602,-8610900.0_-123.03%_133000000.0_206.93%,-4162400.0_-354.04%_186000000.0_460.63%,-5092000.0_77.34%_37626400.0_22.13%,"-3021900.0_-40.35%_30223600.0_1,757.81%",-8610900.0,-123.03%,133000000.0,206.93%,-4162400.0,-354.04%,186000000.0,460.63%,-5092000.0,77.34%,37626400.0,22.13%,-3021900.0,-40.35%,30223600.0,"1,757.81%"
GERN,杰龙,0.0,5.343057,-0.174465,-6934000.0_-8.26%_208000.0_19.54%,-7186000.0_-0.04%_318000.0_-40.78%,-7429000.0_12.41%_191000.0_103.19%,-6899000.0_-92.93%_163000.0_-96.81%,-6934000.0,-8.26%,208000.0,19.54%,-7186000.0,-0.04%,318000.0,-40.78%,-7429000.0,12.41%,191000.0,103.19%,-6899000.0,-92.93%,163000.0,-96.81%
GLG,中国商业信贷公司,4.69841,4.701573000000001,0.168142,9503300.0_293.22%_0_0,-385900.00000000006_68.58%_0_0,-2169500.0_-57.89%_0_0,-2515300.0_-302.80%_0_0,9503300.0,293.22%,0,0,-385900.00000000006,68.58%,0,0,-2169500.0,-57.89%,0,0,-2515300.0,-302.80%,0,0
CNAT,Conatus Pharmaceuticals Inc.,0.0,7.8554699999999995,-0.593648,-4497000.0_16.98%_8774000.0_-12.33%,-5018000.0_-38.50%_9737000.0_39.14%,"-4356400.0_52.25%_8804400.0_1,001.86%",-4000400.0_41.74%_9565900.0_0,-4497000.0,16.98%,8774000.0,-12.33%,-5018000.0,-38.50%,9737000.0,39.14%,-4356400.0,52.25%,8804400.0,"1,001.86%",-4000400.0,41.74%,9565900.0,0
GRNQ,Greenpro Capital Corp.,0.0,42.84891,-0.041346,-360000.0_-1.28%_808100.0_48.51%,-13700.000000000002_91.21%_740600.0_-13.42%,"-3121700.0_-1,051.78%_1077200.0_-20.28%",-103400.0_17.57%_1009800.0_88.49%,-360000.0,-1.28%,808100.0,48.51%,-13700.000000000002,91.21%,740600.0,-13.42%,-3121700.0,"-1,051.78%",1077200.0,-20.28%,-103400.0,17.57%,1009800.0,88.49%
CRON, Cronos Group Inc.,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,欧特克,0.0,-142.589436,-1.894145,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYBX,"Synlogic, Inc.",4.424599,1.591413,2.045383,-14591000.0_-55.42%_254000.0_-87.97%,-11165000.0_-51.53%_354000.0_218.92%,-11697000.0_-70.81%_111000.0_0.00%,-11924000.0_-124.73%_111000.0_0.00%,-14591000.0,-55.42%,254000.0,-87.97%,-11165000.0,-51.53%,354000.0,218.92%,-11697000.0,-70.81%,111000.0,0.00%,-11924000.0,-124.73%,111000.0,0.00%
SPLK,Splunk Inc,0.0,15.639029,-1.955666,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLRY,Tilray Inc.,0.0,95.80005799999999,-0.16414700000000002,0_0_0_0,-5181000.0_-663.03%_7808000.0_55.32%,0_0_0_0,0_0_0_0,0,0,0,0,-5181000.0,-663.03%,7808000.0,55.32%,0,0,0,0,0,0,0,0
SITO,"SITO Mobile, Ltd.",0.0,2.704093,-0.904724,-5735900.0_-165.21%_8428600.0_-21.63%,-5247700.0_-71.52%_11144700.0_70.08%,-5828700.0_-299.22%_14469400.0_104.37%,-2664800.0_-631.37%_11071900.0_29.48%,-5735900.0,-165.21%,8428600.0,-21.63%,-5247700.0,-71.52%,11144700.0,70.08%,-5828700.0,-299.22%,14469400.0,104.37%,-2664800.0,-631.37%,11071900.0,29.48%
LTRX,创力,154.454593,4.598344,0.037422000000000004,"752000.0_1,546.15%_12037000.0_8.99%",344000.0_312.35%_11601000.0_0.67%,225000.0_448.78%_11336000.0_1.02%,-641000.0_-516.35%_10606000.0_-3.05%,752000.0,"1,546.15%",12037000.0,8.99%,344000.0,312.35%,11601000.0,0.67%,225000.0,448.78%,11336000.0,1.02%,-641000.0,-516.35%,10606000.0,-3.05%
IDXG,Interpace Diagnostics Group Inc,0.0,0.987297,-0.8672700000000001,-1917000.0_69.60%_5501000.0_42.70%,-3193000.0_-232.27%_4809000.0_38.59%,-5008000.0_-179.73%_4370000.0_39.97%,-3316000.0_55.75%_4202000.0_26.72%,-1917000.0,69.60%,5501000.0,42.70%,-3193000.0,-232.27%,4809000.0,38.59%,-5008000.0,-179.73%,4370000.0,39.97%,-3316000.0,55.75%,4202000.0,26.72%
RGSE,"Real Goods Solar, Inc.",0.0,-142.963333,-2.29786,-7762000.0_-92.61%_3630000.0_21.12%,-4338000.0_-7.54%_2822000.0_-22.96%,-5212000.0_50.26%_4494000.0_-12.81%,-4422000.0_42.83%_4019000.0_62.19%,-7762000.0,-92.61%,3630000.0,21.12%,-4338000.0,-7.54%,2822000.0,-22.96%,-5212000.0,50.26%,4494000.0,-12.81%,-4422000.0,42.83%,4019000.0,62.19%
ROSE,Rosehill Resources Inc.,32.760294,1.393729,0.250303,8664000.0_712.73%_76686000.0_447.52%,-7756000.0_-275.71%_53146000.0_218.37%,-10746000.0_-52.36%_27414000.0_150.31%,"-4202000.0_-2,208.79%_14588000.0_57.93%",8664000.0,712.73%,76686000.0,447.52%,-7756000.0,-275.71%,53146000.0,218.37%,-10746000.0,-52.36%,27414000.0,150.31%,-4202000.0,"-2,208.79%",14588000.0,57.93%
SNOA,"Sonoma Pharmaceuticals, Inc.",0.0,0.981693,-2.9000369999999998,-3458000.0_1.43%_4369000.0_13.92%,-4763000.0_-95.53%_3655000.0_-9.28%,-3187000.0_-119.64%_4843000.0_44.09%,-2870000.0_-47.26%_4325000.0_54.57%,-3458000.0,1.43%,4369000.0,13.92%,-4763000.0,-95.53%,3655000.0,-9.28%,-3187000.0,-119.64%,4843000.0,44.09%,-2870000.0,-47.26%,4325000.0,54.57%
