code,open,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
YMAB,26.5,"Y-mAbs Therapeutics, Inc.",0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWSM,11.25,Cool Holdings Inc,0.0,37.596105,-6.865460000000001,-2944000.0_-335.50%_9385000.0_214.72%,-2766000.0_-323.58%_5324000.0_89.47%,-993000.0_-238.62%_5860000.0_-19.01%,-1761000.0_-500.51%_6008000.0_-16.96%,-2944000.0,-335.50%,9385000.0,214.72%,-2766000.0,-323.58%,5324000.0,89.47%,-993000.0,-238.62%,5860000.0,-19.01%,-1761000.0,-500.51%,6008000.0,-16.96%
ASTC,3.3,Astrotech Corporation,0.0,2.331598,-2.8998909999999998,0_0_0_0,-2855000.0_-0.28%_0_0,-3137000.0_-18.20%_41000.0_-92.12%,-3006000.0_13.30%_0_0,0,0,0,0,-2855000.0,-0.28%,0,0,-3137000.0,-18.20%,41000.0,-92.12%,-3006000.0,13.30%,0,0
OASM,3.35,Oasmia Pharmaceutical AB,0.0,2.592085,-0.46,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNES,0.74,Senestech Inc.,0.0,3.6020769999999995,-0.841783,-4113000.0_-14.79%_36000.0_260.00%,-2665000.0_22.87%_19000.0_171.43%,-2311000.0_36.18%_18000.0_-68.42%,-2937000.0_-8.62%_17000.0_-87.02%,-4113000.0,-14.79%,36000.0,260.00%,-2665000.0,22.87%,19000.0,171.43%,-2311000.0,36.18%,18000.0,-68.42%,-2937000.0,-8.62%,17000.0,-87.02%
EGC,7.4,Energy XXI Gulf Coast Inc.,0.0,2.413866,-9.538343,-34035000.0_-29.72%_140000000.0_4.49%,-33055000.0_48.79%_132000000.0_-14.17%,-220000000.00000003_-109.28%_126000000.0_-18.00%,-31580000.0_75.92%_129000000.0_-9.42%,-34035000.0,-29.72%,140000000.0,4.49%,-33055000.0,48.79%,132000000.0,-14.17%,-220000000.00000003,-109.28%,126000000.0,-18.00%,-31580000.0,75.92%,129000000.0,-9.42%
HOVNP,4.99,Hovnanian Enterprises Inc,0.0,-0.239234,-0.11,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KALV,18.65,Kalvista Pharmaceuticals Inc,0.0,13.540866000000001,-1.489614,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XBIO,2.6,Xenetic Biosciences Inc,0.0,2.0526,-0.183922,-2026200.0_30.58%_0_0,-1822500.0_36.40%_0_0,"4445300.0_1,235.96%_7500000.0_150.00%",-2255900.0_8.74%_85000.0_0,-2026200.0,30.58%,0,0,-1822500.0,36.40%,0,0,4445300.0,"1,235.96%",7500000.0,150.00%,-2255900.0,8.74%,85000.0,0
LGCY,5.11,Legacy Reserves石油勘测,0.0,-0.8409190000000001,-0.8910319999999999,-50709000.0_-357.79%_139000000.0_50.01%,64382000.0_293.24%_137000000.0_38.10%,-25326000.0_75.78%_137000000.0_49.68%,-33866000.0_-687.03%_107000000.0_27.86%,-50709000.0,-357.79%,139000000.0,50.01%,64382000.0,293.24%,137000000.0,38.10%,-25326000.0,75.78%,137000000.0,49.68%,-33866000.0,-687.03%,107000000.0,27.86%
NDRA,3.3,ENDRA Life Sciences Inc,0.0,7.33785,-1.528459,-1846800.0_-28.98%_0_0,-2825299.9999999995_-280.96%_6170.0_0,-2294600.0_-233.10%_6850.0_-98.67%,-908900.0_7.05%_287000.0_0,-1846800.0,-28.98%,0,0,-2825299.9999999995,-280.96%,6170.0,0,-2294600.0,-233.10%,6850.0,-98.67%,-908900.0,7.05%,287000.0,0
MBOT,6.5,Microbot Medical Inc,0.0,2.668843,-0.20800100000000002,-1893000.0_46.04%_0_0,-1469000.0_-12.39%_0_0,-1587000.0_79.39%_0_0,-1187000.0_-82.06%_0_0,-1893000.0,46.04%,0,0,-1469000.0,-12.39%,0,0,-1587000.0,79.39%,0,0,-1187000.0,-82.06%,0,0
DHXM,1.0,DHX Media Ltd.,8.833333999999999,0.10273099999999999,0.12,0_0_0_0,0_0_0_0,0_0_0_0,9567000.0_597.30%_98621000.0_83.19%,0,0,0,0,0,0,0,0,0,0,0,0,9567000.0,597.30%,98621000.0,83.19%
RGLS,0.1995,Regulus Therapeutics Inc,0.0,2.110233,-0.45846400000000004,-13847000.0_35.92%_18000.0_0.00%,-16025000.0_19.96%_18000.0_0.00%,-14448000.0_27.83%_18000.0_0.00%,-15828000.0_18.91%_18000.0_-91.18%,-13847000.0,35.92%,18000.0,0.00%,-16025000.0,19.96%,18000.0,0.00%,-14448000.0,27.83%,18000.0,0.00%,-15828000.0,18.91%,18000.0,-91.18%
SSKN,3.48,"Strata Skin Sciences, Inc.",0.0,3.4090879999999997,-5.970683,-1355000.0_-12.45%_7533000.0_-11.07%,-2223000.0_0.54%_6466000.0_-8.89%,-1720000.0_-93.91%_7995000.0_5.46%,-13671000.0_-805.96%_7480000.0_-3.70%,-1355000.0,-12.45%,7533000.0,-11.07%,-2223000.0,0.54%,6466000.0,-8.89%,-1720000.0,-93.91%,7995000.0,5.46%,-13671000.0,-805.96%,7480000.0,-3.70%
PETZ,1.58,天地荟食品,125.544656,1.471092,0.013862000000000001,0_0_0_0,0_0_0_0,-214000.0_-145.52%_7447900.0_1.27%,-214000.0_-145.52%_7447900.0_1.27%,0,0,0,0,0,0,0,0,-214000.0,-145.52%,7447900.0,1.27%,-214000.0,-145.52%,7447900.0,1.27%
TOTAU,11.51,Tottenham Acquisition I,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZOR,58.0,Mazor Robotics Ltd.,0.0,11.868803,-0.32824200000000003,-3841000.0_-4.49%_13238000.0_-14.34%,-1277000.0_75.59%_15507000.0_32.32%,142000.0_103.33%_20569000.0_46.47%,-3653000.0_30.06%_17204000.0_125.39%,-3841000.0,-4.49%,13238000.0,-14.34%,-1277000.0,75.59%,15507000.0,32.32%,142000.0,103.33%,20569000.0,46.47%,-3653000.0,30.06%,17204000.0,125.39%
INTG,36.0,The Intergroup Corporation,20.769822,-1.912841,1.733284,7836000.0_817.58%_18681000.0_9.24%,779000.0_558.24%_17972000.0_4.44%,-2507000.0_-24.79%_16812000.0_2.25%,-295000.0_-118.50%_18114000.0_-0.77%,7836000.0,817.58%,18681000.0,9.24%,779000.0,558.24%,17972000.0,4.44%,-2507000.0,-24.79%,16812000.0,2.25%,-295000.0,-118.50%,18114000.0,-0.77%
NVAX,1.6,诺瓦瓦克斯医药,0.0,-6.9580779999999995,-0.566994,-44492000.0_-0.06%_10773000.0_60.03%,-46352000.0_-5.70%_9653000.0_69.95%,-50842000.0_10.97%_10412000.0_92.85%,-44607000.0_32.67%_8352000.0_158.50%,-44492000.0,-0.06%,10773000.0,60.03%,-46352000.0,-5.70%,9653000.0,69.95%,-50842000.0,10.97%,10412000.0,92.85%,-44607000.0,32.67%,8352000.0,158.50%
VRML,0.5903,Vermillion,0.0,3.9920050000000002,-0.200871,-3049000.0_-29.19%_708000.0_-21.16%,-2850000.0_-6.62%_649000.0_-10.61%,-2955000.0_-3.83%_798000.0_-0.87%,-2509000.0_27.82%_699000.0_12.20%,-3049000.0,-29.19%,708000.0,-21.16%,-2850000.0,-6.62%,649000.0,-10.61%,-2955000.0,-3.83%,798000.0,-0.87%,-2509000.0,27.82%,699000.0,12.20%
