code,name,category,pe
AAPL,苹果公司,计算机,22.96878795
AMZN,亚马逊公司,互联网,370.00612123
GOOGL,谷歌A类股,媒体内容,43.20014635
GOOG,谷歌,互联网,42.64060194
MSFT,微软公司,软件,49.49765007
BSMX,桑坦德银行墨西,银行,12.74193554
FB,Facebook,媒体内容,59.40401340
HSEA,HSBC Holdings Plc,,376.57143569
BABA,阿里巴巴,,87.57603069
BRK.A,伯克希尔-哈撒韦,保险,24.71416754
BRK.B,伯克希尔-哈撒韦B,保险,0.01627385
DEO,帝亚吉欧公司,饮料,31.97198499
JPM,摩根大通公司,,17.18255244
XOM,埃克森美孚公司,,44.31382860
FMX,Fomento Economico Mexicano SAB de CV,饮料,30.32380754
JNJ,强生公司,制药,21.23608836
V,维萨卡公司,,54.03876058
RDS.B,荷兰皇家壳牌石油公司,,
RDS.A,荷兰皇家壳牌石油公司,,17.32673284
BAC,美国银行公司,银行,19.03333282
HDB,HDFC银行,银行,269.60976068
WFC,富国银行,银行,13.87468684
WMT,沃尔玛公司,零售,20.02282983
ENIC,Enel Chile SA,,8.59999940
UNH,美国联合健康集团,卫生保健设施,35.68276030
INTC,英特尔公司,半导体,24.63207738
CVX,雪佛龙公司,油气,-459.40739254
BBL,必和必拓公司,,47.19354737
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,
LYG,劳埃德银行,银行,27.74999998
HD,家得宝公司,零售,30.80465245
PFE,辉瑞制药公司,制药,32.07692321
VZ,威讯通信公司,,16.01557609
MA,万事达卡公司,商业服务,55.80216815
TM,丰田汽车公司,汽车制造,11.90349202
NVS,诺华公司,生物技术和制药,28.13571433
BA,波音公司,航空航天\/国防,46.09592673
BUD,百威英博公司,饮料,146.36619903
PG,宝洁公司,,14.52564048
ORCL,甲骨文公司,软件,23.04739502
NGG,英国国家电网公司,,16.92307658
CSCO,思科系统公司,电信,21.53608121
TSM,台湾积体电路制造公司,半导体,17.73239363
T,美国电话电报公司,电信,15.08095310
KO,可口可乐公司,饮料,30.02684657
HSBC,汇丰控股公司,银行,143.75756588
AVAL,Grupo Aval Acciones y Valores SA,,12.59090923
CHL,中国移动通信集团公司,,11.42487038
NFLX,奈飞公司,,920.46507258
C,花旗集团,银行,14.19491589
MRK,默沙东集团,生物技术和制药,44.60283750
UN,联合利华,,28.63265196
EOCC,Enel Generaci贸n Chile SA,,7.81609212
UL,联合利华PLC,食品,28.33673461
DIS,沃特迪士尼公司,媒体内容,19.85559580
PEP,百事可乐公司,饮料,25.84633004
HSEB,HSBC Holdings Plc,,34.90666707
CMCSA,康卡斯特公司,媒体,19.38547570
SHPG,夏尔制药公司,生物技术和制药,139.41935770
TBB,AT&#38;T Inc.,,
TOT,道达尔公司,,24.81673353
DWDP,陶氏杜邦公司,,
NVDA,英伟达公司,半导体,97.01167852
TI,意大利电信,电信,7.00000000
SAP,SAP,软件,36.66972610
BP,英国石油公司,,1134.24999865
ABBV,艾伯维公司,生物技术和制药,26.61983311
E,埃尼石油公司,,-43.80459816
RYAAY,Ryanair Holdings Plc,航空公司,20.92391312
