code,name,category,pe
AAPL,苹果公司,计算机,26.12004848
AMZN,亚马逊公司,互联网,384.12651716
GOOGL,谷歌A类股,媒体内容,43.61011521
MSFT,微软公司,软件,50.50704040
GOOG,谷歌,互联网,43.07604007
BSMX,桑坦德银行墨西,银行,12.49999990
HSEA,HSBC Holdings Plc,,376.57143569
BRK.B,伯克希尔-哈撒韦B,保险,0.01773795
BRK.A,伯克希尔-哈撒韦,保险,26.71388458
FB,Facebook,媒体内容,49.79942767
BABA,阿里巴巴,,79.62211645
JPM,摩根大通公司,,18.54119476
JNJ,强生公司,制药,22.67622346
DEO,帝亚吉欧公司,饮料,30.66379372
FMX,Fomento Economico Mexicano SAB de CV,饮料,30.61904572
XOM,埃克森美孚公司,,41.62766082
BAC,美国银行公司,银行,20.49333318
V,维萨卡公司,,54.77907210
WMT,沃尔玛公司,零售,22.34018172
WFC,富国银行,银行,14.75187982
RDS.A,荷兰皇家壳牌石油公司,,15.64108892
RDS.B,荷兰皇家壳牌石油公司,,
HDB,HDFC银行,银行,243.87804570
PFE,辉瑞制药公司,制药,35.97436042
UNH,美国联合健康集团,卫生保健设施,36.18344642
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,
ENIC,Enel Chile SA,,8.06666660
VZ,威讯通信公司,,17.06853591
HD,家得宝公司,零售,30.31938036
CVX,雪佛龙公司,油气,-436.29629026
BBL,必和必拓公司,,45.11827824
INTC,英特尔公司,半导体,22.21698161
NVS,诺华公司,生物技术和制药,29.65714369
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,
CSCO,思科系统公司,电信,23.64432865
LYG,劳埃德银行,银行,25.58333335
PG,宝洁公司,,15.32783917
MA,万事达卡公司,商业服务,55.07046167
TSM,台湾积体电路制造公司,半导体,18.84037508
T,美国电话电报公司,电信,15.72857156
BA,波音公司,航空航天\/国防,45.51905228
TM,丰田汽车公司,汽车制造,11.33088212
KO,可口可乐公司,饮料,31.27516656
ORCL,甲骨文公司,软件,22.91943271
CHL,中国移动通信集团公司,,12.23057004
BUD,百威英博公司,饮料,140.64789243
MRK,默沙东集团,生物技术和制药,48.97872283
NGG,英国国家电网公司,,15.87278098
HSBC,汇丰控股公司,银行,136.12120116
C,花旗集团,银行,14.76059349
AVAL,Grupo Aval Acciones y Valores SA,,11.81818164
UN,联合利华,,28.93877557
UL,联合利华PLC,食品,28.74999866
DIS,沃特迪士尼公司,媒体内容,20.30324984
EOCC,Enel Generaci贸n Chile SA,,7.70114988
CMCSA,康卡斯特公司,媒体,19.88826773
PEP,百事可乐公司,饮料,26.36697146
HSEB,HSBC Holdings Plc,,34.90666707
DWDP,陶氏杜邦公司,,
SHPG,夏尔制药公司,生物技术和制药,137.43548134
TBB,AT&#38;T Inc.,,
ABBV,艾伯维公司,生物技术和制药,27.22038414
TOT,道达尔公司,,23.94023920
NVDA,英伟达公司,半导体,95.26070571
TI,意大利电信,电信,6.86999989
SAP,SAP,软件,35.74923615
NFLX,奈飞公司,,736.69765933
BP,英国石油公司,,1047.75001960
NKE,耐克公司,,33.22916535
PTR,中国石油天然气股份有限公司,油气,122.18332441
IBM,IBM(国际商业机器有限公司),,11.79806108
PM,菲利普莫里斯国际公司,农业,18.98437560
E,埃尼石油公司,,-41.62068837
AMGN,安进公司,生物技术,19.27929713
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,
BHP,必和必拓,,51.52687936
MCD,麦当劳公司,零售,29.62316033
JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,,
MDT,美敦力公司,,32.01413460
MMM,明尼苏达矿业制造公司,,25.09436374
ADBE,Adobe,软件,93.77862889
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,,
CCV,Comcast Corporation 5.00% Notes Due 2061,,14.03352032
LLY,礼来公司,生物技术和制药,40.91085511
RYAAY,Ryanair Holdings Plc,航空公司,17.80797163
UNP,联合太平洋公司,运输,29.47929027
HON,霍尼韦尔国际公司,电子,25.02741983
MO,奥驰亚集团公司,农业,8.37912064
RY,加拿大皇家银行,银行,14.66294219
ABT,雅培公司,,68.85106530
SNP,中国石油化工股份有限公司,,16.57857106
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,
TD,道明银行,银行,16.70360138
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,
JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,
JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,,
SNY,赛诺菲-安万特公司,制药,21.55897430
TXN,德州仪器公司,半导体,31.50574678
UTX,联合技术公司,航空航天\/国防,21.96732107
UPS,联合包裹服务公司,运输,31.47286994
WPPGY,WPP plc,广告,12.56398853
GE,通用电气公司,多元化制造商,13.82022516
CRM,赛富时公司,软件,557.76926766
ACN,埃森哲公司,,27.48166656
VZA,"Verizon Communications, Inc.",,7.99688466
JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,,
JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,,
DCM,NTT道康姆公司,电信,16.62337728
GSK,葛兰素史克公司,生物技术和制药,89.67391142
PYPL,PayPal,,74.30434671
ISF,ING Groep NV,,25.39705997
ISG,ING Groep NV,,22.06034559
BMY,百时美施贵宝公司,制药,22.97735743
COST,好市多公司,,41.63837445
VTI,大盘指数ETF-Vanguard MSCI,股权,6.12187989
QCOM,高通公司,半导体,20.14024333
AZN,阿斯利康公司,制药,27.62318773
JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,,
PGMB,iPath Series B Bloomberg Platinum Subindex Total Return ETN,,
NVO,诺和诺德公司,制药,21.97222093
JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,,
GILD,吉利德科学公司,生物技术和制药,7.33601622
RAI,雷诺兹烟草,农业,15.38823565
BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,,
TMO,赛默飞世尔科技公司,,45.18663912
LMT,洛克希德马丁公司,,18.59519813
MTU,三菱日联金融集团,银行,13.83333336
STO,挪威石油公司,,-29.49999880
AXP,美国运通公司,多元化金融服务,18.23539771
GS,高盛集团,,14.32658022
BKNG,"Booking Holdings, Inc.",,
SGGB,iPath Series B Bloomberg Sugar Subindex Total Return ETN,,
USB,美国合众银行,银行,16.44753110
SLB,斯伦贝谢公司,,-50.66935593
