,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
估值指标, ,,,,,,,,,,,,,,,,,,
总市值（账期末）（M）,"8,311.76","7,706.44","8,506.08","8,534.03","8,772.49","8,857.35","9,043.20","9,465.51","8,742.19","9,265.91","10,734.90","9,595.95","8,932.87","7,390.50","7,243.88","7,096.67","6,680.56","5,333.27","4,690.56"
市盈率（账期末）,60.67,27.74,23.26,25.28,18.81,21.21,26.17,29.34,27.36,35.52,43.54,34.26,35.36,38.27,42.11,41.53,72.22,0.00,0.00
市净率（账期末）,54.57,10.13,25.05,14.35,14.39,16.02,15.41,16.87,16.59,20.96,9.99,8.35,7.68,5.57,5.12,4.80,4.81,3.77,3.42
市现率（账期末）,20.43,10.50,10.06,9.27,9.81,11.87,13.27,14.49,9.14,10.07,10.60,9.19,0.00,0.00,0.00,0.00,11.66,9.40,9.70
市销率（账期末）,1.94,1.62,1.57,1.37,1.31,1.33,1.33,1.38,1.26,1.33,1.45,1.26,1.16,0.96,0.95,0.91,0.94,0.75,0.67
盈利指标, ,,,,,,,,,,,,,,,,,,
总资产收益率（%）,0.90,2.98,4.04,4.38,6.38,5.60,4.51,4.26,4.31,3.47,3.03,3.43,2.99,2.19,1.94,1.89,1.07,-2.53,-14.98
净资产收益率（%）,14.96,30.68,66.10,56.67,83.13,85.52,42.04,38.33,39.43,31.28,20.06,21.44,20.11,14.15,12.38,11.61,7.05,-15.84,-71.78
营业毛利率（%）,30.25,31.74,31.94,32.05,35.36,36.33,36.98,31.06,35.08,35.32,36.18,35.90,32.74,34.13,33.68,33.97,31.58,32.38,32.29
税前利润率（%）,9.69,9.38,7.90,8.00,9.05,10.07,7.12,7.06,7.17,7.22,2.40,7.52,-0.23,4.81,4.73,4.50,3.36,2.58,3.81
营业利润率（%）,13.62,14.97,11.96,15.01,12.16,14.17,14.14,5.95,11.80,13.64,14.03,11.73,9.76,12.18,11.19,10.40,9.22,9.99,9.39
净利润率（%）,2.07,5.07,2.61,-5.20,9.74,9.44,2.85,5.74,7.00,4.92,1.56,5.53,3.36,2.98,3.04,3.91,0.18,1.94,2.86
销售收入/平均总资产（%）,70.43,73.50,73.42,83.15,91.51,89.36,88.07,89.34,90.92,90.98,90.74,93.39,90.25,88.02,87.31,86.73,83.60,79.17,75.68
总资本回报率（%）,1.36,4.34,6.13,6.55,9.37,8.26,6.50,6.10,6.23,5.01,4.26,4.78,4.52,3.25,2.84,2.74,1.69,-3.90,-22.05
财务比率, ,,,,,,,,,,,,,,,,,,
总负债/总资产（%）,61.70,55.65,58.29,56.00,58.99,61.29,61.34,62.27,61.83,61.30,56.10,55.37,54.89,55.25,55.89,56.08,48.17,49.13,49.70
普通股权益/总资产（%）,2.88,12.81,4.45,8.01,8.25,7.27,7.80,7.44,7.10,5.83,13.51,14.64,14.46,15.89,16.58,17.26,15.21,15.14,14.90
派息比率（%）,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
资本支出/销售额（%）,4.67,2.94,4.00,4.88,4.90,4.47,3.57,3.26,4.09,3.13,2.07,1.19,3.05,1.96,1.35,1.55,1.79,1.49,1.29
流动性指标, ,,,,,,,,,,,,,,,,,,
流动比率,1.35,1.70,1.45,1.61,1.05,1.04,1.25,1.22,1.23,1.25,1.66,1.68,1.56,1.44,1.30,1.26,1.27,1.31,1.30
负债/息税前营业利润,4.27,4.00,4.81,3.88,4.32,4.65,4.64,4.71,4.12,4.19,3.96,3.91,3.97,4.16,4.48,4.65,4.48,4.70,4.73
速动比率,0.99,1.34,1.28,1.42,0.73,0.71,0.85,0.83,0.86,0.87,1.20,1.21,1.15,1.06,0.95,0.89,1.01,0.99,0.98
每股指标, ,,,,,,,,,,,,,,,,,,
每股净资产,-11.10,-6.56,-8.37,-6.79,-15.28,-16.05,-15.68,-15.99,-16.16,-16.63,-13.01,-12.55,-12.90,-12.46,-12.59,-12.17,-13.98,-14.22,-14.40
摊薄每股收益,0.14,0.44,0.45,-0.22,0.87,0.82,0.25,0.47,0.62,0.42,0.13,0.46,0.31,0.28,0.28,0.33,0.02,0.18,0.26
每股销售额,6.98,5.99,5.49,5.27,8.89,8.73,8.73,8.07,8.84,8.48,8.45,8.25,9.31,9.25,9.19,8.52,9.41,9.06,9.18
