code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
INTG,36,The Intergroup Corporation,20.769822,-1.912841,1.733284,7836000,8.1758,18681000,0.0924,779000,5.5824,17972000,0.0444,-2507000,-0.2479,16812000,0.0225,-295000,-1.185,18114000,-0.0077
BHBK,25.25,Blue Hills Bancorp Inc.,33.791379,1.70719,0.751671,6457000,0.6693,0,0,6583000,-0.1207,0,0,1293000,-0.6766,0,0,3841000,1.3564,0,0
VTNR,1.55,Vertex Energy Inc.,0,2.110287,-0.233596,2661800,2.4658,46917800,0.271,-2208100,0.3073,41368200,0.1897,-185000,0.9225,41345200,0.3313,-2949400,-36.9478,32470500,0.1408
PTSI,61.62,P.A.M. Transportation Services,9.287657,3.012368,6.943624,7289000,3.5301,113000000,0.2125,1387000,-0.3925,99104000,0.0588,31561000,42.6528,93366000,-0.0093,3446000,-0.0014,93457000,-0.0257
IIN,65.4,IntriCon Corporation,110.252491,22.077234,0.603161,2008000,5.4153,30160000,0.339,757000,2.1557,25363000,0.1955,505000,1.2715,22227000,0.2524,917000,1.6848,24034000,0.5436
UEPS,7.35,Net 1 UEPS Technologies,11.114738,0.672033,0.689175,5253000,-0.5292,149000000,-0.0378,3311000,-0.8259,163000000,0.0999,9979000,-0.4811,148000000,-0.0199,19727000,-0.2186,153000000,-0.0198
KRNT,20.05,Kornit Digital Ltd.,385.756146,4.615544,0.054957,1774000,7.2512,35876000,0.2549,565000,1.3253,31120000,0.1483,-369000,-1.45,29950000,-0.0637,-124000,-1.3435,28447000,-0.08
HIIQ,55,Health Insurance Innovations In,47.588143,7.641205,1.192524,4026000,-0.4209,71724000,0.1609,5985000,-0.2977,67750000,0.2127,5015000,2.5342,69490000,0.3513,6002000,0.1691,63335000,0.3736
OXBR,2.05,Oxbridge Re Holdings Ltd,0,0.858138,-3.942687,265000,-0.7625,0,0,-211000,-1.1661,0,0,-24000,0.9897,0,0,-22954000,-8.6898,0,0
LASR,27.66,nLIGHT,0,5.487976,-5.165334,4653000,17.2125,51705000,0.4916,2916000,3.404,42467000,0.4209,0,0,0,0,0,0,0,0
PNBK,25.5,爱国者国家合众银行,26.773115,1.456485,0.952448,1036000,0.2886,0,0,1065000,-0.3844,0,0,600000,-0.4258,0,0,1013000,0.2445,0,0
